CIA - The World Factbook --  Electricity - exports   

This entry is the total exported electricity in kilowatt-hours.

| Rank | country | (kWh) | Date of Information |
| --- | --- | --- | --- |
| 1 | Germany | 61,700,000,000.00 | 2008 est. |
| 2 | France | 58,690,000,000.00 | 2008 est. |
| 3 | Canada | 55,730,000,000.00 | 2008 est. |
| 4 | Paraguay | 45,140,000,000.00 | 2007 est. |
| 5 | Switzerland | 32,740,000,000.00 | 2008 est. |
| 6 | United States | 24,080,000,000.00 | 2008 est. |
| 7 | Czech Republic | 19,990,000,000.00 | 2008 est. |
| 8 | Russia | 18,600,000,000.00 | 2008 est. |
| 9 | Norway | 17,290,000,000.00 | 2008 est. |
| 10 | Spain | 16,920,000,000.00 | 2008 est. |
| 11 | China | 16,640,000,000.00 | 2008 est. |
| 12 | Austria | 14,930,000,000.00 | 2008 est. |
| 13 | Sweden | 14,710,000,000.00 | 2008 est. |
| 14 | South Africa | 14,160,000,000.00 | 2008 est. |
| 15 | Ukraine | 12,550,000,000.00 | 2007 est. |
| 16 | Serbia | 12,050,000,000.00 | 2004 est. |
| 17 | Mozambique | 11,820,000,000.00 | 2007 est. |
| 18 | Uzbekistan | 11,440,000,000.00 | 2007 est. |
| 19 | Denmark | 11,360,000,000.00 | 2008 est. |
| 20 | Poland | 9,703,000,000.00 | 2008 |
| 21 | Netherlands | 9,280,000,000.00 | 2008 est. |
| 22 | Slovakia | 8,891,000,000.00 | 2008 est. |
| 23 | Hungary | 8,871,000,000.00 | 2008 est. |
| 24 | Bulgaria | 8,441,000,000.00 | 2008 est. |
| 25 | Slovenia | 7,820,000,000.00 | 2008 est. |
| 26 | Lithuania | 6,606,000,000.00 | 2008 est. |
| 27 | Belgium | 6,561,000,000.00 | 2008 est. |
| 28 | Romania | 5,169,000,000.00 | 2008 est. |
| 29 | Belarus | 5,062,000,000.00 | 2007 est. |
| 30 | Bosnia and Herzegovina | 4,344,000,000.00 | 2007 est. |
| 31 | Bhutan | 3,644,000,000.00 | 2007 est. |
| 32 | Kazakhstan | 3,617,000,000.00 | 2007 est. |
| 33 | Hong Kong | 3,553,000,000.00 | 2008 est. |
| 34 | Italy | 3,431,000,000.00 | 2008 est. |
| 35 | Finland | 3,335,000,000.00 | 2008 est. |
| 36 | Argentina | 2,628,000,000.00 | 2007 est. |
| 37 | Iran | 2,520,000,000.00 | 2007 est. |
| 38 | Luxembourg | 2,483,000,000.00 | 2008 est. |
| 39 | Kyrgyzstan | 2,379,000,000.00 | 2007 est. |
| 40 | Estonia | 2,310,000,000.00 | 2008 est. |
| 41 | Malaysia | 2,268,000,000.00 | 2007 est. |
| 42 | Croatia | 2,140,000,000.00 | 2008 est. |
| 43 | Latvia | 2,123,000,000.00 | 2008 est. |
| 44 | Israel | 2,081,000,000.00 | 2007 est. |
| 45 | Brazil | 2,034,000,000.00 | 2007 est. |
| 46 | Greece | 1,962,000,000.00 | 2008 est. |
| 47 | Congo, Democratic Republic of the | 1,916,000,000.00 | 2007 est. |
| 48 | Turkmenistan | 1,460,000,000.00 | 2007 est. |
| 49 | Portugal | 1,313,000,000.00 | 2008 est. |
| 50 | Mexico | 1,288,000,000.00 | 2008 est. |
| 51 | United Kingdom | 1,272,000,000.00 | 2008 est. |
| 52 | Turkey | 1,063,000,000.00 | 2008 est. |
| 53 | Tajikistan | 1,000,000,000.00 | 2008 est. |
| 54 | Uruguay | 996,000,000.00 | 2007 est. |
| 55 | Colombia | 876,700,000.00 | 2007 est. |
| 56 | Egypt | 814,000,000.00 | 2007 est. |
| 57 | Azerbaijan | 786,000,000.00 | 2007 est. |
| 58 | Thailand | 773,000,000.00 | 2008 est. |
| 59 | Cote d'Ivoire | 772,000,000.00 | 2007 est. |
| 60 | Georgia | 628,000,000.00 | 2007 est. |
| 61 | Venezuela | 540,000,000.00 | 2007 est. |
| 62 | Armenia | 451,300,000.00 | 2007 est. |
| 63 | Ireland | 303,000,000.00 | 2008 est. |
| 64 | Algeria | 273,000,000.00 | 2007 est. |
| 65 | Laos | 268,000,000.00 | 2007 est. |
| 66 | Zambia | 268,000,000.00 | 2007 |
| 67 | Ghana | 249,000,000.00 | 2007 est. |
| 68 | Moldova | 240,000,000.00 | 2007 est. |
| 69 | India | 216,000,000.00 | 2007 est. |
| 70 | Jordan | 176,000,000.00 | 2007 est. |
| 71 | Nepal | 140,000,000.00 | 2007 est. |
| 72 | Guatemala | 131,900,000.00 | 2007 est. |
| 73 | Tunisia | 130,000,000.00 | 2007 est. |
| 74 | Panama | 124,900,000.00 | 2007 est. |
| 75 | Libya | 104,000,000.00 | 2007 est. |
| 76 | Costa Rica | 77,160,000.00 | 2008 est. |
| 77 | Kenya | 58,300,000.00 | 2007 est. |
