CIA - The World Factbook --  Electricity - exports   

Electricity â€“ exports is the total exported electricity in kilowatt-hours.

| Rank | country | (kWh) | Date of Information |
| --- | --- | --- | --- |
| 1 | France | 73,400,000,000 | 2012 est. |
| 2 | Germany | 66,810,000,000 | 2012 est. |
| 3 | Canada | 57,970,000,000 | 2012 est. |
| 4 | Paraguay | 46,120,000,000 | 2011 est. |
| 5 | Switzerland | 34,570,000,000 | 2012 est. |
| 6 | Sweden | 31,280,000,000 | 2012 est. |
| 7 | Czech Republic | 27,450,000,000 | 2012 est. |
| 8 | Norway | 22,170,000,000 | 2012 est. |
| 9 | Austria | 20,460,000,000 | 2012 est. |
| 10 | Spain | 19,590,000,000 | 2012 est. |
| 11 | Russia | 19,140,000,000 | 2012 est. |
| 12 | China | 18,670,000,000 | 2013 |
| 13 | South Africa | 15,040,000,000 | 2012 est. |
| 14 | Netherlands | 15,020,000,000 | 2013 est. |
| 15 | Slovakia | 13,080,000,000 | 2012 est. |
| 16 | Poland | 12,640,000,000 | 2012 |
| 17 | Bulgaria | 12,110,000,000 | 2011 est. |
| 18 | Uzbekistan | 12,090,000,000 | 2010 est. |
| 19 | United States | 12,000,000,000 | 2012 est. |
| 20 | Denmark | 10,710,000,000 | 2012 est. |
| 21 | Mozambique | 9,462,000,000 | 2012 est. |
| 22 | Hungary | 9,000,000,000 | 2012 est. |
| 23 | Slovenia | 8,363,000,000 | 2012 est. |
| 24 | Belgium | 6,911,000,000 | 2012 est. |
| 25 | Iran | 6,707,000,000 | 2010 est. |
| 26 | Serbia | 5,707,000,000 | 2013 est. |
| 27 | Bhutan | 5,400,000,000 | 2010 est. |
| 28 | Belarus | 5,067,000,000 | 2010 est. |
| 29 | Estonia | 4,950,000,000 | 2012 est. |
| 30 | Israel | 4,224,000,000 | 2011 est. |
| 31 | Greece | 4,122,000,000 | 2012 est. |
| 32 | Ukraine | 3,852,000,000 | 2012 est. |
| 33 | Croatia | 3,294,000,000 | 2013 est. |
| 34 | United Kingdom | 3,103,000,000 | 2013 est. |
| 35 | Turkmenistan | 2,885,000,000 | 2013 est. |
| 36 | Portugal | 2,873,000,000 | 2012 est. |
| 37 | Latvia | 2,764,000,000 | 2011 est. |
| 38 | Luxembourg | 2,623,000,000 | 2012 est. |
| 39 | Kyrgyzstan | 2,620,000,000 | 2011 est. |
| 40 | Brazil | 2,544,000,000 | 2011 est. |
| 41 | Laos | 2,537,000,000 | 2013 est. |
| 42 | Italy | 2,304,000,000 | 2012 est. |
| 43 | Kazakhstan | 1,800,000,000 | 2011 est. |
| 44 | Argentina | 1,701,000,000 | 2010 est. |
| 45 | Hong Kong | 1,650,000,000 | 2013 est. |
| 46 | Finland | 1,645,000,000 | 2012 est. |
| 47 | Egypt | 1,595,000,000 | 2010 est. |
| 48 | Bosnia and Herzegovina | 1,569,000,000 | 2012 est. |
| 49 | Thailand | 1,535,000,000 | 2012 est. |
| 50 | Georgia | 1,492,000,000 | 2010 est. |
| 51 | Turkey | 1,490,000,000 | 2012 est. |
| 52 | Albania | 1,424,000,000 | 2013 est. |
| 53 | Armenia | 1,360,000,000 | 2011 est. |
| 54 | Colombia | 1,294,000,000 | 2011 est. |
| 55 | Mexico | 1,286,000,000 | 2012 est. |
| 56 | Romania | 1,150,000,000 | 2012 est. |
| 57 | Syria | 1,043,000,000 | 2010 est. |
| 58 | Ghana | 1,036,000,000 | 2010 est. |
| 59 | Tajikistan | 1,000,000,000 | 2013 est. |
| 60 | Vietnam | 964,000,000 | 2010 est. |
| 61 | Congo, Democratic Republic of the | 916,000,000 | 2010 est. |
| 62 | Algeria | 803,000,000 | 2010 est. |
| 63 | Montenegro | 730,000,000 | 2010 est. |
| 64 | Venezuela | 626,000,000 | 2010 est. |
| 65 | Zambia | 578,000,000 | 2010 |
| 66 | Cote d'Ivoire | 471,000,000 | 2010 est. |
| 67 | Azerbaijan | 462,000,000 | 2010 est. |
| 68 | Kosovo | 371,300,000 | NA |
| 69 | Ireland | 370,000,000 | 2012 est. |
| 70 | Guatemala | 193,300,000 | 2011 est. |
| 71 | Lithuania | 186,000,000 | 2012 est. |
| 72 | Malaysia | 151,000,000 | 2010 est. |
| 73 | Costa Rica | 135,000,000 | 2010 est. |
| 74 | Libya | 129,000,000 | 2010 est. |
| 75 | Peru | 112,000,000 | 2010 est. |
| 76 | El Salvador | 101,600,000 | 2011 est. |
| 77 | Namibia | 89,000,000 | 2013 est. |
| 78 | Jordan | 86,000,000 | 2011 est. |
| 79 | Uganda | 75,000,000 | 2010 |
| 80 | Macedonia | 62,360,000 | 2013 est. |
| 81 | India | 62,000,000 | 2011 est. |
| 82 | Zimbabwe | 56,000,000 | 2010 est. |
| 83 | Nicaragua | 43,000,000 | 2010 est. |
| 84 | Panama | 39,000,000 | 2010 est. |
| 85 | Kenya | 31,000,000 | 2010 est. |
| 86 | Nepal | 30,000,000 | 2010 est. |
