CIA - The World Factbook --  ELECTRICITY - EXPORTS

Electricity â€“ exports is the total exported electricity in kilowatt-hours.

| Rank | Country | (KWH) | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | 343,900,000,000 | 2012 est. |
| 2 | Germany | 71,430,000,000 | 2013 est. |
| 3 | Canada | 62,330,000,000 | 2013 est. |
| 4 | France | 59,950,000,000 | 2013 est. |
| 5 | Paraguay | 47,370,000,000 | 2013 est. |
| 6 | Switzerland | 31,800,000,000 | 2013 est. |
| 7 | Czech Republic | 27,460,000,000 | 2013 est. |
| 8 | Sweden | 22,680,000,000 | 2013 est. |
| 9 | China | 18,670,000,000 | 2013 |
| 10 | Austria | 17,690,000,000 | 2013 est. |
| 11 | Spain | 17,000,000,000 | 2013 est. |
| 12 | Russia | 15,700,000,000 | 2013 est. |
| 13 | Norway | 15,140,000,000 | 2013 est. |
| 14 | Netherlands | 15,020,000,000 | 2013 est. |
| 15 | South Africa | 13,930,000,000 | 2013 est. |
| 16 | Poland | 12,320,000,000 | 2013 |
| 17 | Uzbekistan | 12,250,000,000 | 2011 est. |
| 18 | United States | 11,280,000,000 | 2013 est. |
| 19 | Slovakia | 10,630,000,000 | 2013 est. |
| 20 | Denmark | 10,380,000,000 | 2013 est. |
| 21 | Bulgaria | 9,532,000,000 | 2013 est. |
| 22 | Mozambique | 9,462,000,000 | 2012 est. |
| 23 | Slovenia | 8,684,000,000 | 2013 est. |
| 24 | Iran | 8,668,000,000 | 2011 est. |
| 25 | United Arab Emirates | 8,147,000,000 | 2011 est. |
| 26 | Belgium | 7,603,000,000 | 2013 est. |
| 27 | Estonia | 6,301,000,000 | 2013 est. |
| 28 | Ukraine | 6,000,000,000 | 2012 est. |
| 29 | Serbia | 5,707,000,000 | 2013 est. |
| 30 | Bhutan | 5,625,000,000 | 2013 est. |
| 31 | Hungary | 4,760,000,000 | 2013 est. |
| 32 | Israel | 4,200,000,000 | 2013 est. |
| 33 | Belarus | 3,704,000,000 | 2011 est. |
| 34 | Latvia | 3,650,000,000 | 2013 est. |
| 35 | Croatia | 3,294,000,000 | 2013 est. |
| 36 | United Kingdom | 3,103,000,000 | 2013 est. |
| 37 | Turkmenistan | 2,885,000,000 | 2013 est. |
| 38 | Kyrgyzstan | 2,795,000,000 | 2011 est. |
| 39 | Greece | 2,602,000,000 | 2013 est. |
| 40 | Laos | 2,537,000,000 | 2013 est. |
| 41 | Romania | 2,466,000,000 | 2013 est. |
| 42 | Portugal | 2,448,000,000 | 2013 est. |
| 43 | Italy | 2,181,000,000 | 2013 est. |
| 44 | Luxembourg | 1,907,000,000 | 2013 est. |
| 45 | Finland | 1,878,000,000 | 2013 est. |
| 46 | Kazakhstan | 1,809,000,000 | 2011 est. |
