Field Listing :: Current Health Expenditure :: The World Factbook

Current Health Expenditure (CHE) describes the share of spending on health in each country relative to the size of its economy.  It includes expenditures corresponding to the final consumption of health care goods and services and excludes investment, exports, and intermediate consumption.  CHE shows the importance of the health sector in the economy and indicates the priority given to health in monetary terms.  Note: Current Health Expenditure replaces the former Health Expenditures field and is calculated differently.

| Country | Current Health Expenditure |
| --- | --- |
| **Afghanistan** | 11.8% (2017) |
| **Albania** | 6.7% (2016) |
| **Algeria** | 6.4% (2017) |
| **Andorra** | 10.3% (2017) |
| **Angola** | 2.8% (2017) |
| **Antigua and Barbuda** | 4.5% (2017) |
| **Argentina** | 9.1% (2017) |
| **Armenia** | 10.4% (2017) |
| **Australia** | 9.2% (2017) |
| **Austria** | 10.4% (2017) |
| **Azerbaijan** | 6.7% (2017) |
| **Bahamas, The** | 5.8% (2017) |
| **Bahrain** | 4.7% (2017) |
| **Bangladesh** | 2.3% (2017) |
| **Barbados** | 6.8% (2017) |
| **Belarus** | 5.9% (2017) |
| **Belgium** | 10.3% (2017) |
| **Belize** | 5.6% (2017) |
| **Benin** | 3.7% (2017) |
| **Bhutan** | 3.2% (2017) |
| **Bolivia** | 6.4% (2017) |
| **Bosnia and Herzegovina** | 8.9% (2017) |
| **Botswana** | 6.1% (2017) |
| **Brazil** | 9.5% (2017) |
| **Brunei** | 2.4% (2017) |
| **Bulgaria** | 8.1% (2017) |
| **Burkina Faso** | 6.9% (2017) |
| **Burma** | 4.7% (2017) |
| **Burundi** | 7.5% (2017) |
| **Cabo Verde** | 5.2% (2017) |
| **Cambodia** | 5.9% (2017) |
| **Cameroon** | 4.7% (2017) |
| **Canada** | 10.6% (2017) |
| **Central African Republic** | 5.8% (2017) |
| **Chad** | 4.5% (2017) |
| **Chile** | 9% (2017) |
| **China** | 5.2% (2017) |
| **Colombia** | 7.2% (2017) |
| **Comoros** | 7.4% (2017) |
| **Congo, Democratic Republic of the** | 4% (2017) |
| **Congo, Republic of the** | 2.9% (2017) |
| **Cook Islands** | 3.3% (2017) |
| **Costa Rica** | 7.3% (2017) |
| **Cote d'Ivoire** | 4.5% (2017) |
| **Croatia** | 6.8% (2017) |
| **Cuba** | 11.7% (2017) |
| **Cyprus** | 6.7% (2017) |
| **Czechia** | 7.2% (2017) |
| **Denmark** | 10.1% (2017) |
