Field Listing :: Current Health Expenditure :: The World Factbook - Central Intelligence Agency

Current Health Expenditure (CHE) describes the share of spending on health in each country relative to the size of its economy.  It includes expenditures corresponding to the final consumption of health care goods and services and excludes investment, exports, and intermediate consumption.  CHE shows the importance of the health sector in the economy and indicates the priority given to health in monetary terms.  Note: Current Health Expenditure replaces the former Health Expenditures field and is calculated differently.

| Country | Current Health Expenditure |
| --- | --- |
| **Afghanistan** | 10.2% (2016) |
| **Albania** | 6.7% (2016) |
| **Algeria** | 6.6% (2016) |
| **Andorra** | 10.4% (2016) |
| **Angola** | 2.9% (2016) |
| **Antigua and Barbuda** | 4.3% (2016) |
| **Argentina** | 7.5% (2016) |
| **Armenia** | 9.9% (2016) |
| **Australia** | 9.3% (2016) |
| **Austria** | 10.4% (2016) |
| **Azerbaijan** | 6.9% (2016) |
| **Bahamas, The** | 6.4% (2016) |
| **Bahrain** | 4.9% (2016) |
| **Bangladesh** | 2.4% (2016) |
| **Barbados** | 7% (2016) |
| **Belarus** | 6.3% (2016) |
| **Belgium** | 10% (2016) |
| **Belize** | 6.1% (2016) |
| **Benin** | 3.9% (2016) |
| **Bhutan** | 3.5% (2016) |
| **Bolivia** | 6.9% (2016) |
| **Bosnia and Herzegovina** | 9.2% (2016) |
| **Botswana** | 5.5% (2016) |
| **Brazil** | 11.8% (2016) |
| **Brunei** | 2.3% (2016) |
| **Bulgaria** | 8.2% (2016) |
| **Burkina Faso** | 6.8% (2016) |
| **Burma** | 5.1% (2016) |
| **Burundi** | 6.2% (2016) |
| **Cabo Verde** | 5.2% (2016) |
| **Cambodia** | 6.1% (2016) |
| **Cameroon** | 4.7% (2016) |
| **Canada** | 10.5% (2016) |
| **Central African Republic** | 4.3% (2016) |
| **Chad** | 4.5% (2016) |
| **Chile** | 8.5% (2016) |
| **China** | 5% (2016) |
| **Colombia** | 5.9% (2016) |
| **Comoros** | 7.6% (2016) |
| **Congo, Democratic Republic of the** | 3.9% (2016) |
| **Congo, Republic of the** | 4.6% (2016) |
| **Cook Islands** | 2.7% (2015) |
| **Costa Rica** | 7.6% (2016) |
| **Cote d'Ivoire** | 4.4% (2016) |
| **Croatia** | 7.2% (2016) |
| **Cuba** | 12.2% (2016) |
| **Cyprus** | 6.9% (2016) |
| **Czechia** | 7.1% (2016) |
| **Denmark** | 10.4% (2016) |
| **Djibouti** | 3.5% (2016) |
| **Dominica** | 5.3% (2016) |
| **Dominican Republic** | 6.2% (2016) |
| **Ecuador** | 8.4% (2016) |
| **Egypt** | 4.6% (2016) |
| **El Salvador** | 7% (2016) |
| **Equatorial Guinea** | 3.4% (2016) |
| **Eritrea** | 3% (2016) |
| **Estonia** | 6.7% (2016) |
| **Eswatini** | 7.7% (2016) |
| **Ethiopia** | 4% (2016) |
| **European Union** | 9.9% (2016) |
| **Fiji** | 3.5% (2016) |
| **Finland** | 9.5% (2016) |
| **France** | 11.5% (2016) |
| **Gabon** | 3.1% (2016) |
| **Gambia, The** | 4.4% (2016) |
