CIA - The World Factbook --  Sanitation facility access   

This entry provides information about access to improved or unimproved sanitation facilities available to segments of the population of a country. improved sanitation - use of any of the following facilities: flush or pour-flush to a piped sewer system, septic tank or pit latrine; ventilated improved pit (VIP) latrine; pit latrine with slab; or a composting toilet. unimproved sanitation - use of any of the following facilities: flush or pour-flush not piped to a sewer system, septic tank or pit latrine; pit latrine without a slab or open pit; bucket; hanging toilet or hanging latrine; shared facilities of any type; no facilities; or bush or field.

| Rank | country | (% of population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Slovakia | 100.00 | NA |
| 2 | Slovakia | 100.00 | NA |
| 3 | Luxembourg | 100.00 | NA |
| 4 | Luxembourg | 100.00 | NA |
| 5 | Luxembourg | 100.00 | NA |
| 6 | Monaco | 100.00 | NA |
| 7 | Monaco | 100.00 | NA |
| 8 | Malta | 100.00 | NA |
| 9 | Malta | 100.00 | NA |
| 10 | Malta | 100.00 | NA |
| 11 | Maldives | 100.00 | NA |
| 12 | Niue | 100.00 | NA |
| 13 | Niue | 100.00 | NA |
| 14 | Niue | 100.00 | NA |
| 15 | Netherlands | 100.00 | NA |
| 16 | Netherlands | 100.00 | NA |
| 17 | Netherlands | 100.00 | NA |
| 18 | Norway | 100.00 | NA |
| 19 | Norway | 100.00 | NA |
| 20 | Norway | 100.00 | NA |
| 21 | Portugal | 100.00 | NA |
| 22 | Portugal | 100.00 | NA |
| 23 | Portugal | 100.00 | NA |
| 24 | Qatar | 100.00 | NA |
| 25 | Qatar | 100.00 | NA |
| 26 | Qatar | 100.00 | NA |
| 27 | Slovenia | 100.00 | NA |
| 28 | Slovenia | 100.00 | NA |
| 29 | Slovenia | 100.00 | NA |
| 30 | Singapore | 100.00 | NA |
| 31 | Singapore | 100.00 | NA |
| 32 | Spain | 100.00 | NA |
| 33 | Spain | 100.00 | NA |
| 34 | Spain | 100.00 | NA |
| 35 | Sweden | 100.00 | NA |
| 36 | Sweden | 100.00 | NA |
| 37 | Sweden | 100.00 | NA |
| 38 | Switzerland | 100.00 | NA |
| 39 | Switzerland | 100.00 | NA |
| 40 | Switzerland | 100.00 | NA |
| 41 | United Kingdom | 100.00 | NA |
| 42 | United Kingdom | 100.00 | NA |
