CIA - The World Factbook --  REFINED PETROLEUM PRODUCTS - PRODUCTION

Refined petroleum products - production is the country's total output of refined petroleum products, in barrels per day (bbl/day).

| Rank | Country | (BBL/DAY) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 18,560,000 | 2012 est. |
| 2 | European Union | 11,620,000 | 2013 est. |
| 3 | China | 9,648,000 | 2013 est. |
| 4 | Russia | 4,812,000 | 2010 est. |
| 5 | India | 4,433,000 | 2013 |
| 6 | Japan | 3,645,000 | 2012 est. |
| 7 | Korea, South | 2,790,000 | 2012 est. |
| 8 | Germany | 2,206,000 | 2012 est. |
| 9 | Brazil | 2,108,000 | 2010 est. |
| 10 | Saudi Arabia | 1,935,000 | 2010 est. |
| 11 | Canada | 1,927,000 | 2012 est. |
| 12 | Iran | 1,718,000 | 2011 est. |
| 13 | Italy | 1,692,000 | 2012 est. |
| 14 | Mexico | 1,361,000 | 2012 est. |
| 15 | Singapore | 1,357,000 | 2012 est. |
| 16 | United Kingdom | 1,343,000 | 2013 est. |
| 17 | France | 1,321,000 | 2012 est. |
| 18 | Spain | 1,261,000 | 2012 est. |
| 19 | Netherlands | 1,221,000 | 2012 est. |
| 20 | Venezuela | 1,110,000 | 2010 est. |
| 21 | Indonesia | 935,300 | 2011 est. |
| 22 | Taiwan | 920,200 | 2011 est. |
| 23 | Kuwait | 915,900 | 2010 est. |
| 24 | Thailand | 913,600 | 2011 est. |
| 25 | Belgium | 715,300 | 2012 est. |
| 26 | Australia | 659,700 | 2012 est. |
| 27 | Argentina | 622,200 | 2010 est. |
| 28 | Algeria | 571,400 | 2010 est. |
| 29 | Malaysia | 568,800 | 2010 est. |
| 30 | Poland | 553,700 | 2012 est. |
| 31 | Greece | 498,000 | 2013 est. |
| 32 | Iraq | 492,800 | 2010 est. |
| 33 | Turkey | 486,100 | 2012 est. |
| 34 | Egypt | 445,000 | 2013 est. |
| 35 | South Africa | 437,600 | 2010 est. |
| 36 | Sweden | 434,400 | 2012 est. |
| 37 | Virgin Islands | 423,900 | 2010 est. |
| 38 | Libya | 388,300 | 2010 est. |
| 39 | United Arab Emirates | 371,500 | 2010 est. |
| 40 | Belarus | 346,000 | 2010 est. |
| 41 | Norway | 328,700 | 2012 est. |
| 42 | Colombia | 313,100 | 2010 est. |
| 43 | Finland | 290,500 | 2012 est. |
| 44 | Kazakhstan | 288,600 | 2010 est. |
| 45 | Qatar | 287,500 | 2010 est. |
| 46 | Israel | 275,600 | 2012 est. |
| 47 | Bahrain | 270,800 | 2012 est. |
| 48 | Ukraine | 262,300 | 2010 est. |
| 49 | Syria | 253,600 | 2010 est. |
| 50 | Portugal | 239,900 | 2012 est. |
| 51 | Aruba | 234,200 | 2010 est. |
| 52 | Romania | 218,700 | 2010 est. |
| 53 | Pakistan | 210,100 | 2010 est. |
| 54 | Ecuador | 207,300 | 2013 est. |
| 55 | Chile | 198,000 | 2012 est. |
| 56 | Lithuania | 197,400 | 2010 est. |
| 57 | Austria | 191,900 | 2012 est. |
| 58 | Philippines | 181,300 | 2010 est. |
| 59 | Hungary | 166,900 | 2012 est. |
| 60 | Czech Republic | 166,300 | 2012 est. |
| 61 | Oman | 164,600 | 2010 est. |
| 62 | Peru | 159,500 | 2012 est. |
| 63 | Denmark | 155,700 | 2012 est. |
| 64 | Turkmenistan | 143,200 | 2010 est. |
| 65 | Azerbaijan | 133,500 | 2010 est. |
| 66 | Trinidad and Tobago | 132,300 | 2010 est. |
| 67 | Morocco | 131,500 | 2010 est. |
| 68 | Bulgaria | 128,500 | 2010 est. |
| 69 | Slovakia | 126,800 | 2012 est. |
| 70 | Sudan | 124,900 | 2010 est. |
| 71 | New Zealand | 117,600 | 2012 est. |
| 72 | Vietnam | 112,000 | 2012 est. |
| 73 | Nigeria | 101,300 | 2010 est. |
| 74 | Cuba | 100,600 | 2010 est. |
| 75 | Uzbekistan | 92,300 | 2010 est. |
| 76 | Yemen | 86,330 | 2010 est. |
| 77 | Switzerland | 73,160 | 2012 est. |
| 78 | Serbia | 65,720 | 2013 est. |
| 79 | Croatia | 65,410 | 2013 est. |
| 80 | Ireland | 61,650 | 2012 est. |
| 81 | Jordan | 57,790 | 2013 est. |
| 82 | Cote d'Ivoire | 55,890 | 2010 est. |
| 83 | Cameroon | 43,500 | 2010 est. |
| 84 | Uruguay | 43,440 | 2010 est. |
| 85 | Bolivia | 40,000 | 2013 est. |
| 86 | Angola | 38,760 | 2010 est. |
| 87 | Sri Lanka | 35,440 | 2010 est. |
| 88 | Kenya | 32,240 | 2010 est. |
| 89 | Dominican Republic | 28,050 | 2010 est. |
| 90 | Jamaica | 23,120 | 2010 est. |
| 91 | Bangladesh | 22,710 | 2010 est. |
| 92 | Bosnia and Herzegovina | 22,430 | 2010 est. |
| 93 | Ghana | 22,130 | 2010 est. |
| 94 | Gabon | 19,280 | 2010 est. |
| 95 | Burma | 18,920 | 2010 est. |
| 96 | Papua New Guinea | 17,330 | 2010 est. |
| 97 | Macedonia | 17,030 | 2010 est. |
| 98 | El Salvador | 16,620 | 2010 est. |
| 99 | Nicaragua | 15,870 | 2010 est. |
| 100 | Senegal | 15,100 | 2010 est. |
| 101 | Congo, Republic of the | 13,820 | 2010 est. |
| 102 | Brunei | 13,500 | 2010 est. |
| 103 | Zambia | 12,900 | 2010 est. |
| 104 | Tunisia | 11,170 | 2010 est. |
| 105 | Costa Rica | 10,630 | 2010 est. |
| 106 | Suriname | 7,462 | 2010 est. |
| 107 | Korea, North | 6,965 | 2010 est. |
| 108 | Albania | 3,121 | 2010 est. |
| 109 | Equatorial Guinea | 3,074 | 2010 est. |
| 110 | Guatemala | 1,253 | 2010 est. |
| 111 | Mozambique | 992 | 2010 est. |
| 112 | Curacao | 531 | 2010 est. |
| 113 | Tajikistan | 400 | 2013 est. |
| 114 | Moldova | 321 | 2012 est. |
| 115 | Barbados | 31 | 2010 est. |
| 116 | Antigua and Barbuda | 0 | 2010 est. |
| 117 | Afghanistan | 0 | 2010 est. |
| 118 | Armenia | 0 | 2013 est. |
| 119 | American Samoa | 0 | 2010 est. |
| 120 | Botswana | 0 | 2010 est. |
| 121 | Bermuda | 0 | 2012 est. |
| 122 | Bahamas, The | 0 | 2010 est. |
| 123 | Belize | 0 | 2010 est. |
| 124 | Benin | 0 | 2010 est. |
| 125 | Solomon Islands | 0 | 2010 est. |
| 126 | Bhutan | 0 | 2013 est. |
| 127 | Burundi | 0 | 2010 est. |
| 128 | Cambodia | 0 | 2010 est. |
| 129 | Chad | 0 | 2010 est. |
| 130 | Congo, Democratic Republic of the | 0 | 2010 est. |
| 131 | Cayman Islands | 0 | 2010 est. |
| 132 | Comoros | 0 | 2010 est. |
| 133 | Central African Republic | 0 | 2010 est. |
| 134 | Cabo Verde | 0 | 2010 est. |
| 135 | Cook Islands | 0 | 2010 est. |
| 136 | Cyprus | 0 | 2010 est. |
| 137 | Djibouti | 0 | 2010 est. |
| 138 | Dominica | 0 | 2010 est. |
| 139 | Estonia | 0 | 2012 est. |
| 140 | Eritrea | 0 | 2010 est. |
| 141 | Ethiopia | 0 | 2010 est. |
| 142 | Fiji | 0 | 2010 est. |
| 143 | Falkland Islands (Islas Malvinas) | 0 | 2010 est. |
| 144 | Faroe Islands | 0 | 2010 est. |
| 145 | French Polynesia | 0 | 2010 est. |
| 146 | Gambia, The | 0 | 2010 est. |
| 147 | Georgia | 0 | 2013 est. |
| 148 | Gibraltar | 0 | 2010 est. |
| 149 | Grenada | 0 | 2010 est. |
| 150 | Greenland | 0 | 2010 est. |
| 151 | Guam | 0 | 2010 est. |
| 152 | Guinea | 0 | 2010 est. |
| 153 | Guyana | 0 | 2010 est. |
| 154 | Haiti | 0 | 2011 est. |
| 155 | Hong Kong | 0 | 2013 est. |
| 156 | Honduras | 0 | 2010 est. |
| 157 | Iceland | 0 | 2012 est. |
| 158 | Kyrgyzstan | 0 | 2010 est. |
