CIA - The World Factbook --  Refined petroleum products - production   

Refined petroleum products - production is the country's total output of refined petroleum products, in barrels per day (bbl/day).

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 18,450,000 | 2010 est. |
| 2 | European Union | 12,050,000 | 2012 est. |
| 3 | China | 9,371,000 | 2012 est. |
| 4 | Russia | 4,812,000 | 2010 est. |
| 5 | India | 4,216,000 | 2010 est. |
| 6 | Japan | 3,862,000 | 2010 est. |
| 7 | Korea, South | 2,830,000 | 2012 est. |
| 8 | Germany | 2,198,000 | 2010 est. |
| 9 | Brazil | 2,108,000 | 2010 est. |
| 10 | Canada | 2,016,000 | 2010 est. |
| 11 | Saudi Arabia | 1,935,000 | 2010 est. |
| 12 | Iran | 1,718,000 | 2011 est. |
| 13 | France | 1,550,000 | 2010 est. |
| 14 | Mexico | 1,364,000 | 2010 est. |
| 15 | Singapore | 1,357,000 | 2012 est. |
| 16 | United Kingdom | 1,343,000 | 2013 est. |
| 17 | Netherlands | 1,248,000 | 2010 est. |
| 18 | Spain | 1,189,000 | 2010 est. |
| 19 | Venezuela | 1,110,000 | 2010 est. |
| 20 | Indonesia | 935,300 | 2011 est. |
| 21 | Taiwan | 920,200 | 2011 est. |
| 22 | Kuwait | 915,900 | 2010 est. |
| 23 | Thailand | 913,600 | 2011 est. |
| 24 | Belgium | 720,000 | 2010 est. |
| 25 | Australia | 675,200 | 2010 est. |
| 26 | Poland | 636,000 | 2012 est. |
| 27 | Argentina | 622,200 | 2010 est. |
| 28 | Egypt | 602,600 | 2010 est. |
| 29 | Algeria | 571,400 | 2010 est. |
| 30 | Malaysia | 568,800 | 2010 est. |
| 31 | Iraq | 492,800 | 2010 est. |
| 32 | Greece | 462,000 | 2010 est. |
| 33 | South Africa | 437,600 | 2010 est. |
| 34 | Virgin Islands | 423,900 | 2010 est. |
| 35 | Sweden | 419,400 | 2010 est. |
| 36 | Turkey | 418,200 | 2010 est. |
| 37 | Libya | 388,300 | 2010 est. |
| 38 | United Arab Emirates | 371,500 | 2010 est. |
| 39 | Belarus | 346,000 | 2010 est. |
| 40 | Colombia | 313,100 | 2010 est. |
| 41 | Norway | 307,700 | 2010 est. |
| 42 | Kazakhstan | 288,600 | 2010 est. |
| 43 | Qatar | 287,500 | 2010 est. |
| 44 | Finland | 282,300 | 2010 est. |
| 45 | Israel | 278,400 | 2010 est. |
| 46 | Bahrain | 270,800 | 2012 est. |
| 47 | Ukraine | 262,300 | 2010 est. |
| 48 | Syria | 253,600 | 2010 est. |
| 49 | Portugal | 252,200 | 2010 est. |
| 50 | Aruba | 234,200 | 2010 est. |
| 51 | Romania | 218,700 | 2010 est. |
| 52 | Pakistan | 210,100 | 2010 est. |
| 53 | Ecuador | 207,300 | 2013 est. |
| 54 | Lithuania | 197,400 | 2010 est. |
| 55 | Chile | 187,200 | 2010 est. |
| 56 | Philippines | 181,300 | 2010 est. |
| 57 | Czech Republic | 178,900 | 2010 est. |
| 58 | Hungary | 177,500 | 2010 est. |
| 59 | Oman | 164,600 | 2010 est. |
| 60 | Peru | 159,500 | 2012 est. |
| 61 | Austria | 159,200 | 2011 est. |
| 62 | Denmark | 145,300 | 2010 est. |
| 63 | Turkmenistan | 143,200 | 2010 est. |
| 64 | Azerbaijan | 133,500 | 2010 est. |
| 65 | Trinidad and Tobago | 132,300 | 2010 est. |
| 66 | Morocco | 131,500 | 2010 est. |
| 67 | Slovakia | 129,600 | 2010 est. |
| 68 | Bulgaria | 128,500 | 2010 est. |
| 69 | Sudan | 124,900 | 2010 est. |
| 70 | Vietnam | 112,000 | 2012 est. |
| 71 | New Zealand | 109,700 | 2010 est. |
| 72 | Nigeria | 101,300 | 2010 est. |
| 73 | Cuba | 100,600 | 2010 est. |
| 74 | Switzerland | 96,710 | 2010 est. |
| 75 | Uzbekistan | 92,300 | 2010 est. |
| 76 | Yemen | 86,330 | 2010 est. |
| 77 | Jordan | 72,190 | 2010 est. |
| 78 | Serbia | 65,720 | 2013 est. |
| 79 | Croatia | 65,410 | 2013 est. |
| 80 | Ireland | 59,630 | 2010 est. |
| 81 | Cote d'Ivoire | 55,890 | 2010 est. |
| 82 | Cameroon | 43,500 | 2010 est. |
| 83 | Uruguay | 43,440 | 2010 est. |
| 84 | Bolivia | 40,000 | 2013 est. |
| 85 | Angola | 38,760 | 2010 est. |
| 86 | Sri Lanka | 35,440 | 2010 est. |
| 87 | Kenya | 32,240 | 2010 est. |
| 88 | Dominican Republic | 28,050 | 2010 est. |
| 89 | Jamaica | 23,120 | 2010 est. |
| 90 | Bangladesh | 22,710 | 2010 est. |
| 91 | Bosnia and Herzegovina | 22,430 | 2010 est. |
| 92 | Ghana | 22,130 | 2010 est. |
| 93 | Gabon | 19,280 | 2010 est. |
| 94 | Burma | 18,920 | 2010 est. |
| 95 | Papua New Guinea | 17,330 | 2010 est. |
| 96 | Macedonia | 17,030 | 2010 est. |
| 97 | El Salvador | 16,620 | 2010 est. |
| 98 | Nicaragua | 15,870 | 2010 est. |
| 99 | Senegal | 15,100 | 2010 est. |
| 100 | Congo, Republic of the | 13,820 | 2010 est. |
| 101 | Brunei | 13,500 | 2010 est. |
| 102 | Zambia | 12,900 | 2010 est. |
| 103 | Tunisia | 11,170 | 2010 est. |
| 104 | Costa Rica | 10,630 | 2010 est. |
| 105 | Suriname | 7,462 | 2010 est. |
| 106 | Korea, North | 6,965 | 2010 est. |
| 107 | Italy | 6,600 | 2011 est. |
| 108 | Albania | 3,121 | 2010 est. |
| 109 | Equatorial Guinea | 3,074 | 2010 est. |
| 110 | Guatemala | 1,253 | 2010 est. |
| 111 | Mozambique | 992 | 2010 est. |
| 112 | Curacao | 531 | 2010 est. |
| 113 |
| Tajikistan |
| 400 | NA | 114 | Moldova |
| 321 | 2012 est. | 115 | Barbados |
| 31 | 2010 est. | 116 | Antigua and Barbuda |
| 0 | 2010 est. | 117 | Afghanistan |
| 0 | 2010 est. | 118 | Armenia |
| 0 | 2013 est. | 119 | American Samoa |
| 0 | 2010 est. | 120 | Botswana |
| 0 | 2010 est. | 121 | Bermuda |
| 0 | 2012 est. | 122 | Bahamas, The |
| 0 | 2010 est. | 123 | Belize |
| 0 | 2010 est. | 124 | Benin |
| 0 | 2010 est. | 125 | Solomon Islands |
| 0 | 2010 est. | 126 | Bhutan |
| 0 | 2010 est. | 127 | Burundi |
| 0 | 2010 est. | 128 | Cambodia |
| 0 | 2010 est. | 129 | Chad |
| 0 | 2010 est. | 130 | Congo, Democratic Republic of the |
| 0 | 2010 est. | 131 | Cayman Islands |
| 0 | 2010 est. | 132 | Comoros |
| 0 | 2010 est. | 133 | Central African Republic |
| 0 | 2010 est. | 134 | Cabo Verde |
