CIA - The World Factbook --  REFINED PETROLEUM PRODUCTS - PRODUCTION

Refined petroleum products - production is the country's total output of refined petroleum products, in barrels per day (bbl/day).

| Rank | Country | (BBL/DAY) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 20,080,000 | 2016 est. |
| 2 | European Union | 11,120,000 | 2014 est. |
| 3 | China | 10,850,000 | 2014 est. |
| 4 | Russia | 6,174,000 | 2014 est. |
| 5 | India | 4,793,000 | 2014 est. |
| 6 | Japan | 3,536,000 | 2016 est. |
| 7 | Korea, South | 3,114,000 | 2016 est. |
| 8 | Brazil | 2,899,000 | 2014 est. |
| 9 | Saudi Arabia | 2,221,000 | 2014 est. |
| 10 | Germany | 2,198,000 | 2016 est. |
| 11 | Canada | 1,883,000 | 2016 est. |
| 12 | Iran | 1,801,000 | 2014 est. |
| 13 | Italy | 1,567,000 | 2016 est. |
| 14 | Spain | 1,342,000 | 2016 est. |
| 15 | Netherlands | 1,280,000 | 2016 est. |
| 16 | United Kingdom | 1,280,000 | 2016 est. |
| 17 | France | 1,270,000 | 2016 est. |
| 18 | Thailand | 1,213,000 | 2014 est. |
| 19 | Mexico | 1,043,000 | 2016 est. |
| 20 | Venezuela | 1,028,000 | 2014 est. |
| 21 | Indonesia | 990,700 | 2014 est. |
| 22 | Singapore | 955,500 | 2014 est. |
| 23 | Kuwait | 920,000 | 2016 est. |
| 24 | Taiwan | 917,500 | 2014 est. |
| 25 | Belgium | 701,700 | 2016 est. |
| 26 | Argentina | 687,100 | 2014 est. |
| 27 | Algeria | 657,600 | 2014 est. |
| 28 | Greece | 626,000 | 2016 est. |
| 29 | Turkey | 618,300 | 2016 est. |
| 30 | Poland | 557,700 | 2016 est. |
| 31 | Malaysia | 512,900 | 2014 est. |
| 32 | Iraq | 484,800 | 2014 est. |
| 33 | United Arab Emirates | 479,400 | 2014 est. |
| 34 | Australia | 472,100 | 2016 est. |
| 35 | Egypt | 471,800 | 2014 est. |
| 36 | Belarus | 471,600 | 2014 est. |
| 37 | South Africa | 431,000 | 2014 est. |
| 38 | Sweden | 418,700 | 2016 est. |
| 39 | Colombia | 362,100 | 2014 est. |
| 40 | Portugal | 308,700 | 2016 est. |
| 41 | Finland | 303,600 | 2016 est. |
| 42 | Norway | 282,400 | 2016 est. |
| 43 | Israel | 278,300 | 2016 est. |
| 44 | Qatar | 278,300 | 2014 est. |
| 45 | Bahrain | 270,100 | 2014 est. |
| 46 | Pakistan | 259,500 | 2014 est. |
| 47 | Kazakhstan | 228,600 | 2016 est. |
| 48 | Romania | 228,100 | 2014 est. |
| 49 | Oman | 224,000 | 2014 est. |
| 50 | Chile | 215,300 | 2016 est. |
| 51 | Turkmenistan | 191,100 | 2014 est. |
| 52 | Austria | 188,000 | 2016 est. |
| 53 | Denmark | 187,700 | 2016 est. |
| 54 | Peru | 187,200 | 2014 est. |
| 55 | Lithuania | 174,800 | 2014 est. |
| 56 | Philippines | 169,000 | 2014 est. |
| 57 | Vietnam | 156,900 | 2014 est. |
| 58 | Hungary | 156,100 | 2016 est. |
| 59 | Ecuador | 146,500 | 2014 est. |
| 60 | Azerbaijan | 142,100 | 2014 est. |
| 61 | Morocco | 139,400 | 2014 est. |
| 62 | Slovakia | 137,400 | 2016 est. |
| 63 | Bulgaria | 132,000 | 2014 est. |
| 64 | Czechia | 121,000 | 2016 est. |
| 65 | New Zealand | 117,100 | 2016 est. |
| 66 | Syria | 111,600 | 2014 est. |
