CIA - The World Factbook --  Market value of publicly traded shares   

Market value of publicly traded shares compares the value of shares issued by publicly traded companies at a price determined in the national stock markets on the final day of the period indicated. It is simply the latest price per share multiplied by the total number of outstanding shares, cumulated over all companies listed on the particular exchange.

| Rank | country | Market value of publicly traded shares | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 15,640,000,000,000 | 31 December 2011 |
| 2 | China | $ 5,753,000,000,000 | 31 December 2012 |
| 3 | Japan | $ 3,541,000,000,000 | 31 December 2011 |
| 4 | United Kingdom | $ 2,903,000,000,000 | 31 December 2011 |
| 5 | Hong Kong | $ 2,814,000,000,000 | 31 December 2012 |
| 6 | Canada | $ 1,907,000,000,000 | 31 December 2011 |
| 7 | France | $ 1,538,000,000,000 | 31 December 2011 |
| 8 | Brazil | $ 1,229,000,000,000 | 31 December 2011 |
| 9 | Australia | $ 1,198,000,000,000 | 31 December 2011 |
| 10 | Germany | $ 1,184,000,000,000 | 31 December 2011 |
| 11 | Korea, South | $ 1,078,000,000,000 | 28 December 2012 |
| 12 | Spain | $ 1,031,000,000,000 | 31 December 2011 |
| 13 | India | $ 1,015,000,000,000 | 31 December 2011 |
| 14 | Switzerland | $ 932,200,000,000 | 31 December 2011 |
| 15 | South Africa | $ 855,700,000,000 | 31 December 2011 |
| 16 | Russia | $ 796,400,000,000 | 31 December 2011 |
| 17 | Taiwan | $ 784,100,000,000 | 31 December 2011 |
| 18 | Singapore | $ 709,400,000,000 | 31 December 2012 |
| 19 | Netherlands | $ 651,000,000,000 | 31 December 2012 |
| 20 | Sweden | $ 470,100,000,000 | 31 December 2011 |
| 21 | Italy | $ 431,500,000,000 | 31 December 2011 |
| 22 | Mexico | $ 408,700,000,000 | 31 December 2011 |
| 23 | Malaysia | $ 395,100,000,000 | 31 December 2011 |
| 24 | Indonesia | $ 390,100,000,000 | 31 December 2011 |
| 25 | Thailand | $ 383,000,000,000 | 31 December 2012 |
| 26 | Saudi Arabia | $ 338,900,000,000 | 31 December 2011 |
