CIA - The World Factbook --  DISTRIBUTION OF FAMILY INCOME - GINI INDEX

Distribution of family income - Gini index measures the degree of inequality in the distribution of family income in a country. The more nearly equal a country's income distribution, the lower its Gini index, e.g., a Scandinavian country with an index of 25. The more unequal a country's income distribution, the higher its Gini index, e.g., a Sub-Saharan country with an index of 50. If income were distributed with perfect equality the index would be zero; if income were distributed with perfect inequality, the index would be 100.

| Rank | Country | DISTRIBUTION OF FAMILY INCOME - GINI INDEX | Date of Information |
| --- | --- | --- | --- |
| 1 | Lesotho | 63.2 | 1995 |
| 2 | South Africa | 62.5 | 2013 est. |
| 3 | Central African Republic | 61.3 | 1993 |
| 4 | Micronesia, Federated States of | 61.1 | 2013 est. |
| 5 | Haiti | 60.8 | 2012 |
| 6 | Botswana | 60.5 | 2009 |
| 7 | Namibia | 59.7 | 2010 |
| 8 | Honduras | 57.7 | 2007 |
| 9 | Zambia | 57.5 | 2013 |
| 10 | Hong Kong | 53.7 | 2011 |
| 11 | Colombia | 53.5 | 2012 |
| 12 | Paraguay | 53.2 | 2009 |
| 13 | Guatemala | 53.0 | 2014 est. |
| 14 | Chile | 52.1 | 2009 |
| 15 | Panama | 51.9 | 2010 est. |
| 16 | Brazil | 51.9 | 2012 |
| 17 | Papua New Guinea | 50.9 | 1996 |
| 18 | Swaziland | 50.4 | 2001 |
| 19 | Costa Rica | 50.3 | 2009 |
| 20 | Gambia, The | 50.2 | 1998 |
| 21 | Zimbabwe | 50.1 | 2006 |
| 22 | Sri Lanka | 49.0 | 2010 |
| 23 | Ecuador | 48.5 | December 2013 |
| 24 | Thailand | 48.4 | 2011 |
| 25 | Mexico | 48.3 | 2008 |
| 26 | Madagascar | 47.5 | 2001 |
| 27 | Dominican Republic | 47.1 | 2013 est. |
| 28 | China | 46.9 | 2014 est. |
| 29 | El Salvador | 46.9 | 2007 |
| 30 | Rwanda | 46.8 | 2000 |
| 31 | Bolivia | 46.6 | 2012 |
| 32 | Singapore | 46.4 | 2014 |
| 33 | Malaysia | 46.2 | 2009 |
| 34 | Philippines | 46.0 | 2012 |
| 35 | Georgia | 46.0 | 2011 |
| 36 | South Sudan | 46.0 | 2010 est. |
| 37 | Saudi Arabia | 45.9 | 2013 est. |
| 38 | Argentina | 45.8 | 2009 |
| 39 | Mozambique | 45.6 | 2008 |
| 40 | Jamaica | 45.5 | 2004 |
| 41 | Uruguay | 45.3 | 2010 |
| 42 | Peru | 45.3 | 2012 |
| 43 | United States | 45.0 | 2007 |
| 44 | Cameroon | 44.6 | 2001 |
| 45 | Guyana | 44.6 | 2007 |
| 46 | Iran | 44.5 | 2006 |
| 47 | Nigeria | 43.7 | 2003 |
| 48 | Macedonia | 43.6 | 2013 |
| 49 | Chad | 43.3 | 2011 est. |
| 50 | Israel | 42.8 | 2013 |
| 51 | Kenya | 42.5 | 2008 est. |
| 52 | Burundi | 42.4 | 1998 |
| 53 | Ghana | 42.3 | 2012-13 |
| 54 | Russia | 42.0 | 2014 |
| 55 | Cote d'Ivoire | 41.5 | 2008 |
| 56 | Djibouti | 40.9 | 2002 |
| 57 | Morocco | 40.9 | 2007 est. |
| 58 | Turkmenistan | 40.8 | 1998 |
| 59 | Nicaragua | 40.5 | 2010 |
| 60 | Senegal | 40.3 | 2011 |
| 61 | Turkey | 40.2 | 2010 |
| 62 | Mali | 40.1 | 2001 |
