CIA - The World Factbook --  Distribution of family income - Gini index   

This index measures the degree of inequality in the distribution of family income in a country. The index is calculated from the Lorenz curve, in which cumulative family income is plotted against the number of families arranged from the poorest to the richest. The index is the ratio of (a) the area between a country's Lorenz curve and the 45 degree helping line to (b) the entire triangular area under the 45 degree line. The more nearly equal a country's income distribution, the closer its Lorenz curve to the 45 degree line and the lower its Gini index, e.g., a Scandinavian country with an index of 25. The more unequal a country's income distribution, the farther its Lorenz curve from the 45 degree line and the higher its Gini index, e.g., a Sub-Saharan country with an index of 50. If income were distributed with perfect equality, the Lorenz curve would coincide with the 45 degree line and the index would be zero; if income were distributed with perfect inequality, the Lorenz curve would coincide with the horizontal axis and the right vertical axis and the index would be 100.

| Rank | country | Distribution of family income - Gini index | Date of Information |
| --- | --- | --- | --- |
| 1 | Namibia | 70.7 | 2003 |
| 2 | South Africa | 65.0 | 2005 |
| 3 | Lesotho | 63.2 | 1995 |
| 4 | Botswana | 63.0 | 1993 |
| 5 | Sierra Leone | 62.9 | 1989 |
| 6 | Central African Republic | 61.3 | 1993 |
| 7 | Haiti | 59.2 | 2001 |
| 8 | Bolivia | 58.2 | 2009 |
| 9 | Honduras | 57.7 | 2007 |
| 10 | Colombia | 56.0 | 2010 |
| 11 | Guatemala | 55.1 | 2007 |
| 12 | Thailand | 53.6 | 2009 |
| 13 | Hong Kong | 53.3 | 2007 |
| 14 | Paraguay | 53.2 | 2009 |
| 15 | Chile | 52.1 | 2009 |
| 16 | Brazil | 51.9 | 2012 |
| 17 | Panama | 51.9 | 2010 est. |
| 18 | Mexico | 51.7 | 2008 |
| 19 | Papua New Guinea | 50.9 | 1996 |
| 20 | Zambia | 50.8 | 2004 |
| 21 | Swaziland | 50.4 | 2001 |
| 22 | Costa Rica | 50.3 | 2009 |
| 23 | Gambia, The | 50.2 | 1998 |
| 24 | Zimbabwe | 50.1 | 2006 |
| 25 | Sri Lanka | 49.0 | 2010 |
| 26 | Dominican Republic | 48.4 | 2007 |
| 27 | China | 48.0 | 2009 |
| 28 | Madagascar | 47.5 | 2001 |
| 29 | Singapore | 47.3 | 2011 |
| 30 | Ecuador | 47.3 | June 2011 |
| 31 | El Salvador | 46.9 | 2007 |
| 32 | Rwanda | 46.8 | 2000 |
| 33 | Malaysia | 46.2 | 2009 |
| 34 | Peru | 46.0 | 2010 |
| 35 | Argentina | 45.8 | 2009 |
| 36 | Philippines | 45.8 | 2006 |
| 37 | Mozambique | 45.6 | 2008 |
| 38 | Jamaica | 45.5 | 2004 |
| 39 | Uruguay | 45.3 | 2010 |
| 40 | Bulgaria | 45.3 | 2007 |
| 41 | United States | 45.0 | 2007 |
| 42 | Guyana | 44.6 | 2007 |
| 43 | Cameroon | 44.6 | 2001 |
| 44 | Iran | 44.5 | 2006 |
| 45 | Cambodia | 44.4 | 2007 est. |
| 46 | Uganda | 44.3 | 2009 |
| 47 | Macedonia | 44.2 | 2008 |
| 48 | Nigeria | 43.7 | 2003 |
| 49 | Kenya | 42.5 | 2008 est. |
| 50 | Burundi | 42.4 | 1998 |
| 51 | Russia | 42.0 | 2010 |
| 52 | Cote d'Ivoire | 41.5 | 2008 |
| 53 | Senegal | 41.3 | 2001 |
| 54 | Morocco | 40.9 | 2007 est. |
| 55 | Georgia | 40.8 | 2009 |
| 56 | Turkmenistan | 40.8 | 1998 |
| 57 | Nicaragua | 40.5 | 2010 |
| 58 | Turkey | 40.2 | 2010 |
| 59 | Mali | 40.1 | 2001 |
| 60 | Tunisia | 40.0 | 2005 est. |
| 61 | Jordan | 39.7 | 2007 |
| 62 | Burkina Faso | 39.5 | 2007 |
| 63 | Guinea | 39.4 | 2007 |
| 64 | Ghana | 39.4 | 2005-06 |
| 65 | Israel | 39.2 | 2008 |
| 66 | Mauritania | 39.0 | 2000 |
| 67 | Mauritius | 39.0 | 2006 est. |
| 68 | Venezuela | 39.0 | 2011 |
| 69 | Malawi | 39.0 | 2004 |
| 70 | Portugal | 38.5 | 2007 |
| 71 | Moldova | 38.0 | 2008 |
| 72 | Yemen | 37.7 | 2005 |
| 73 | Vietnam | 37.6 | 2008 |
| 74 | Japan | 37.6 | 2008 |
| 75 | Tanzania | 37.6 | 2007 |
| 76 | India | 36.8 | 2004 |
| 77 | Uzbekistan | 36.8 | 2003 |
| 78 | Indonesia | 36.8 | 2009 |
| 79 | Laos | 36.7 | 2008 |
| 80 | Mongolia | 36.5 | 2008 |
| 81 | Benin | 36.5 | 2003 |
| 82 | New Zealand | 36.2 | 1997 |
| 83 | Bosnia and Herzegovina | 36.2 | 2007 |
| 84 | Lithuania | 35.5 | 2009 |
| 85 | Algeria | 35.3 | 1995 |
| 86 | Latvia | 35.2 | 2010 |
| 87 | Albania | 34.5 | 2008 |
| 88 | Egypt | 34.4 | 2001 |
| 89 | Poland | 34.2 | 2008 |
| 90 | United Kingdom | 34.0 | 2005 |
| 91 | Niger | 34.0 | 2007 |
| 92 | Ireland | 33.9 | 2010 |
