CIA - The World Factbook --  DISTRIBUTION OF FAMILY INCOME - GINI INDEX

Distribution of family income - Gini index measures the degree of inequality in the distribution of family income in a country. The more nearly equal a country's income distribution, the lower its Gini index, e.g., a Scandinavian country with an index of 25. The more unequal a country's income distribution, the higher its Gini index, e.g., a Sub-Saharan country with an index of 50. If income were distributed with perfect equality the index would be zero; if income were distributed with perfect inequality, the index would be 100.

| Rank | Country | DISTRIBUTION OF FAMILY INCOME - GINI INDEX | Date of Information |
| --- | --- | --- | --- |
| 1 | Lesotho | 63.2 | 1995 |
| 2 | South Africa | 62.5 | 2013 est. |
| 3 | Central African Republic | 61.3 | 1993 |
| 4 | Micronesia, Federated States of | 61.1 | 2013 est. |
| 5 | Haiti | 60.8 | 2012 |
| 6 | Botswana | 60.5 | 2009 |
| 7 | Namibia | 59.7 | 2010 |
| 8 | Zambia | 57.5 | 2013 |
| 9 | Hong Kong | 53.7 | 2011 |
| 10 | Colombia | 53.5 | 2014 |
| 11 | Guatemala | 53.0 | 2014 est. |
| 12 | Paraguay | 51.7 | 2014 |
| 13 | Papua New Guinea | 50.9 | 1996 |
| 14 | Panama | 50.7 | 2014 est. |
| 15 | Chile | 50.5 | 2013 |
| 16 | Swaziland | 50.4 | 2001 |
| 17 | Gambia, The | 50.2 | 1998 |
| 18 | Zimbabwe | 50.1 | 2006 |
| 19 | Brazil | 49.7 | 2014 |
| 20 | Sri Lanka | 49.0 | 2010 |
| 21 | Nigeria | 48.8 | 2013 |
| 22 | Costa Rica | 48.5 | 2014 |
| 23 | Ecuador | 48.5 | December 2013 |
| 24 | Mexico | 48.2 | 2014 |
| 25 | Dominican Republic | 47.1 | 2013 est. |
| 26 | Nicaragua | 47.1 | 2014 |
| 27 | Honduras | 47.1 | 2014 |
| 28 | Bolivia | 47.0 | 2016 est. |
| 29 | Rwanda | 46.8 | 2000 |
| 30 | China | 46.5 | 2016 est. |
| 31 | Malaysia | 46.2 | 2009 |
| 32 | Malawi | 46.1 | 2010 |
| 33 | South Sudan | 46.0 | 2010 est. |
| 34 | Togo | 46.0 | 2011 |
| 35 | Saudi Arabia | 45.9 | 2013 est. |
| 36 | Singapore | 45.8 | 2016 |
| 37 | Mozambique | 45.6 | 2008 |
| 38 | Jamaica | 45.5 | 2004 |
| 39 | Peru | 45.3 | 2012 |
| 40 | United States | 45.0 | 2007 |
| 41 | Cameroon | 44.6 | 2001 |
| 42 | Guyana | 44.6 | 2007 |
| 43 | Thailand | 44.5 | 2015 |
| 44 | Iran | 44.5 | 2006 |
| 45 | Philippines | 44.4 | 2015 est. |
| 46 | Chad | 43.3 | 2011 est. |
| 47 | Israel | 42.8 | 2013 |
| 48 | Argentina | 42.7 | 2014 |
| 49 | Kenya | 42.5 | 2008 est. |
| 50 | Burundi | 42.4 | 1998 |
| 51 | Ghana | 42.3 | 2012-13 |
| 52 | Uruguay | 41.6 | 2014 |
| 53 | Cote d'Ivoire | 41.5 | 2008 |
| 54 | Russia | 41.2 | 2015 |
| 55 | Madagascar | 41.0 | 2012 |
| 56 | Djibouti | 40.9 | 2002 |
| 57 | Morocco | 40.9 | 2007 est. |
| 58 | Turkmenistan | 40.8 | 1998 |
| 59 | Senegal | 40.3 | 2011 |
| 60 | Turkey | 40.2 | 2010 |
| 61 | Mali | 40.1 | 2001 |
| 62 | Georgia | 40.1 | 2014 |
