CIA - The World Factbook --  DISTRIBUTION OF FAMILY INCOME - GINI INDEX

Distribution of family income - Gini index measures the degree of inequality in the distribution of family income in a country. The more nearly equal a country's income distribution, the lower its Gini index, e.g., a Scandinavian country with an index of 25. The more unequal a country's income distribution, the higher its Gini index, e.g., a Sub-Saharan country with an index of 50. If income were distributed with perfect equality the index would be zero; if income were distributed with perfect inequality, the index would be 100.

| Rank | Country | DISTRIBUTION OF FAMILY INCOME - GINI INDEX | Date of Information |
| --- | --- | --- | --- |
| 1 | Lesotho | 63.2 | 1995 |
| 2 | South Africa | 63.1 | 2005 |
| 3 | Botswana | 63.0 | 1993 |
| 4 | Sierra Leone | 62.9 | 1989 |
| 5 | Central African Republic | 61.3 | 1993 |
| 6 | Namibia | 59.7 | 2010 |
| 7 | Haiti | 59.2 | 2001 |
| 8 | Honduras | 57.7 | 2007 |
| 9 | Zambia | 57.5 | 2010 |
| 10 | Guatemala | 55.1 | 2007 |
| 11 | Hong Kong | 53.7 | 2011 |
| 12 | Colombia | 53.5 | 2012 |
| 13 | Paraguay | 53.2 | 2009 |
| 14 | Chile | 52.1 | 2009 |
| 15 | Panama | 51.9 | 2010 est. |
| 16 | Brazil | 51.9 | 2012 |
| 17 | Papua New Guinea | 50.9 | 1996 |
| 18 | Swaziland | 50.4 | 2001 |
| 19 | Costa Rica | 50.3 | 2009 |
| 20 | Gambia, The | 50.2 | 1998 |
| 21 | Zimbabwe | 50.1 | 2006 |
| 22 | Sri Lanka | 49.0 | 2010 |
| 23 | Ecuador | 48.5 | December 2013 |
| 24 | Mexico | 48.3 | 2008 |
| 25 | Madagascar | 47.5 | 2001 |
| 26 | China | 47.3 | 2013 |
| 27 | El Salvador | 46.9 | 2007 |
| 28 | Rwanda | 46.8 | 2000 |
| 29 | Bolivia | 46.6 | 2012 |
| 30 | Singapore | 46.3 | 2013 |
| 31 | Malaysia | 46.2 | 2009 |
| 32 | Georgia | 46.0 | 2011 |
| 33 | South Sudan | 46.0 | 2010 est. |
| 34 | Argentina | 45.8 | 2009 |
| 35 | Dominican Republic | 45.7 | 2012 est. |
| 36 | Mozambique | 45.6 | 2008 |
| 37 | Jamaica | 45.5 | 2004 |
| 38 | Bulgaria | 45.3 | 2007 |
| 39 | Peru | 45.3 | 2012 |
| 40 | Uruguay | 45.3 | 2010 |
| 41 | United States | 45.0 | 2007 |
| 42 | Philippines | 44.8 | 2009 |
| 43 | Cameroon | 44.6 | 2001 |
| 44 | Guyana | 44.6 | 2007 |
| 45 | Iran | 44.5 | 2006 |
| 46 | Uganda | 44.3 | 2009 |
| 47 | Nigeria | 43.7 | 2003 |
| 48 | Kenya | 42.5 | 2008 est. |
| 49 | Burundi | 42.4 | 1998 |
| 50 | Russia | 42.0 | 2012 |
| 51 | Cote d'Ivoire | 41.5 | 2008 |
| 52 | Senegal | 41.3 | 2001 |
| 53 | Djibouti | 40.9 | 2002 |
| 54 | Morocco | 40.9 | 2007 est. |
| 55 | Turkmenistan | 40.8 | 1998 |
| 56 | Nicaragua | 40.5 | 2010 |
| 57 | Turkey | 40.2 | 2010 |
| 58 | Mali | 40.1 | 2001 |
| 59 | Tunisia | 40.0 | 2005 est. |
| 60 | Jordan | 39.7 | 2007 |
| 61 | Burkina Faso | 39.5 | 2007 |
| 62 | Ghana | 39.4 | 2005-06 |
| 63 | Guinea | 39.4 | 2007 |
