CIA - The World Factbook 2000 -- Internet Service Providers (ISPs)

| Country | Internet Service Providers (ISPs) |
| --- | --- |
| **Afghanistan** | NA |
| **Albania** | 2 (1999) |
| **Algeria** | 1 (1999) |
| **American Samoa** | NA |
| **Andorra** | NA |
| **Angola** | 2 (1999) |
| **Anguilla** | NA |
| **Antarctica** | NA |
| **Antigua and Barbuda** | NA |
| **Argentina** | 47 (1999) |
| **Armenia** | 1 (1999) |
| **Aruba** | NA |
| **Australia** | 709 (1999) |
| **Austria** | 35 (1999) |
| **Azerbaijan** | 2 (1999) |
| **Bahamas, The** | 3 (1999) |
| **Bahrain** | 3 (1999) |
| **Bangladesh** | 6 (1999) |
| **Barbados** | 3 (1999) |
| **Belarus** | 1 (1999) |
| **Belgium** | 51 (1999) |
| **Belize** | NA |
| **Benin** | NA |
| **Bermuda** | 3 (1999) |
| **Bhutan** | NA |
| **Bolivia** | 5 (1999) |
| **Bosnia and Herzegovina** | 2 (1999) |
| **Botswana** | 2 (1999) |
| **Brazil** | 197 (1999) |
| **British Indian Ocean Territory** | NA |
| **British Virgin Islands** | 1 (1999) |
| **Brunei** | 1 (1999) |
| **Bulgaria** | 20 (1999) |
| **Burkina Faso** | 1 (1999) |
| **Burma** | 0 (1999) |
| **Burundi** | NA |
| **Cambodia** | 2 (1999) |
| **Cameroon** | NA |
| **Canada** | 750 (1999 est.) |
| **Cape Verde** | NA |
| **Cayman Islands** | 1 (1999) |
| **Central African Republic** | NA |
| **Chad** | 1 (1999) |
| **Chile** | 26 (1999) |
| **China** | 3 (1999) |
| **Christmas Island** | NA |
| **Cocos (Keeling) Islands** | NA |
| **Colombia** | 13 (1999) |
| **Comoros** | 1 (1999) |
| **Congo, Democratic Republic of the** | 1 (1999) |
| **Congo, Republic of the** | NA |
| **Cook Islands** | 1 (1999) |
| **Costa Rica** | 2 (1999) |
| **Cote d'Ivoire** | NA |
| **Croatia** | 4 (1999) |
| **Cuba** | 1 (1999) |
| **Cyprus** | 5 (1999) |
| **Czech Republic** | 35 (1999) |
| **Denmark** | 12 (1999) |
| **Djibouti** | NA |
| **Dominica** | NA |
| **Dominican Republic** | 1 (1999) |
| **Ecuador** | 8 (1999) |
| **Egypt** | 31 (1999) |
| **El Salvador** | 2 (1999) |
| **Equatorial Guinea** | NA |
| **Eritrea** | 1 (1999) |
| **Estonia** | 6 (1999) |
| **Ethiopia** | 1 (1999) |
| **Falkland Islands (Islas Malvinas)** | NA |
| **Faroe Islands** | NA |
| **Fiji** | 2 (1999) |
| **Finland** | 36 (1999) |
| **France** | 128 (1999) |
| **French Guiana** | NA |
| **French Polynesia** | NA |
| **Gabon** | 1 (1999) |
| **Gambia, The** | 2 (1999) |
| **Gaza Strip** | 3 (1999) |
| **Georgia** | 5 (1999) |
| **Germany** | 625 (1999) |
| **Ghana** | 2 (1999) |
| **Gibraltar** | NA |
| **Greece** | 23 (1999) |
| **Greenland** | 1 (1999) |
| **Grenada** | 1 (1999) |
| **Guadeloupe** | NA |
| **Guam** | 5 (1999) |
| **Guatemala** | 7 (1999) |
| **Guernsey** | NA |
| **Guinea** | NA |
| **Guinea-Bissau** | NA |
| **Guyana** | 2 (1999) |
| **Haiti** | 6 (1999) |
| **Holy See (Vatican City)** | NA |
| **Honduras** | 14 (1999) |
| **Hong Kong** | 49 (1999) |
| **Hungary** | 13 (1999) |
| **Iceland** | 14 (1999) |
| **India** | 3 (1999) |
| **Indonesia** | 24 (1999) |
| **Iran** | 1 (1999) |
| **Iraq** | 1 (1999) |
| **Ireland** | 14 (1999) |
| **Israel** | 23 (1999) |
| **Italy** | 219 (1999) |
| **Jamaica** | 6 (1999) |
| **Japan** | 357 (1999) |
| **Jersey** | NA |
| **Johnston Atoll** | NA |
| **Jordan** | 8 (1999) |
| **Kazakhstan** | 83 (Kazakhstan and Russia) (1999) |
| **Kenya** | 7 (1999) |
| **Kiribati** | NA |
| **Korea, North** | NA |
| **Korea, South** | 11 (1999) |
| **Kuwait** | 2 (1999) |
| **Kyrgyzstan** | NA |
| **Laos** | NA |
| **Latvia** | 11 (1999) |
| **Lebanon** | 19 (1999) |
| **Lesotho** | 1 (1999) |
| **Liberia** | NA |
| **Libya** | NA |
| **Liechtenstein** | 115 (Liechtenstein and Switzerland) (1999) |
| **Lithuania** | 10 (1999) |
| **Luxembourg** | 13 (1999) |
| **Macau** | NA |
| **Macedonia, The Former Yugoslav Republic of** | 6 (1999) |
| **Madagascar** | 3 (1999) |
| **Malawi** | 1 (1999) |
| **Malaysia** | 8 (1999) |
| **Maldives** | NA |
| **Mali** | 1 (1999) |
| **Malta** | 4 (1999) |
| **Man, Isle of** | NA |
| **Marshall Islands** | NA |
| **Martinique** | NA |
| **Mauritania** | NA |
| **Mauritius** | 1 (1999) |
