CIA -- The World Factbook -- Internet Service Providers (ISPs)

| Country | Internet Service Providers (ISPs) |
| --- | --- |
| **Afghanistan** | 1 (2000) |
| **Albania** | 7 (2000) |
| **Algeria** | 2 (2000) |
| **American Samoa** | 1 (2000) |
| **Andorra** | 1 (2000) |
| **Angola** | 1 (2000) |
| **Anguilla** | 16 (2000) |
| **Antarctica** | NA |
| **Antigua and Barbuda** | 16 (2000) |
| **Argentina** | 33 (2000) |
| **Armenia** | 1 (1999) |
| **Aruba** | NA |
| **Australia** | 264 (2000) |
| **Austria** | 37 (2000) |
| **Azerbaijan** | 2 (2000) |
| **Bahamas, The** | 19 (2000) |
| **Bahrain** | 1 (2000) |
| **Bangladesh** | 10 (2000) |
| **Barbados** | 19 (2000) |
| **Belarus** | 4 (2000) |
| **Belgium** | 61 (2000) |
| **Belize** | 2 (2000) |
| **Benin** | 1 (2000) |
| **Bermuda** | 20 (2000) |
| **Bhutan** | NA |
| **Bolivia** | 9 (2000) |
| **Bosnia and Herzegovina** | 3 (2000) |
| **Botswana** | 3 (2000) |
| **Brazil** | 50 (2000) |
| **British Indian Ocean Territory** | 1 (2000) |
| **British Virgin Islands** | 16 (2000) |
| **Brunei** | 2 (2000) |
| **Bulgaria** | 26 (2000) |
| **Burkina Faso** | 1 (2000) |
| **Burma** | 1 |
| | *note:*  as of September 2000, Internet connections were legal only for the government, tourist offices, and a few large businesses (2000) |
| **Burundi** | 1 (2000) |
| **Cambodia** | 2 (2000) |
| **Cameroon** | 1 (2000) |
| **Canada** | 760 (2000 est.) |
| **Cape Verde** | 1 (2000) |
| **Cayman Islands** | 16 (2000) |
| **Central African Republic** | 1 (2000) |
| **Chad** | 1 (2000) |
| **Chile** | 7 (2000) |
| **China** | 3 (2000) |
| **Christmas Island** | 2 (2000) |
| **Cocos (Keeling) Islands** | 2 (2000) |
| **Colombia** | 18 (2000) |
| **Comoros** | 1 (2000) |
| **Congo, Democratic Republic of the** | 2 (2000) |
| **Congo, Republic of the** | 1 (2000) |
| **Cook Islands** | 3 (2000) |
| **Costa Rica** | 3 (of which only one is legal) (2000) |
| **Cote d'Ivoire** | 5 (2001) |
| **Croatia** | 9 (2000) |
| **Cuba** | 4 (2001) |
| **Cyprus** | 6 (2000) |
| **Czech Republic** | more than 300 (2000) |
| **Denmark** | 13 (2000) |
| **Djibouti** | 1 (2000) |
| **Dominica** | 16 (2000) |
| **Dominican Republic** | 24 (2000) |
| **Ecuador** | 13 (2000) |
| **Egypt** | 50 (2000) |
| **El Salvador** | 4 (2000) |
| **Equatorial Guinea** | 1 (2000) |
| **Eritrea** | 4 (2000) |
| **Estonia** | 28 (2000) |
| **Ethiopia** | 1 (2000) |
| **Falkland Islands (Islas Malvinas)** | 2 (2000) |
| **Faroe Islands** | 2 (2000) |
| **Fiji** | 2 (2000) |
| **Finland** | 23 (2000) |
| **France** | 62 (2000) |
| **French Guiana** | 2 (2000) |
| **French Polynesia** | 2 (2000) |
| **Gabon** | 1 (2000) |
| **Gambia, The** | 2 (2001) |
| **Gaza Strip** | 3 (1999) |
