CIA - The World Factbook --  Electricity - consumption   

This entry consists of total electricity generated annually plus imports and minus exports, expressed in kilowatt-hours. The discrepancy between the amount of electricity generated and/or imported and the amount consumed and/or exported is accounted for as loss in transmission and distribution.

| Rank | country | (kWh) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 3,741,000,000,000 | 2009 est. |
| 2 | China | 3,438,000,000,000 | 2008 est. |
| 3 | European Union | 2,887,000,000,000 | 2008 est. |
| 4 | Japan | 963,900,000,000 | 2008 est. |
| 5 | Russia | 857,600,000,000 | 2008 est. |
| 6 | India | 600,600,000,000 | 2008 est. |
| 7 | Canada | 549,500,000,000 | 2008 est. |
| 8 | Germany | 544,500,000,000 | 2008 est. |
| 9 | France | 460,900,000,000 | 2008 est. |
| 10 | Brazil | 421,000,000,000 | 2009 est. |
| 11 | Korea, South | 402,000,000,000 | 2009 est. |
| 12 | United Kingdom | 344,700,000,000 | 2008 est. |
| 13 | Italy | 314,500,000,000 | 2008 est. |
| 14 | Spain | 267,500,000,000 | 2008 est. |
| 15 | Australia | 225,400,000,000 | 2008 est. |
| 16 | Taiwan | 220,800,000,000 | 2009 |
| 17 | South Africa | 212,200,000,000 | 2008 est. |
| 18 | Iran | 206,700,000,000 | 2009 est. |
| 19 | Mexico | 181,500,000,000 | 2009 est. |
| 20 | Saudi Arabia | 174,500,000,000 | 2008 est. |
| 21 | Turkey | 161,000,000,000 | 2008 est. |
| 22 | Ukraine | 134,600,000,000 | 2009 est. |
| 23 | Poland | 132,200,000,000 | 2008 est. |
| 24 | Sweden | 132,100,000,000 | 2008 est. |
| 25 | Thailand | 131,600,000,000 | 2008 est. |
| 26 | Indonesia | 126,100,000,000 | 2008 est. |
| 27 | Norway | 115,600,000,000 | 2008 est. |
| 28 | Netherlands | 112,500,000,000 | 2008 est. |
| 29 | Egypt | 109,100,000,000 | 2008 est. |
| 30 | Argentina | 104,700,000,000 | 2008 est. |
| 31 | Malaysia | 93,800,000,000 | 2009 est. |
| 32 | Vietnam | 85,600,000,000 | 2010 est. |
| 33 | Belgium | 84,780,000,000 | 2008 est. |
| 34 | Venezuela | 84,720,000,000 | 2008 est. |
| 35 | Finland | 83,090,000,000 | 2008 est. |
| 36 | Kazakhstan | 77,900,000,000 | 2009 est. |
| 37 | United Arab Emirates | 70,580,000,000 | 2008 est. |
| 38 | Pakistan | 68,550,000,000 | 2008 est. |
| 39 | Austria | 65,670,000,000 | 2009 est. |
| 40 | Greece | 59,530,000,000 | 2008 est. |
| 41 | Switzerland | 57,500,000,000 | 2009 |
| 42 | Chile | 56,350,000,000 | 2008 est. |
| 43 | Philippines | 54,400,000,000 | 2009 est. |
| 44 | Czech Republic | 53,420,000,000 | 2009 est. |
| 45 | Iraq | 52,000,000,000 | 2009 est. |
| 46 | Romania | 50,590,000,000 | 2008 est. |
| 47 | Portugal | 48,270,000,000 | 2008 est. |
| 48 | Israel | 47,160,000,000 | 2008 est. |
| 49 | Hungary | 42,700,000,000 | 2010 est. |
| 50 | Hong Kong | 42,640,000,000 | 2010 est. |
| 51 | Kuwait | 42,580,000,000 | 2008 est. |
| 52 | Uzbekistan | 40,100,000,000 | 2009 est. |
| 53 | New Zealand | 39,020,000,000 | 2008 est. |
| 54 | Colombia | 38,820,000,000 | 2008 est. |
| 55 | Singapore | 37,110,000,000 | 2008 est. |
| 56 | Serbia | 34,100,000,000 | 2010 |
| 57 | Denmark | 33,410,000,000 | 2008 est. |
| 58 | Peru | 31,740,000,000 | 2009 est. |
| 59 | Belarus | 31,070,000,000 | 2008 est. |
| 60 | Algeria | 30,500,000,000 | 2008 est. |
| 61 | Syria | 28,990,000,000 | 2008 est. |
| 62 | Slovakia | 28,750,000,000 | 2009 est. |
| 63 | Bulgaria | 28,300,000,000 | 2009 |
| 64 | Ireland | 26,990,000,000 | 2010 est. |
| 65 | Bangladesh | 23,940,000,000 | 2009 est. |
| 66 | Libya | 22,890,000,000 | 2008 est. |
| 67 | Morocco | 21,470,000,000 | 2008 est. |
| 68 | Puerto Rico | 19,460,000,000 | 2008 est. |
| 69 | Korea, North | 18,850,000,000 | 2008 est. |
| 70 | Azerbaijan | 18,800,000,000 | 2008 est. |
| 71 | Qatar | 18,790,000,000 | 2008 est. |
| 72 | Nigeria | 18,140,000,000 | 2008 est. |
| 73 | Tajikistan | 16,700,000,000 | 2009 |
| 74 | Iceland | 16,480,000,000 | 2009 est. |
| 75 | Croatia | 16,060,000,000 | 2008 est. |
| 76 | Ecuador | 14,750,000,000 | 2008 est. |
| 77 | Slovenia | 14,700,000,000 | 2009 est. |
| 78 | Cuba | 14,200,000,000 | 2008 est. |
| 79 | Oman | 13,250,000,000 | 2008 est. |
| 80 | Turkmenistan | 13,000,000,000 | 2009 est. |
| 81 | Dominican Republic | 12,870,000,000 | 2008 est. |
| 82 | Tunisia | 12,490,000,000 | 2008 est. |
| 83 | Zimbabwe | 12,470,000,000 | 2008 est. |
| 84 | Jordan | 11,300,000,000 | 2008 est. |
| 85 | Bosnia and Herzegovina | 10,800,000,000 | 2009 est. |
| 86 | Bahrain | 10,480,000,000 | 2008 est. |
| 87 | Lithuania | 10,300,000,000 | 2008 est. |
