CIA - The World Factbook --  ELECTRICITY - CONSUMPTION

Electricity - consumption compares total electricity generated annually plus imports and minus exports, expressed in kilowatt-hours.

| Rank | Country | (KWH) | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 5,920,000,000,000 | 2016 est. |
| 2 | United States | 3,911,000,000,000 | 2015 est. |
| 3 | European Union | 2,771,000,000,000 | 2013 est. |
| 4 | India | 1,048,000,000,000 | 2015 est. |
| 5 | Japan | 933,600,000,000 | 2015 est. |
| 6 | Russia | 890,100,000,000 | 2015 est. |
| 7 | Canada | 516,600,000,000 | 2015 est. |
| 8 | Germany | 514,600,000,000 | 2015 est. |
| 9 | Brazil | 500,600,000,000 | 2015 est. |
| 10 | Korea, South | 497,000,000,000 | 2016 est. |
| 11 | France | 436,100,000,000 | 2015 est. |
| 12 | United Kingdom | 301,600,000,000 | 2015 est. |
| 13 | Italy | 296,000,000,000 | 2015 est. |
| 14 | Saudi Arabia | 292,800,000,000 | 2015 est. |
| 15 | Taiwan | 255,300,000,000 | 2016 est. |
| 16 | Mexico | 245,200,000,000 | 2015 est. |
| 17 | Spain | 240,400,000,000 | 2015 est. |
| 18 | Australia | 223,600,000,000 | 2015 est. |
| 19 | Iran | 220,900,000,000 | 2015 est. |
| 20 | Turkey | 213,200,000,000 | 2015 est. |
| 21 | South Africa | 207,700,000,000 | 2015 est. |
| 22 | Indonesia | 199,300,000,000 | 2015 est. |
| 23 | Thailand | 168,300,000,000 | 2015 est. |
| 24 | Egypt | 150,400,000,000 | 2015 est. |
| 25 | Poland | 141,300,000,000 | 2015 est. |
| 26 | Vietnam | 134,300,000,000 | 2015 est. |
| 27 | Ukraine | 133,400,000,000 | 2015 est. |
| 28 | Norway | 133,100,000,000 | 2016 est. |
| 29 | Malaysia | 133,000,000,000 | 2015 est. |
| 30 | Sweden | 125,400,000,000 | 2015 est. |
| 31 | Argentina | 122,500,000,000 | 2015 est. |
| 32 | United Arab Emirates | 110,600,000,000 | 2015 est. |
| 33 | Netherlands | 106,000,000,000 | 2015 est. |
| 34 | Kazakhstan | 95,260,000,000 | 2015 est. |
| 35 | Pakistan | 85,900,000,000 | 2015 est. |
| 36 | Belgium | 81,960,000,000 | 2015 est. |
| 37 | Finland | 79,070,000,000 | 2015 est. |
| 38 | Philippines | 74,150,000,000 | 2016 est. |
