CIA - The World Factbook --  Electricity - consumption   

This entry consists of total electricity generated annually plus imports and minus exports, expressed in kilowatt-hours. The discrepancy between the amount of electricity generated and/or imported and the amount consumed and/or exported is accounted for as loss in transmission and distribution.

| Rank | country | (kWh) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 3,873,000,000,000 | 2008 est. |
| 2 | China | 3,438,000,000,000 | 2008 est. |
| 3 | European Union | 2,906,000,000,000 | 2007 est. |
| 4 | Japan | 925,500,000,000 | 2008 est. |
| 5 | Russia | 857,600,000,000 | 2009 |
| 6 | India | 568,000,000,000 | 2007 est. |
| 7 | Germany | 547,300,000,000 | 2007 est. |
| 8 | Canada | 536,100,000,000 | 2007 est. |
| 9 | France | 447,200,000,000 | 2007 est. |
| 10 | Brazil | 404,300,000,000 | 2007 est. |
| 11 | Korea, South | 402,000,000,000 | 2009 est. |
| 12 | United Kingdom | 345,800,000,000 | 2007 est. |
| 13 | Italy | 315,000,000,000 | 2007 est. |
| 14 | Spain | 276,100,000,000 | 2008 est. |
| 15 | Taiwan | 229,800,000,000 | 2008 |
| 16 | Australia | 222,000,000,000 | 2007 est. |
| 17 | South Africa | 215,100,000,000 | 2007 est. |
| 18 | Iran | 206,700,000,000 | 2007 est. |
| 19 | Turkey | 198,100,000,000 | 2008 est. |
| 20 | Mexico | 181,500,000,000 | 2009 est. |
| 21 | Saudi Arabia | 165,100,000,000 | 2007 est. |
| 22 | Ukraine | 134,600,000,000 | 2009 est. |
| 23 | Sweden | 134,500,000,000 | 2007 est. |
| 24 | Thailand | 134,400,000,000 | 2008 est. |
| 25 | Poland | 129,300,000,000 | 2007 est. |
| 26 | Norway | 128,800,000,000 | 2008 est. |
| 27 | Netherlands | 124,100,000,000 | 2008 est. |
| 28 | Indonesia | 119,300,000,000 | 2007 est. |
| 29 | Egypt | 104,100,000,000 | 2007 est. |
| 30 | Malaysia | 99,250,000,000 | 2007 est. |
| 31 | Argentina | 99,210,000,000 | 2007 est. |
| 32 | Finland | 87,250,000,000 | 2008 |
| 33 | Belgium | 84,880,000,000 | 2007 est. |
| 34 | Venezuela | 83,020,000,000 | 2007 est. |
| 35 | Kazakhstan | 77,900,000,000 | 2009 est. |
| 36 | Vietnam | 74,500,000,000 | 2009 est. |
| 37 | Pakistan | 72,200,000,000 | 2007 est. |
| 38 | Austria | 68,370,000,000 | 2008 est. |
| 39 | United Arab Emirates | 65,980,000,000 | 2007 est. |
| 40 | Switzerland | 62,000,000,000 | 2009 est. |
| 41 | Czech Republic | 61,650,000,000 | 2007 est. |
| 42 | Greece | 58,280,000,000 | 2007 est. |
| 43 | Chile | 57,290,000,000 | 2007 est. |
| 44 | Iraq | 52,000,000,000 | 2009 est. |
| 45 | Romania | 49,440,000,000 | 2007 est. |
| 46 | Philippines | 48,960,000,000 | 2007 est. |
| 47 | Portugal | 48,780,000,000 | 2007 est. |
| 48 | Israel | 46,380,000,000 | 2007 est. |
| 49 | Hong Kong | 42,100,000,000 | 2009 est. |
| 50 | Kuwait | 40,210,000,000 | 2007 est. |
| 51 | Uzbekistan | 40,100,000,000 | 2009 est. |
| 52 | New Zealand | 39,240,000,000 | 2007 est. |
| 53 | Colombia | 38,590,000,000 | 2007 |
| 54 | Singapore | 37,940,000,000 | 2008 est. |
| 55 | Hungary | 37,400,000,000 | 2008 est. |
| 56 | Denmark | 34,300,000,000 | 2008 est. |
| 57 | Serbia | 33,400,000,000 | 2009 |
| 58 | Belarus | 30,540,000,000 | 2007 est. |
| 59 | Bulgaria | 29,900,000,000 | 2008 |
| 60 | Peru | 28,970,000,000 | 2008 est. |
| 61 | Slovakia | 28,750,000,000 | 2009 est. |
| 62 | Algeria | 28,340,000,000 | 2007 est. |
| 63 | Syria | 27,350,000,000 | 2007 est. |
| 64 | Ireland | 25,120,000,000 | 2007 est. |
| 65 | Bangladesh | 23,940,000,000 | 2007 est. |
| 66 | Libya | 22,170,000,000 | 2007 est. |
| 67 | Puerto Rico | 22,060,000,000 | 2007 est. |
| 68 | Morocco | 20,780,000,000 | 2007 est. |
| 69 | Nigeria | 19,210,000,000 | 2007 est. |
