CIA - The World Factbook --  Freshwater withdrawal (domestic/industrial/agricultural)   

This entry provides the annual quantity of water in cubic kilometers removed from available sources for use in any purpose. Water drawn-off is not necessarily entirely consumed and some portion may be returned for further use downstream. Domestic sector use refers to water supplied by public distribution systems. Note that some of this total may be used for small industrial and/or limited agricultural purposes. Industrial sector use is the quantity of water used by self-supplied industries not connected to a public distribution system. Agricultural sector use includes water used for irrigation and livestock watering, and does not account for agriculture directly dependent on rainfall. Included are figures for total annual water withdrawal and per capita water withdrawal.

| Rank | country | () | Date of Information |
| --- | --- | --- | --- |
| 1 | Turkmenistan | 5,104.00 | 2000 |
| 2 | Kazakhstan | 2,360.00 | 2000 |
| 3 | Uzbekistan | 2,194.00 | 2000 |
| 4 | Guyana | 2,187.00 | 2000 |
| 5 | Hungary | 2,082.00 | 2001 |
| 6 | Azerbaijan | 2,051.00 | 2000 |
| 7 | Kyrgyzstan | 1,916.00 | 2000 |
| 8 | Tajikistan | 1,837.00 | 2000 |
| 9 | United States | 1,600.00 | 2000 |
| 10 | Suriname | 1,489.00 | 2000 |
| 11 | Iraq | 1,482.00 | 2000 |
| 12 | Canada | 1,386.00 | 1996 |
| 13 | Thailand | 1,288.00 | 2000 |
| 14 | Ecuador | 1,283.00 | 2000 |
| 15 | Australia | 1,193.00 | 2000 |
| 16 | Macedonia | 1,118.00 | 2000 |
| 17 | Pakistan | 1,072.00 | 2000 |
| 18 | Estonia | 1,060.00 | 2002 |
| 19 | Portugal | 1,056.00 | 1998 |
| 20 | Syria | 1,048.00 | 2000 |
| 21 | Iran | 1,048.00 | 2000 |
| 22 | Sudan | 1,030.00 | 2000 |
| 23 | Swaziland | 1,010.00 | 2000 |
| 24 | Armenia | 977.00 | 2000 |
| 25 | Lithuania | 971.00 | 2003 |
| 26 | Egypt | 923.00 | 2000 |
| 27 | Uruguay | 910.00 | 2000 |
| 28 | Bulgaria | 895.00 | 2003 |
| 29 | Spain | 864.00 | 2002 |
| 30 | Vietnam | 847.00 | 2000 |
| 31 | Georgia | 808.00 | 2000 |
| 32 | Ukraine | 807.00 | 2000 |
| 33 | Madagascar | 804.00 | 2000 |
| 34 | Greece | 782.00 | 1997 |
| 35 | Afghanistan | 779.00 | 2000 |
| 36 | Chile | 770.00 | 2000 |
| 37 | Argentina | 753.00 | 2000 |
| 38 | Mexico | 731.00 | 2000 |
| 39 | Libya | 730.00 | 2000 |
| 40 | Cuba | 728.00 | 2000 |
| 41 | Italy | 723.00 | 1998 |
| 42 | Peru | 720.00 | 2000 |
| 43 | Belgium | 714.00 | 1998 |
| 44 | Saudi Arabia | 705.00 | 2000 |
| 45 | Japan | 690.00 | 2000 |
| 46 | Burma | 658.00 | 2000 |
| 47 | India | 645.84 | 2000 |
| 48 | Costa Rica | 619.00 | 2000 |
| 49 | Sri Lanka | 608.00 | 2000 |
| 50 | India | 585.00 | 2000 |
| 51 | Iceland | 567.00 | 2003 |
| 52 | Bangladesh | 560.00 | 2000 |
| 53 | Belize | 556.00 | 2000 |
| 54 | Mauritania | 554.00 | 2000 |
| 55 | China | 549.76 | 2000 |
| 56 | Moldova | 549.00 | 2000 |
| 57 | France | 548.00 | 2000 |
| 58 | Albania | 546.00 | 2000 |
| 59 | Turkey | 544.00 | 2001 |
| 60 | Netherlands | 544.00 | 2001 |
| 61 | Russia | 535.00 | 2000 |
| 62 | Oman | 529.00 | 2000 |
| 63 | New Zealand | 524.00 | 2000 |
| 64 | Norway | 519.00 | 1996 |
| 65 | United Arab Emirates | 511.00 | 2000 |
| 66 | Laos | 507.00 | 2000 |
| 67 | Mauritius | 488.00 | 2000 |
| 68 | Mali | 484.00 | 2000 |
| 69 | United States | 477.00 | 2000 |
| 70 | Germany | 460.00 | 2001 |
| 71 | Slovenia | 457.00 | 2002 |
| 72 | Austria | 448.00 | 1999 |
| 73 | Finland | 444.00 | 1999 |
| 74 | China | 415.00 | 2000 |
| 75 | Bahrain | 411.00 | 2000 |
| 76 | Korea, North | 401.00 | 2000 |
| 77 | Somalia | 400.00 | 2000 |
| 78 | Morocco | 400.00 | 2000 |
| 79 | Korea, South | 389.00 | 2000 |
| 80 | Lebanon | 385.00 | 2000 |
| 81 | Dominican Republic | 381.00 | 2000 |
| 82 | Nepal | 375.00 | 2000 |
| 83 | Indonesia | 372.00 | 2000 |
| 84 | Qatar | 358.00 | 2000 |
| 85 | Malaysia | 356.00 | 2000 |
| 86 | Switzerland | 348.00 | 2002 |
| 87 | Philippines | 343.00 | 2000 |
| 88 | Barbados | 333.00 | 2000 |
| 89 | Zimbabwe | 324.00 | 2002 |
| 90 | Brazil | 318.00 | 2000 |
| 91 | Yemen | 316.00 | 2000 |
| 92 | Venezuela | 313.00 | 2000 |
| 93 | Israel | 305.00 | 2000 |
| 94 | Poland | 304.00 | 2002 |
| 95 | Romania | 299.00 | 2003 |
| 96 | Sweden | 296.00 | 2002 |
| 97 | Cambodia | 290.00 | 2000 |
