CIA - The World Factbook --  ELECTRICITY - FROM HYDROELECTRIC PLANTS

Electricity - from hydroelectric plants measures the capacity of plants that generate electricity by water-driven turbines, expressed as a share of the country's total generating capacity.

| Rank | Country | (% OF TOTAL INSTALLED CAPACITY) | Date of Information |
| --- | --- | --- | --- |
| 1 | Lesotho | 100.0 | 2015 est. |
| 2 | Paraguay | 99.3 | 2015 est. |
| 3 | Bhutan | 99.0 | 2015 est. |
| 4 | Congo, Democratic Republic of the | 98.7 | 2015 est. |
| 5 | Laos | 98.2 | 2015 est. |
| 6 | Zambia | 97.9 | 2015 est. |
| 7 | Albania | 94.8 | 2015 est. |
| 8 | Malawi | 93.3 | 2015 est. |
| 9 | Tajikistan | 93.0 | 2016 est. |
| 10 | Nepal | 89.8 | 2015 est. |
| 11 | Norway | 88.4 | 2015 est. |
| 12 | Mozambique | 85.6 | 2015 est. |
| 13 | Burundi | 83.8 | 2015 est. |
| 14 | Ethiopia | 79.5 | 2015 est. |
| 15 | Kyrgyzstan | 79.4 | 2015 est. |
| 16 | Uganda | 76.6 | 2015 est. |
| 17 | Montenegro | 75.2 | 2015 est. |
| 18 | Iceland | 71.7 | 2015 est. |
| 19 | Colombia | 69.0 | 2015 est. |
| 20 | Sierra Leone | 66.7 | 2015 est. |
| 21 | Burma | 65.9 | 2015 est. |
| 22 | Rwanda | 65.8 | 2015 est. |
| 23 | Namibia | 64.6 | 2015 est. |
| 24 | Georgia | 63.8 | 2015 est. |
| 25 | Costa Rica | 62.0 | 2015 est. |
| 26 | Switzerland | 61.0 | 2015 est. |
| 27 | Cambodia | 60.3 | 2015 est. |
| 28 | Sudan | 60.2 | 2015 est. |
| 29 | Brazil | 59.2 | 2015 est. |
| 30 | Central African Republic | 56.8 | 2015 est. |
| 31 | New Zealand | 56.5 | 2015 est. |
| 32 | Ghana | 55.7 | 2015 est. |
| 33 | Afghanistan | 55.1 | 2015 est. |
| 34 | Korea, North | 55.0 | 2015 est. |
| 35 | Latvia | 54.1 | 2015 est. |
| 36 | Angola | 54.0 | 2015 est. |
| 37 | Panama | 53.9 | 2015 est. |
| 38 | Canada | 53.7 | 2015 est. |
| 39 | Guinea | 49.7 | 2015 est. |
| 40 | Gabon | 49.3 | 2015 est. |
| 41 | Greenland | 48.7 | 2015 est. |
| 42 | Bosnia and Herzegovina | 48.3 | 2015 est. |
| 43 | Tanzania | 47.3 | 2015 est. |
| 44 | Venezuela | 47.1 | 2015 est. |
| 45 | Cameroon | 46.7 | 2015 est. |
| 46 | Equatorial Guinea | 44.9 | 2015 est. |
| 47 | Suriname | 43.4 | 2015 est. |
| 48 | Sri Lanka | 41.1 | 2015 est. |
| 49 | Vietnam | 41.0 | 2015 est. |
| 50 | Sweden | 40.9 | 2015 est. |
| 51 | Ecuador | 39.9 | 2015 est. |
| 52 | Fiji | 39.0 | 2015 est. |
| 53 | Croatia | 39.0 | 2015 est. |
| 54 | Serbia | 38.8 | 2016 est. |
| 55 | Congo, Republic of the | 38.3 | 2015 est. |
| 56 | Zimbabwe | 37.1 | 2015 est. |
| 57 | Liberia | 36.7 | 2016 est. |
| 58 | Kenya | 35.6 | 2015 est. |
| 59 | Turkey | 35.4 | 2015 est. |
| 60 | Uruguay | 34.9 | 2015 est. |
| 61 | Peru | 33.9 | 2015 est. |
| 62 | Faroe Islands | 33.5 | 2016 est. |
| 63 | Austria | 33.2 | 2015 est. |
| 64 | Cote d'Ivoire | 33.1 | 2015 est. |
| 65 | Macedonia | 32.8 | 2016 est. |
| 66 | Slovenia | 31.9 | 2016 est. |
| 67 | Armenia | 31.9 | 2015 est. |
| 68 | Pakistan | 31.8 | 2015 est. |
| 69 | Mali | 31.2 | 2015 est. |
| 70 | Papua New Guinea | 31.1 | 2015 est. |
| 71 | Chile | 30.0 | 2015 est. |
| 72 | Bulgaria | 30.0 | 2016 est. |
| 73 | Togo | 29.3 | 2015 est. |
| 74 | Belize | 28.3 | 2015 est. |
| 75 | Guatemala | 28.3 | 2015 est. |
| 76 | Romania | 28.0 | 2015 est. |
| 77 | Samoa | 26.7 | 2015 est. |
| 78 | El Salvador | 25.6 | 2015 est. |
