CIA - The World Factbook --  ELECTRICITY - FROM HYDROELECTRIC PLANTS

Electricity - from hydroelectric plants measures the capacity of plants that generate electricity by water-driven turbines, expressed as a share of the country's total generating capacity.

| Rank | Country | (% OF TOTAL INSTALLED CAPACITY) | Date of Information |
| --- | --- | --- | --- |
| 1 | Lesotho | 100.0 | 2012 est. |
| 2 | Paraguay | 99.9 | 2012 est. |
| 3 | Zambia | 99.6 | 2012 est. |
| 4 | Bhutan | 99.3 | 2013 est. |
| 5 | Malawi | 99.3 | 2012 est. |
| 6 | Congo, Democratic Republic of the | 98.6 | 2012 est. |
| 7 | Laos | 98.3 | 2012 est. |
| 8 | Burundi | 98.2 | 2012 est. |
| 9 | Albania | 94.8 | 2013 est. |
| 10 | Norway | 92.7 | 2014 est. |
| 11 | Nepal | 92.5 | 2012 est. |
| 12 | Tajikistan | 91.0 | 2013 est. |
| 13 | Mozambique | 89.8 | 2012 est. |
| 14 | Ethiopia | 88.2 | 2012 est. |
| 15 | Congo, Republic of the | 87.8 | 2012 est. |
| 16 | Kyrgyzstan | 78.9 | 2012 est. |
| 17 | Togo | 78.3 | 2012 est. |
| 18 | Equatorial Guinea | 77.4 | 2012 est. |
| 19 | Montenegro | 75.3 | 2013 est. |
| 20 | Burma | 75.2 | 2012 est. |
| 21 | Cameroon | 71.5 | 2012 est. |
| 22 | Iceland | 70.6 | 2012 est. |
| 23 | Latvia | 70.2 | 2012 est. |
| 24 | Brazil | 69.3 | 2012 est. |
| 25 | Namibia | 68.2 | 2013 est. |
| 26 | Switzerland | 67.8 | 2012 est. |
| 27 | Colombia | 67.2 | 2012 est. |
| 28 | Sierra Leone | 66.7 | 2012 est. |
| 29 | Tanzania | 66.5 | 2012 est. |
| 30 | Sudan | 66.3 | 2012 est. |
| 31 | South Sudan | 66.3 | 2010 est. |
| 32 | Rwanda | 65.7 | 2012 est. |
| 33 | Afghanistan | 64.4 | 2012 est. |
| 34 | Panama | 61.3 | 2012 est. |
