CIA - The World Factbook --     

| Rank | country | | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 400,000,000 | 1997 |
| 2 | United States | 219,000,000 | 1997 |
| 3 | Japan | 86,500,000 | 1997 |
| 4 | India | 63,000,000 | 1997 |
| 5 | Russia | 60,500,000 | 1997 |
| 6 | Germany | 51,400,000 | 1998 |
| 7 | Brazil | 36,500,000 | 1997 |
| 8 | France | 34,800,000 | 1997 |
| 9 | United Kingdom | 30,500,000 | 1997 |
| 10 | Italy | 30,300,000 | 1997 |
| 11 | Mexico | 25,600,000 | 1997 |
| 12 | Canada | 21,500,000 | 1997 |
| 13 | Turkey | 20,900,000 | 1997 |
| 14 | Ukraine | 18,050,000 | 1997 |
| 15 | Spain | 16,200,000 | 1997 |
| 16 | Korea, South | 15,900,000 | 1997 |
| 17 | Thailand | 15,190,000 | 1997 |
| 18 | Indonesia | 13,750,000 | 1997 |
| 19 | Poland | 13,050,000 | 1997 |
| 20 | Malaysia | 10,800,000 | 1999 |
| 21 | Australia | 10,150,000 | 1997 |
| 22 | Taiwan | 8,800,000 | 1998 |
| 23 | Netherlands | 8,100,000 | 1997 |
| 24 | Argentina | 7,950,000 | 1997 |
| 25 | Egypt | 7,700,000 | 1997 |
| 26 | Nigeria | 6,900,000 | 1997 |
| 27 | Congo, Democratic Republic of the | 6,478,000 | 1997 |
| 28 | Uzbekistan | 6,400,000 | 1997 |
| 29 | South Africa | 6,000,000 | 2000 |
| 30 | Romania | 5,250,000 | 1997 |
| 31 | Saudi Arabia | 5,100,000 | 1997 |
| 32 | Belgium | 4,720,000 | 1997 |
| 33 | Iran | 4,610,000 | 1997 |
| 34 | Sweden | 4,600,000 | 1997 |
| 35 | Colombia | 4,590,000 | 1997 |
| 36 | Hungary | 4,420,000 | 1997 |
| 37 | Austria | 4,250,000 | 1997 |
| 38 | Venezuela | 4,100,000 | 1997 |
| 39 | Kazakhstan | 3,880,000 | 1997 |
| 40 | Philippines | 3,700,000 | 1997 |
| 41 | Vietnam | 3,570,000 | 1997 |
| 42 | Czech Republic | 3,405,834 | December 2000 |
| 43 | Bulgaria | 3,310,000 | 1997 |
| 44 | Portugal | 3,310,000 | 1997 |
| 45 | Switzerland | 3,310,000 | 1997 |
| 46 | Finland | 3,200,000 | 1997 |
| 47 | Chile | 3,150,000 | 1997 |
| 48 | Denmark | 3,121,000 | 1997 |
| 49 | Algeria | 3,100,000 | 1997 |
| 50 | Pakistan | 3,100,000 | 1997 |
| 51 | Morocco | 3,100,000 | 1997 |
| 52 | Peru | 3,060,000 | 1997 |
| 53 | Cuba | 2,640,000 | 1997 |
| 54 | Slovakia | 2,620,000 | 1997 |
| 55 | Georgia | 2,570,000 | 1997 |
| 56 | Greece | 2,540,000 | 1997 |
| 57 | Belarus | 2,520,000 | 1997 |
| 58 | Ecuador | 2,500,000 | 2001 |
| 59 | Sudan | 2,380,000 | 1997 |
| 60 | Norway | 2,030,000 | 1997 |
| 61 | New Zealand | 1,926,000 | 1997 |
| 62 | Ghana | 1,900,000 | 2001 |
| 63 | Hong Kong | 1,840,000 | 1997 |
| 64 | Ireland | 1,820,000 | 2001 |
| 65 | Iraq | 1,750,000 | 1997 |
| 66 | Lithuania | 1,700,000 | 1997 |
| 67 | Israel | 1,690,000 | 1997 |
| 68 | Oman | 1,600,000 | 1997 |
| 69 | Sri Lanka | 1,530,000 | 1997 |
| 70 | Singapore | 1,330,000 | 1997 |
| 71 | Guatemala | 1,323,000 | 1997 |
| 72 | Moldova | 1,260,000 | 1997 |
| 73 | Latvia | 1,220,000 | 1997 |
| 74 | Croatia | 1,220,000 | 1997 |
| 75 | Korea, North | 1,200,000 | 1997 |
| 76 | Lebanon | 1,180,000 | 1997 |
| 77 | Cote d'Ivoire | 1,090,000 | 2000 |
| 78 | Syria | 1,050,000 | 1997 |
| 79 | Puerto Rico | 1,021,000 | 1997 |
| 80 | Paraguay | 990,000 | 2001 |
| 81 | Tunisia | 920,000 | 1997 |
| 82 | Bolivia | 900,000 | 1997 |
| 83 | Kuwait | 875,000 | 1997 |
| 84 | Armenia | 825,000 | 1997 |
| 85 | Tajikistan | 820,000 | 1997 |
| 86 | Turkmenistan | 820,000 | 1997 |
| 87 | Uruguay | 782,000 | 1997 |
| 88 | Dominican Republic | 770,000 | 1997 |
| 89 | Bangladesh | 770,000 | 1997 |
| 90 | Libya | 730,000 | 1997 |
| 91 | Kenya | 730,000 | 1997 |
| 92 | Slovenia | 710,000 | 1997 |
| 93 | Albania | 700,000 | 2001 |
| 94 | Ethiopia | 682,000 | 2002 |
| 95 | Estonia | 605,000 | 1997 |
| 96 | El Salvador | 600,000 | 1990 |
| 97 | Honduras | 570,000 | 1997 |
| 98 | Costa Rica | 525,000 | 1997 |
| 99 | Macedonia | 510,000 | 1997 |
| 100 | Panama | 510,000 | 1997 |
| 101 | Jordan | 500,000 | 1997 |
| 102 | Uganda | 500,000 | 2001 |
| 103 | Yemen | 470,000 | 1997 |
| 104 | Jamaica | 460,000 | 1997 |
| 105 | Cameroon | 450,000 | 1997 |
| 106 | Trinidad and Tobago | 425,000 | 1997 |
| 107 | Zimbabwe | 370,000 | 1997 |
| 108 | Senegal | 361,000 | 1997 |
| 109 | Madagascar | 325,000 | 1997 |
| 110 | Nicaragua | 320,000 | 1997 |
| 111 | Burma | 320,000 | 2000 |
| 112 | United Arab Emirates | 310,000 | 1997 |
| 113 | Luxembourg | 285,000 | 1998 est. |
| 114 | Malta | 280,000 | 1997 |
| 115 | Zambia | 277,000 | 1997 |
| 116 | Bahrain | 275,000 | 1997 |
| 117 | Mauritius | 258,000 | 1997 |
| 118 | Cyprus | 248,000 | NA |
| 119 | Qatar | 230,000 | 1997 |
| 120 | Kyrgyzstan | 210,000 | 1997 |
| 121 | Brunei | 201,900 | 1998 |
| 122 | Angola | 196,000 | 2000 |
| 123 | Azerbaijan | 170,000 | 1997 |
| 124 | Mongolia | 168,800 | 1999 |
| 125 | Somalia | 135,000 | 1997 |
| 126 | Burkina Faso | 131,340 | 2002 |
| 127 | Nepal | 130,000 | 1997 |
| 128 | Niger | 125,000 | 1997 |
| 129 | Tanzania | 103,000 | 1997 |
| 130 | Afghanistan | 100,000 | 1999 |
| 131 | Mauritania | 98,000 | 2001 |
| 132 | Iceland | 98,000 | 1997 |
| 133 | Cambodia | 94,000 | 1997 |
| 134 | Fiji | 88,110 | 1999 |
| 135 | Guinea | 85,000 | 1997 |
| 136 | Barbados | 76,000 | 1997 |
| 137 | Togo | 73,000 | 1997 |
| 138 | Liberia | 70,000 | 1997 |
| 139 | Virgin Islands | 68,000 | 1997 |
| 140 | Mozambique | 67,600 | 2000 |
| 141 | Bahamas, The | 67,000 | 1997 |
| 142 | Benin | 66,000 | 2000 |
| 143 | Bermuda | 66,000 | 1997 |
| 144 | Suriname | 63,000 | 1997 |
| 145 | Gabon | 63,000 | 1997 |
| 146 | Namibia | 60,000 | 1997 |
| 147 | Papua New Guinea | 59,841 | 1999 |
| 148 | Sierra Leone | 53,000 | 1997 |
| 149 | Cyprus | 52,300 | NA |
| 150 | Laos | 52,000 | 1997 |
| 151 | New Caledonia | 52,000 | 1997 |
| 152 | Macau | 49,000 | 1997 |
| 153 | Guyana | 46,000 | 1997 |
| 154 | Mali | 45,000 | 1997 |
| 155 | Belize | 41,000 | 1997 |
| 156 | French Polynesia | 40,000 | 1997 |
| 157 | Haiti | 38,000 | 1997 |
| 158 | Grenada | 33,000 | 1997 |
| 159 | Congo, Republic of the | 33,000 | 1997 |
| 160 | Saint Lucia | 32,000 | 1997 |
| 161 | Antigua and Barbuda | 31,000 | 1997 |
| 162 | Botswana | 31,000 | 1997 |
| 163 | Greenland | 30,000 | 1998 est. |
| 164 | Djibouti | 28,000 | 1997 |
| 165 | Isle of Man | 27,490 | 1999 |
| 166 | Andorra | 27,000 | 1997 |
| 167 | Burundi | 25,000 | 1997 |
| 168 | Monaco | 25,000 | 1997 |
| 169 | Sao Tome and Principe | 23,000 | 1997 |
| 170 | Swaziland | 23,000 | 2000 |
| 171 | Aruba | 20,000 | 1997 |
| 172 | Saint Vincent and the Grenadines | 18,000 | 1997 |
| 173 | Central African Republic | 18,000 | 1997 |
| 174 | Cape Verde | 15,000 | 2002 est. |
| 175 | Faroe Islands | 15,000 | 1997 |
| 176 | American Samoa | 14,000 | 1997 |
| 177 | Liechtenstein | 12,000 | 1997 |
| 178 | Bhutan | 11,000 | 1997 |
| 179 | Seychelles | 11,000 | 1997 |
| 180 | Palau | 11,000 | 1997 |
| 181 | Gibraltar | 10,000 | 1997 |
| 182 | Saint Kitts and Nevis | 10,000 | 1997 |
| 183 | Maldives | 10,000 | 1999 |
| 184 | Chad | 10,000 | 1997 |
| 185 | San Marino | 9,000 | 1997 |
| 186 | Samoa | 8,634 | 1999 |
| 187 | Cayman Islands | 7,000 | 1997 |
| 188 | Dominica | 6,000 | 1997 |
| 189 | Western Sahara | 6,000 | 1997 |
| 190 | Gambia, The | 5,000 | 2000 |
| 191 | Saint Pierre and Miquelon | 4,000 | 1997 |
| 192 | Equatorial Guinea | 4,000 | 1997 |
| 193 | British Virgin Islands | 4,000 | 1997 |
| 194 | Cook Islands | 4,000 | 1997 |
| 195 | Solomon Islands | 3,000 | 1997 |
| 196 | Montserrat | 3,000 | 1997 |
| 197 | Micronesia, Federated States of | 2,800 | 1999 |
| 198 | Vanuatu | 2,300 | 1999 |
| 199 | Saint Helena, Ascension, and Tristan da Cunha | 2,000 | 1997 |
| 200 | Tonga | 2,000 | 1997 |
| 201 | Norfolk Island | 1,200 | 1996 |
| 202 | Anguilla | 1,000 | 1997 |
| 203 | Kiribati | 1,000 | 1997 |
| 204 | Eritrea | 1,000 | 1997 |
| 205 | Falkland Islands (Islas Malvinas) | 1,000 | 1997 |
| 206 | Comoros | 1,000 | 1997 |
| 207 | Tuvalu | 800 | NA |
| 208 | Christmas Island | 600 | 1997 |
| 209 | Nauru | 500 | 1997 |
