CIA - The World Factbook -- Field Listing - GDP - real growth rate

| Country | GDP - real growth rate (%) |
| --- | --- |
| **Afghanistan** | 14% (2005 est.) |
| **Albania** | 5.5% (2005 est.) |
| **Algeria** | 5.5% (2005 est.) |
| **American Samoa** | 3% NA% |
| **Andorra** | 4% (2004 est.) |
| **Angola** | 19.9% (2005 est.) |
| **Anguilla** | 10.2% (2004 est.) |
| **Antigua and Barbuda** | 3.8% (2005 est.) |
| **Argentina** | 9.2% (2005 est.) |
| **Armenia** | 13.9% (2005 est.) |
| **Aruba** | 2.4% (2005 est.) |
| **Australia** | 2.7% (2005 est.) |
| **Austria** | 1.8% (2005 est.) |
| **Azerbaijan** | 26.4% (2005 est.) |
| **Bahamas, The** | 3.7% (2005 est.) |
| **Bahrain** | 5.9% (2005 est.) |
| **Bangladesh** | 6.4% (2005 est.) |
| **Barbados** | 4.1% (2005 est.) |
| **Belarus** | 9.2% (2005 est.) |
| **Belgium** | 1.5% (2005 est.) |
| **Belize** | 3.8% (2005 est.) |
| **Benin** | 3.5% (2005 est.) |
| **Bermuda** | 4.6% (2004 est.) |
| **Bhutan** | 5.9% (2005 est.) |
| **Bolivia** | 4.1% (2005 est.) |
| **Bosnia and Herzegovina** | 5% (2005 est.) |
| **Botswana** | 5.5% (2005 est.) |
| **Brazil** | 2.3% (2005 est.) |
| **British Virgin Islands** | 1% (2002 est.) |
| **Brunei** | 1.7% (2004 est.) |
| **Bulgaria** | 5.5% (2005 est.) |
| **Burkina Faso** | 3.5% (2005 est.) |
| **Burma** | 5.2% (2005 est.) |
| **Burundi** | 1.1% (2005 est.) |
| **Cambodia** | 13.4% (2005 est.) |
| **Cameroon** | 2.4% (2005 est.) |
| **Canada** | 2.9% (2005 est.) |
| **Cape Verde** | 5.5% (2005 est.) |
| **Cayman Islands** | 0.9% (2004 est.) |
| **Central African Republic** | 2.2% (2005 est.) |
| **Chad** | 6% (2005 est.) |
| **Chile** | 6.3% (2005 est.) |
| **China** | 10.2% (official data) (2005 est.) |
| **Colombia** | 5.2% (2005 est.) |
| **Comoros** | 3% (2005 est.) |
| **Congo, Democratic Republic of the** | 7.1% (2005 est.) |
| **Congo, Republic of the** | 8.2% (2005 est.) |
| **Cook Islands** | 0.1% (2005 est.) |
| **Costa Rica** | 5.9% (2005 est.) |
| **Cote d'Ivoire** | 1% (2005 est.) |
| **Croatia** | 4.3% (2005 est.) |
| **Cuba** | 8% (2005 est.) |
| **Cyprus** | *Republic of Cyprus:* 3.8%; north Cyprus: 10.6% (2005 est.) |
| **Czech Republic** | 6.1% (2005 est.) |
| **Denmark** | 3.2% (2005 est.) |
| **Djibouti** | 3.2% (2005 est.) |
| **Dominica** | 3.1% (2005 est.) |
| **Dominican Republic** | 9.3% (2005 est.) |
| **East Timor** | 1.8% (2005 est.) |
| **Ecuador** | 4.7% (2005 est.) |
| **Egypt** | 4.9% (2005 est.) |
| **El Salvador** | 2.8% (2005 est.) |
| **Equatorial Guinea** | 18.6% (2005 est.) |
| **Eritrea** | 2% (2005 est.) |
| **Estonia** | 10.5% (2005 est.) |
| **Ethiopia** | 8.9% (2005 est.) |
| **European Union** | 1.7% (2005 est.) |
| **Falkland Islands (Islas Malvinas)** | NA% |
| **Faroe Islands** | 10% (2001 est.) |
| **Fiji** | 1.7% (2005 est.) |
| **Finland** | 3% (2005 est.) |
| **France** | 1.2% (2005 est.) |
| **French Guiana** | NA% |
| **French Polynesia** | NA% (2001 est.) |
| **Gabon** | 2.9% (2005 est.) |
