CIA - The World Factbook 2000 -- GDP - real growth rate

| Country | GDP - real growth rate |
| --- | --- |
| **Afghanistan** | NA% |
| **Albania** | 8% (1999 est.) |
| **Algeria** | 3.9% (1999 est.) |
| **American Samoa** | NA% |
| **Andorra** | NA% |
| **Angola** | 4% (1999 est.) |
| **Anguilla** | 6.5% (1998 est.) |
| **Antigua and Barbuda** | 2.8% (1999 est.) |
| **Argentina** | -3% (1999 est.) |
| **Armenia** | 5% (1999 est.) |
| **Aruba** | 3% (1998) |
| **Australia** | 4.3% (1999 est.) |
| **Austria** | 2% (1999 est.) |
| **Azerbaijan** | 7% (1999 est.) |
| **Bahamas, The** | 3% (1998 est.) |
| **Bahrain** | 4% (1999 est.) |
| **Bangladesh** | 5.2% (1999 est.) |
| **Barbados** | 4.4% (1998 est.) |
| **Belarus** | 1.5% (1999 est.) |
| **Belgium** | 1.8% (1999 est.) |
| **Belize** | 4% (1999 est.) |
| **Benin** | 5% (1999 est.) |
| **Bermuda** | 2.5% (1999 est.) |
| **Bhutan** | 7% (1999 est.) |
| **Bolivia** | 2% (1999 est.) |
| **Bosnia and Herzegovina** | 5% (1999 est.) |
| **Botswana** | 6.5% (1999 est.) |
| **Brazil** | 0.8% (1999 est.) |
| **British Virgin Islands** | 6.8% (1999 est.) |
| **Brunei** | 2.5% (1999 est.) |
| **Bulgaria** | 2.5% (1999 est.) |
| **Burkina Faso** | 5.5% (1999 est.) |
| **Burma** | 4.6% (1999 est.) |
| **Burundi** | -1% (1999 est.) |
| **Cambodia** | 4% (1999 est.) |
| **Cameroon** | 5.2% (1999 est.) |
| **Canada** | 3.6% (1999 est.) |
| **Cape Verde** | 5% (1999 est.) |
| **Cayman Islands** | 5% (1997 est.) |
| **Central African Republic** | 5% (1999 est.) |
| **Chad** | 0.6% (1999 est.) |
| **Chile** | -1% (1999 est.) |
| **China** | 7% (1999 est.) |
| **Christmas Island** | NA% |
| **Cocos (Keeling) Islands** | NA% |
| **Colombia** | -5% (1999 est.) |
| **Comoros** | 0% (1998 est.) |
| **Congo, Democratic Republic of the** | 1% (1999 est.) |
| **Congo, Republic of the** | 5% (1999 est.) |
| **Cook Islands** | NA% |
| **Costa Rica** | 7% (1999 est.) |
| **Cote d'Ivoire** | 5% (1999 est.) |
| **Croatia** | 0% (1999 est.) |
| **Cuba** | 6.2% (1999 est.) |
| **Cyprus** | *Greek Cypriot area:* 3.0%; Turkish Cypriot area: 5.3% (1998 est.) |
| **Czech Republic** | -0.5% (1999 est.) |
| **Denmark** | 1.3% (1999 est.) |
| **Djibouti** | 2% (1999 est.) |
| **Dominica** | 2% (1998 est.) |
| **Dominican Republic** | 8.3% (1999 est.) |
| **Ecuador** | -8% (1999 est.) |
| **Egypt** | 5% (1999 est.) |
| **El Salvador** | 2.2% (1999 est.) |
| **Equatorial Guinea** | 15% (1999 est.) |
| **Eritrea** | 3% (1999 est.) |
| **Estonia** | -0.5% (1999 est.) |
| **Ethiopia** | 0% (1999 est.) |
| **Falkland Islands (Islas Malvinas)** | NA% |
| **Faroe Islands** | 6% (1996 est.) |
| **Fiji** | 7.8% (1999 est.) |
| **Finland** | 3.5% (1999 est.) |
| **France** | 2.7% (1999 est.) |
| **French Guiana** | NA% |
| **French Polynesia** | NA% |
| **Gabon** | 1.7% (1999 est.) |
| **Gambia, The** | 4.2% (1999 est.) |
| **Gaza Strip** | 4.6% (1999 est.) |
| **Georgia** | 3.5% (1999 est.) |
| **Germany** | 1.5% (1999 est.) |
| **Ghana** | 4.3% (1999 est.) |
| **Gibraltar** | NA% |
| **Greece** | 3% (1999 est.) |
| **Greenland** | 0.6% (1997 est.) |
| **Grenada** | 5% (1999 est.) |
| **Guadeloupe** | NA% |
| **Guam** | NA% |
| **Guatemala** | 3.5% (1999 est.) |
| **Guernsey** | 2.3% (1997 est.) |
| **Guinea** | 3.7% (1999 est.) |
| **Guinea-Bissau** | 9.5% (1999 est.) |
| **Guyana** | 1.8% (1999 est.) |
| **Haiti** | 2.4% (1999 est.) |
| **Honduras** | -3% (1999 est.) |
| **Hong Kong** | 1.8% (1999 est.) |
| **Hungary** | 4% (1999 est.) |
| **Iceland** | 4.5% (1999 est.) |
| **India** | 5.5% (1999 est.) |
| **Indonesia** | 0% (1999 est.) |
| **Iran** | 1% (1999 est.) |
| **Iraq** | 13% (1999 est.) |
| **Ireland** | 8.4% (1999 est.) |
| **Israel** | 2.1% (1999 est.) |
| **Italy** | 1.3% (1999 est.) |
| **Jamaica** | -0.5% (1999 est.) |
| **Japan** | 0.3% (1999 est.) |
| **Jersey** | NA% |
| **Jordan** | 2% (1999 est.) |
| **Kazakhstan** | 1.7% (1999 est.) |
| **Kenya** | 1.5% (1999 est.) |
| **Kiribati** | 2.5% (1999 est.) |
