CIA - The World Factbook -- Field Listing - GDP - real growth rate

| Country | GDP - real growth rate (%) |
| --- | --- |
| **Afghanistan** | NA% |
| **Albania** | 7.3% (2002 est.) |
| **Algeria** | 3.3% (2002 est.) |
| **American Samoa** | NA% |
| **Andorra** | 3.8% (2000 est.) |
| **Angola** | 9.4% (2002 est.) |
| **Anguilla** | 2.8% (2001 est.) |
| **Antigua and Barbuda** | 3% (2002 est.) |
| **Argentina** | -10.9% (2002 est.) |
| **Armenia** | 12.9% (2002 est.) |
| **Aruba** | -1.5% (2002 est.) |
| **Australia** | 3.6% (2002 est.) |
| **Austria** | 1.1% (2002 est.) |
| **Azerbaijan** | 10.6% (2002 est.) |
| **Bahamas, The** | 0.1% (2002 est.) |
| **Bahrain** | 2.9% (2002 est.) |
| **Bangladesh** | 4.8% (2002 est.) |
| **Barbados** | -2.8% (2002 est.) |
| **Belarus** | 4.7% (2002 est.) |
| **Belgium** | 0.7% (2002 est.) |
| **Belize** | 3.7% (2002 est.) |
| **Benin** | 6% (2002 est.) |
| **Bermuda** | 0.5% (2002 est.) |
| **Bhutan** | 7.7% (2002 est.) |
| **Bolivia** | 2.8% (2002 est.) |
| **Bosnia and Herzegovina** | 2.3% (2002 est.) |
| **Botswana** | 4.2% (2002 est.) |
| **Brazil** | 1.5% (2002 est.) |
| **British Virgin Islands** | 1% (2002 est.) |
| **Brunei** | 3% (2002 est.) |
| **Bulgaria** | 4.8% (2002 est.) |
| **Burkina Faso** | 4.6% (2002 est.) |
| **Burma** | 5.3% (2002 est.) |
| **Burundi** | 4.5% (2002 est.) |
| **Cambodia** | 4.5% (2002 est.) |
| **Cameroon** | 4% (2002 est.) |
| **Canada** | 3.3% (2002 est.) |
| **Cape Verde** | 4% (2002 est.) |
| **Cayman Islands** | 1.7% (2002 est.) |
| **Central African Republic** | 1.5% (2002 est.) |
| **Chad** | 7.4% (2002 est.) |
| **Chile** | 2.1% (2002 est.) |
| **China** | 8% (official data) (2002 est.) |
| **Christmas Island** | NA% |
| **Cocos (Keeling) Islands** | NA% |
| **Colombia** | 1.5% (2002 est.) |
| **Comoros** | 2% (2002 est.) |
| **Congo, Democratic Republic of the** | 3.5% (2002 est.) |
| **Congo, Republic of the** | 0% (2002 est.) |
| **Cook Islands** | 7.1% (2001 est.) |
| **Costa Rica** | 2.8% (2002 est.) |
| **Cote d'Ivoire** | -1.6% (2002 est.) |
| **Croatia** | 5.2% (2002 est.) |
| **Cuba** | 1.1% (2002 est.) |
| **Cyprus** | *Greek Cypriot area:* 1.7% (2001 est.); Turkish Cypriot area: 2.6% (2002 est.) |
| **Czech Republic** | 2% (2002 est.) |
| **Denmark** | 1.6% (2002 est.) |
| **Djibouti** | 3.5% (2002 est.) |
| **Dominica** | 1.2% (2002 est.) |
| **Dominican Republic** | 4.1% (2002 est.) |
| **East Timor** | 18% (2001 est.) |
| **Ecuador** | 3.4% (2002 est.) |
| **Egypt** | 3.2% (2002 est.) |
| **El Salvador** | 2.1% (2002 est.) |
| **Equatorial Guinea** | 20% (2002 est.) |
| **Eritrea** | 2% (2002 est.) |
| **Estonia** | 6% (2002 est.) |
| **Ethiopia** | 3% (2002 est.) |
| **Falkland Islands (Islas Malvinas)** | NA% |
| **Faroe Islands** | 10% (2001 est.) |
| **Fiji** | 4.6% (2002 est.) |
| **Finland** | 1.6% (2002 est.) |
| **France** | 1.2% (2002 est.) |
| **French Guiana** | NA% |
| **French Polynesia** | 4% (2001 est.) |
| **Gabon** | 0.2% (2002 est.) |
| **Gambia, The** | 5.7% (2001 est.) |
| **Gaza Strip** | -15% (2002 est.) |
| **Georgia** | 5.4% (2002 est.) |
| **Germany** | 0.2% (2002 est.) |
| **Ghana** | 4.5% (2002 est.) |
| **Gibraltar** | NA% |
| **Greece** | 4% (2002 est.) |
| **Greenland** | 1.8% (2001 est.) |
| **Grenada** | 2.5% (2002 est.) |
| **Guadeloupe** | NA% |
| **Guam** | NA% |
| **Guatemala** | 2.2% (2002 est.) |
| **Guernsey** | 5.7% (1999 est.) |
| **Guinea** | 3.7% (2002 est.) |
| **Guinea-Bissau** | -4.3% (2002 est.) |
| **Guyana** | 1.1% (2002 est.) |
| **Haiti** | -0.9% (2002 est.) |
| **Honduras** | 2.5% (2002 est.) |
| **Hong Kong** | 2.3% (2002 est.) |
| **Hungary** | 3.3% (2002 est.) |
| **Iceland** | -0.6% (2002 est.) |
| **India** | 4.3% (2002 est.) |
| **Indonesia** | 3.7% (2002 est.) |
| **Iran** | 7.6% (2002 est.) |
| **Iraq** | -3% (2002 est.) |
| **Ireland** | 6.9% (2002 est.) |
| **Israel** | -0.8% (2002 est.) |
| **Italy** | 0.4% (2002 est.) |
| **Jamaica** | 1% (2002 est.) |
| **Japan** | 0.2% (2002 est.) |
