CIA - The World Factbook --  Stock of money   

This entry, also known as "M1," comprises the total quantity of currency in circulation (notes and coins) plus demand deposits denominated in the national currency, held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. The national currency units have been converted to US dollars at the closing exchange rate on the date of the information.

| Rank | country | Stock of money | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 5,542,000,000,000 | 31 December 2008 |
| 2 | Japan | $ 5,417,000,000,000 | 31 December 2008 |
| 3 | China | $ 2,434,000,000,000 | 31 December 2008 |
| 4 | United States | $ 1,436,000,000,000 | 31 December 2008 |
| 5 | Canada | $ 356,200,000,000 | 31 December 2008 |
| 6 | Russia | $ 252,500,000,000 | 31 December 2008 |
| 7 | Switzerland | $ 207,000,000,000 | 31 December 2008 est. |
| 8 | Sweden | $ 185,400,000,000 | 31 December 2008 |
| 9 | Denmark | $ 143,000,000,000 | 31 December 2008 |
| 10 | Poland | $ 118,200,000,000 | 31 December 2008 |
| 11 | Saudi Arabia | $ 113,200,000,000 | 31 December 2008 |
| 12 | Brazil | $ 95,030,000,000 | 31 December 2008 |
| 13 | Mexico | $ 92,340,000,000 | 31 December 2008 |
| 14 | Czech Republic | $ 86,550,000,000 | 31 December 2008 |
| 15 | Korea, South | $ 80,660,000,000 | 31 December 2008 |
| 16 | Venezuela | $ 79,910,000,000 | 31 December 2008 |
| 17 | Syria | $ 73,540,000,000 | 31 December 2008 |
| 18 | Hong Kong | $ 63,030,000,000 | 31 December 2008 |
| 19 | Algeria | $ 60,910,000,000 | 31 December 2008 |
| 20 | Turkey | $ 53,250,000,000 | 31 December 2008 |
| 21 | Singapore | $ 52,570,000,000 | 31 December 2008 |
| 22 | Malaysia | $ 51,510,000,000 | 31 December 2008 |
| 23 | South Africa | $ 44,660,000,000 | 31 December 2008 |
| 24 | Indonesia | $ 41,710,000,000 | 31 December 2008 |
| 25 | Nigeria | $ 35,290,000,000 | 31 December 2008 |
| 26 | Hungary | $ 32,780,000,000 | 31 December 2008 |
| 27 | Egypt | $ 31,720,000,000 | 31 December 2008 |
| 28 | Ukraine | $ 29,240,000,000 | 31 December 2008 |
| 29 | Thailand | $ 28,760,000,000 | 31 December 2008 |
| 30 | Libya | $ 26,660,000,000 | 31 December 2008 |
| 31 | Iraq | $ 26,100,000,000 | 31 December 2008 |
| 32 | Slovakia | $ 25,520,000,000 | 31 December 2008 |
| 33 | Romania | $ 25,300,000,000 | 31 December 2008 |
| 34 | Philippines | $ 22,530,000,000 | 31 December 2008 |
| 35 | Colombia | $ 21,580,000,000 | 31 December 2008 |
| 36 | Kazakhstan | $ 16,120,000,000 | 31 December 2008 |
| 37 | Peru | $ 15,420,000,000 | 31 December 2008 |
| 38 | Kuwait | $ 15,310,000,000 | 31 December 2008 |
| 39 | Chile | $ 14,720,000,000 | 31 December 2008 |
| 40 | Bulgaria | $ 14,290,000,000 | 31 December 2008 |
| 41 | Qatar | $ 13,980,000,000 | 31 December 2008 |
| 42 | New Zealand | $ 13,700,000,000 | 31 December 2008 |
| 43 | Croatia | $ 10,710,000,000 | 31 December 2008 |
| 44 | Tunisia | $ 9,892,000,000 | 31 December 2008 |
| 45 | Lithuania | $ 9,519,000,000 | 31 December 2008 |
| 46 | Bangladesh | $ 9,294,000,000 | 31 December 2008 |
| 47 | Angola | $ 8,446,000,000 | 31 December 2008 |
| 48 | Latvia | $ 6,688,000,000 | 31 December 2008 |
| 49 | Azerbaijan | $ 6,381,000,000 | 31 December 2008 |
| 50 | Estonia | $ 6,106,000,000 | 31 December 2008 |
| 51 | Guatemala | $ 6,106,000,000 | 31 December 2008 |
| 52 | Kenya | $ 6,068,000,000 | 31 December 2008 |
| 53 | Ecuador | $ 5,907,000,000 | 31 December 2008 |
| 54 | Oman | $ 5,250,000,000 | 31 December 2008 |
| 55 | Belarus | $ 4,872,000,000 | 31 December 2008 |
| 56 | Malta | $ 4,639,000,000 | 31 January 2008 |
| 57 | Bosnia and Herzegovina | $ 4,490,000,000 | 31 December 2008 |
| 58 | Costa Rica | $ 4,209,000,000 | 31 December 2008 |
| 59 | Bolivia | $ 3,998,000,000 | 31 December 2008 |
| 60 | Serbia | $ 3,831,000,000 | 31 December 2008 |
| 61 | Panama | $ 3,764,000,000 | 31 December 2008 |
| 62 | Dominican Republic | $ 3,619,000,000 | 31 December 2008 |
| 63 | Brunei | $ 3,046,000,000 | 31 December 2008 |
| 64 | Albania | $ 3,028,000,000 | 31 December 2008 |
| 65 | Sri Lanka | $ 2,550,000,000 | 30 September 2008 |
| 66 | Tanzania | $ 2,464,000,000 | 31 December 2008 |
| 67 | Trinidad and Tobago | $ 2,390,000,000 | 31 December 2008 |
| 68 | Uruguay | $ 2,247,000,000 | 31 December 2008 |
| 69 | Nepal | $ 2,106,000,000 | 31 December 2008 |
| 70 | Paraguay | $ 2,062,000,000 | 31 December 2008 |
| 71 | Papua New Guinea | $ 2,005,000,000 | 31 December 2008 |
| 72 | Namibia | $ 1,983,000,000 | 31 December 2008 |
| 73 | Afghanistan | $ 1,688,000,000 | 31 December 2008 |
| 74 | Mauritius | $ 1,680,000,000 | 31 December 2008 |
| 75 | Barbados | $ 1,637,000,000 | 31 December 2008 |
| 76 | Honduras | $ 1,633,000,000 | 31 December 2008 |
| 77 | Macau | $ 1,591,000,000 | 31 December 2008 |
| 78 | Uganda | $ 1,488,000,000 | 31 December 2008 |
| 79 | Mozambique | $ 1,406,000,000 | 31 December 2008 |
| 80 | Armenia | $ 1,359,000,000 | 31 December 2008 |
| 81 | Macedonia | $ 1,307,000,000 | 31 December 2008 |
| 82 | Bahamas, The | $ 1,255,000,000 | 31 December 2008 |
| 83 | Jamaica | $ 1,253,000,000 | 31 December 2008 |
| 84 | Madagascar | $ 1,217,000,000 | 31 December 2008 |
| 85 | Moldova | $ 1,116,000,000 | 31 December 2008 |
| 86 | Zambia | $ 1,034,000,000 | 31 December 2008 |
| 87 | Botswana | $ 1,008,000,000 | 31 December 2008 |
| 88 | Georgia | $ 972,400,000 | 31 December 2008 |
| 89 | Eritrea | $ 896,200,000 | 31 December 2008 |
| 90 | Aruba | $ 780,400,000 | 31 December 2008 |
| 91 | Cambodia | $ 591,700,000 | 31 December 2008 |
| 92 | Cape Verde | $ 563,400,000 | 31 December 2008 |
| 93 | Mongolia | $ 521,200,000 | 31 December 2008 |
| 94 | Nicaragua | $ 507,500,000 | 31 December 2008 |
| 95 | Suriname | $ 484,700,000 | 31 December 2008 |
| 96 | Maldives | $ 475,200,000 | 31 December 2008 |
| 97 | Djibouti | $ 462,700,000 | 31 December 2008 |
| 98 | Lesotho | $ 416,500,000 | 31 December 2008 |
| 99 | Belize | $ 345,700,000 | 31 December 2008 |
| 100 | Guyana | $ 344,200,000 | 31 December 2008 |
| 101 | Antigua and Barbuda | $ 296,400,000 | 31 December 2008 |
| 102 | Burundi | $ 261,600,000 | 31 December 2008 |
| 103 | Saint Lucia | $ 261,300,000 | 31 December 2008 |
| 104 | Rwanda | $ 233,600,000 | 31 December 2005 |
| 105 | El Salvador | $ 213,700,000 | 31 December 2008 |
| 106 | Swaziland | $ 211,800,000 | 31 December 2008 |
| 107 | Seychelles | $ 164,800,000 | 31 December 2008 |
| 108 | Saint Vincent and the Grenadines | $ 150,800,000 | 31 December 2008 |
| 109 | Grenada | $ 141,400,000 | 31 December 2008 |
| 110 | Saint Kitts and Nevis | $ 107,200,000 | 31 December 2008 |
| 111 | Timor-Leste | $ 102,800,000 | 31 December 2008 |
| 112 | Vanuatu | $ 101,600,000 | 31 December 2008 |
| 113 | Comoros | $ 100,600,000 | 31 December 2008 |
| 114 | Solomon Islands | $ 86,960,000 | 31 December 2008 |
| 115 | Dominica | $ 72,100,000 | 31 December 2008 |
| 116 | Samoa | $ 60,130,000 | 31 December 2008 |
| 117 | Tonga | $ 36,160,000 | 31 December 2008 |
| 118 | Sao Tome and Principe | $ 27,840,000 | 31 December 2008 |
| 119 | Anguilla | $ 21,120,000 | 31 December 2008 |
| 120 | Montserrat | $ 16,710,000 | 31 December 2008 |
