CIA - The World Factbook -- Field Listing - Administrative divisions

| Country | Administrative divisions |
| --- | --- |
| **Afghanistan** | 34 provinces (velayat, singular - velayat); Badakhshan, Badghis, Baghlan, Balkh, Bamian, Daykondi, Farah, Faryab, Ghazni, Ghowr, Helmand, Herat, Jowzjan, Kabol, Kandahar, Kapisa, Khowst, Konar, Kondoz, Laghman, Lowgar, Nangarhar, Nimruz, Nurestan, Oruzgan, Paktia, Paktika, Panjshir, Parvan, Samangan, Sar-e Pol, Takhar, Vardak, and Zabol |
| **Albania** | 12 counties (qarqe, singular - qark); Qarku i Beratit, Qarku i Dibres, Qarku i Durresit, Qarku i Elbasanit, Qarku i Fierit, Qarku i Gjirokastres, Qarku i Korces, Qarku i Kukesit, Qarku i Lezhes, Qarku i Shkodres, Qarku i Tiranes, Qarku i Vlores |
| **Algeria** | 48 provinces (wilayas, singular - wilaya); Adrar, Ain Defla, Ain Temouchent, Alger, Annaba, Batna, Bechar, Bejaia, Biskra, Blida, Bordj Bou Arreridj, Bouira, Boumerdes, Chlef, Constantine, Djelfa, El Bayadh, El Oued, El Tarf, Ghardaia, Guelma, Illizi, Jijel, Khenchela, Laghouat, Mascara, Medea, Mila, Mostaganem, M'Sila, Naama, Oran, Ouargla, Oum el Bouaghi, Relizane, Saida, Setif, Sidi Bel Abbes, Skikda, Souk Ahras, Tamanghasset, Tebessa, Tiaret, Tindouf, Tipaza, Tissemsilt, Tizi Ouzou, Tlemcen |
| **American Samoa** | none (territory of the US); there are no first-order administrative divisions as defined by the US Government, but there are three districts and two islands* at the second order; Eastern, Manu'a, Rose Island*, Swains Island*, Western |
| **Andorra** | 7 parishes (parroquies, singular - parroquia); Andorra la Vella, Canillo, Encamp, La Massana, Escaldes-Engordany, Ordino, Sant Julia de Loria |
| **Angola** | 18 provinces (provincias, singular - provincia); Bengo, Benguela, Bie, Cabinda, Cuando Cubango, Cuanza Norte, Cuanza Sul, Cunene, Huambo, Huila, Luanda, Lunda Norte, Lunda Sul, Malanje, Moxico, Namibe, Uige, Zaire |
| **Anguilla** | none (overseas territory of the UK) |
| **Antigua and Barbuda** | 6 parishes and 2 dependencies*; Barbuda*, Redonda*, Saint George, Saint John, Saint Mary, Saint Paul, Saint Peter, Saint Philip |
| **Argentina** | 23 provinces (provincias, singular - provincia), and 1 autonomous city* (distrito federal); Buenos Aires, Buenos Aires Capital Federal*, Catamarca, Chaco, Chubut, Cordoba, Corrientes, Entre Rios, Formosa, Jujuy, La Pampa, La Rioja, Mendoza, Misiones, Neuquen, Rio Negro, Salta, San Juan, San Luis, Santa Cruz, Santa Fe, Santiago del Estero, Tierra del Fuego - Antartida e Islas del Atlantico Sur, Tucuman |
| | *note:* the US does not recognize any claims to Antarctica |
| **Armenia** | 11 provinces (marzer, singular - marz); Aragatsotn, Ararat, Armavir, Geghark'unik', Kotayk', Lorri, Shirak, Syunik', Tavush, Vayots' Dzor, Yerevan |
| **Aruba** | none (part of the Kingdom of the Netherlands) |
| **Australia** | 6 states and 2 territories*; Australian Capital Territory*, New South Wales, Northern Territory*, Queensland, South Australia, Tasmania, Victoria, Western Australia |
| **Austria** | 9 states (Bundeslaender, singular - Bundesland); Burgenland, Kaernten, Niederoesterreich, Oberoesterreich, Salzburg, Steiermark, Tirol, Vorarlberg, Wien |
| **Azerbaijan** | 59 rayons (rayonlar; rayon - singular), 11 cities* (saharlar; sahar - singular), 1 autonomous republic** (muxtar respublika) |
