Field Listing :: Military deployments :: The World Factbook

This entry lists military forces deployed to other countries or territories abroad. The World Factbook defines deployed as a permanently-stationed force or a temporary deployment of greater than six months.  Deployments smaller than 100 personnel or paramilitaries, police, contractors, mercenaries, or proxy forces are not included. Numbers provided are estimates only and should be considered paper strengths, not necessarily the current number of troops on the ground.  In addition, some estimates, such as those by the US military, are significantly influenced by deployment policies, contingencies, or world events and may change suddenly. Where available, the organization or mission that at least some of the forces are deployed under is listed. The following terms and abbreviations are used throughout the entry:

AMISOM - Africa Union (AU) Mission in Somalia; UN-supported, AU-operated peacekeeping mission

BATUS - British Army Training Unit Suffield, Canada

BATUK - British Army Training Unit, Kenya

CSTO - Collective Security Treaty Organization

ECOMIG - ECOWUS Mission in The Gambia; Africa Union-European Union peacekeeping, stabilization, and training mission in Gambia

EUTM - European Union Training Mission

EUFOR - European Union Force Bosnia and Herzegovina (also known as Operation Althea)

EuroCorps - European multi-national corps headquartered in Strasbourg, France, consisting of troops from Belgium, France, Germany, Luxembourg, and Spain; Greece, Italy, Poland, Romania and Turkey are Associated Nations of EuroCorps

G5 Joint Force - G5 Sahel Cross-Border Joint Force comprised of troops from Burkina Faso, Chad, Mali, Mauritania, and Niger

KFOR - the Kosovo Force; a NATO-led international peacekeeping force in Kosovo

MFO - Multinational Force & Observers Sinai, headquartered in Rome

MINOSCO - United Nations Organization Stabilization Mission in the Democratic Republic of the Congo

MINUSCA - United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic

MINUSMA - United Nations Multidimensional Integrated Stabilization Mission in Mali

MNJTF - Multinational Joint Task Force Against Boko Haram comprised of troops from Cameroon, Niger, and Nigeria with the mission of fighting Boko Haram in the Lake Chad Basin

NATO - North American Treaty Organization, headquartered in Brussels, Belgium

Operation Barkhane - French-led counterinsurgency and counter-terrorism mission in the Sahel alongside the G5 Joint Force; headquartered in N’Djamena, Chad and supported by Canada, Denmark, Estonia, the European Union, Germany, Spain, the United Kingdom, and the US

Operation Inherent Resolve - US-led coalition to counter the Islamic State in Iraq and Syria and provide assistance and training to Iraqi security forces

UNAFIL - United Nations Interim Force in Lebanon

UNAMID - African Union - United Nations Hybrid Operation in Darfur, Sudan

UNDOF - United Nations Disengagement Observer Force, Golan (Israel-Syria border)

UNFICYP - United Nations Peacekeeping Force in Cyprus

UNISFA - United Nations Interim Security Force for Abyei (Sudan-South Sudan border)

UNMISS - United Nations Mission in the Republic of South Sudan

UNSOM - United Nations Assistance Mission in Somalia

| Country | Military deployments |
| --- | --- |
| **Albania** | 100 Afghanistan (NATO) (June 2020) |
| **Argentina** | 250 Cyprus (UNFICYP) (2020) |
| **Armenia** | 120 Afghanistan (NATO); contributes one motorized rifle regiment (approximately 2,000 personnel) to CSTO's Rapid Reaction Force (2020) |
| **Australia** | 200 Afghanistan (NATO); 750 Middle East (June 2020) |
| **Austria** | 300 Bosnia-Herzegovina (EUFOR stabilization force); 320 Kosovo (NATO); 170 Lebanon (UNIFIL) (2020) |
| **Azerbaijan** | 120 Afghanistan (NATO) (2020) |
| **Bangladesh** | 1,300 Central African Republic (MINUSCA); 1,650 Democratic Republic of the Congo (MONUSCO); 115 Lebanon (UNIFIL); 1,300 Mali (MINUSMA); 1,600 South Sudan (UNMISS) (2020) |
| **Belarus** | contributes about 2,000 personnel to CSTO's Rapid Reaction Force (2019 est.) |
| **Belgium** | 125 France (contributing member of EuroCorps); 100 Mali (EUTM/MINUSMA); est. 260 Baltic States (NATO) (2020) |
| **Benin** | 250 Mali (MINUSMA) (2020) |
| **Brazil** | 220 Lebanon (UNIFIL) (2020) |
| **Bulgaria** | 160 Afghanistan (NATO) (2020) |
| **Burkina Faso** | 1,100 Mali (MINUSMA) (2020) |
| **Burundi** | 750 Central African Republic (MINUSCA); 5,400 Somalia (AMISOM) (2020) |
| **Cambodia** | 200 Central African Republic (MINUSCA); 180 Lebanon (UNIFIL); 330 Mali (MINUSMA) (2020) |
| **Cameroon** | 750 Central African Republic (MINUSCA); MNJTF (approximately 2,000-2,500 troops committed; note - the national MNJTF troop contingents are deployed within their own country territories, although crossâ€?border operations occur occasionally) (2020) |
| **Canada** | 540 Latvia (NATO); up to 200 Ukraine; up to 850 Middle East (multiple missions, including support to the Global Coalition to Defeat ISIS and NATO assistance mission Iraq; reduced considerably in 2020 because of COVID 19) (2020) |
| **Chad** | 1,450 Mali (MINUSMA) (2020) |
| **China** | 425 Mali (MINUSMA); 220 Democratic Republic of the Congo (MONUSCO); 360 Sudan (UNAMID); 410 Lebanon (UNIFIL); 1,050 South Sudan (UNMISS); est. 250 Djibouti (2020) |
| **Colombia** | 275 Egypt (MFO) (Dec. 2019) |
| **Cote d'Ivoire** | 800 Mali (MINUSMA) (2020) |
| **Denmark** | 110 Afghanistan (NATO); 130 Middle East/Iraq (NATO/Operation Inherent Resolve) (2020) |
| **Djibouti** | 960 Somalia (AMISOM) (2020) |
| **Egypt** | 1,000 Central African Republic (MINUSCA); 1,050 Mali (MINUSMA); 150 Sudan (UNAMID) (2020) |
| **El Salvador** | 200 Mali (MINUSMA) (2020) |
| **Estonia** | approximately 100 Mali (Operation Barkhane/MINUSMA/EUTM) (2020) |
| **Ethiopia** | 10-15,000 Somalia (4,500 for AMISOM); 800 Sudan (UNAMID); 3,600 Sudan (UNISFA); 2,100 South Sudan (UNMISS) (2020) |
| **European Union** | 180 Central African Republic (EUTM); 600 Bosnia-Herzegovina (EUTM); 700 Mali (EUTM); 200 Somalia (EUTM) (2020) |
| **Fiji** | 170 Egypt (MFO); 170 Iraq (UNAMI); 130 Golan Heights (UNDOF) (2020) |
| **Finland** | 200 Lebanon (UNIFIL) (2020) |
| **France** | 5,100 Burkina Faso/Chad/Mali/Niger (Operation Barkhane); 900 Cote D'Ivoire; 1,450 Djibouti; 300 Baltics (NATO); 2,000 French Guyana; 900 French Polynesia; 1,000 French West Indies; 350 Gabon; est. 500 Middle East (Iraq/Jordan/Syria); 780 Lebanon (UNIFIL); 1,400-1,500 New Caledonia; 1,700 Reunion Island; 350 Senegal; 650 United Arab Emirates; note - France has been a contributing member of the EuroCorps since 1992 (2020) |
| **Gabon** | 450 Central African Republic (MINUSCA) (2020) |
| **Gambia, The** | 130 Sudan (UNAMID) (2020) |
| **Georgia** | 860 Afghanistan (NATO) (2020) |
| **Germany** | 1,300 Afghanistan (NATO); approximately 100-200 Middle East (NATO/Counter-ISIS campaign); 110 Lebanon (UNIFIL); 500 Lithuania (NATO); 400 Mali (MINUSMA); 350 Mali (EUTM); note - Germany is a contributing member of the EuroCorps (2020) |
| **Ghana** | 140 Mali (MINUSMA); 180 Democratic Republic of the Congo (MONUSCO); 875 Lebanon (UNIFIL); 850 South Sudan (UNMISS) (2020) |
| | *note:* Ghana has pledged to maintain about 1,000 military personnel in readiness for UN peacekeeping missions |
| **Greece** | est. 1,000 Cyprus; 110 Kosovo (NATO); 140 Lebanon (UNIFIL) (2020) |
| **Guatemala** | 150 Democratic Republic of the Congo (MONUSCO) (2020) |
| **Guinea** | 1,500 Mali (MINUSMA) (2020) |
| **Hungary** | 160 Bosnia-Herzegovina (EUFOR stabilization force); 150 Iraq (counter-ISIS coalition); 400 Kosovo (NATO) (2020) |
| **India** | 1,900 Democratic Republic of the Congo (MONUSCO); 190 Golan Heights (UNDOF); 780 Lebanon (UNIFIL); 2,350 South Sudan (UNMISS) (2020) |
| **Indonesia** | 200 Central African Republic (MINUSCA); 1,025 Democratic Republic of the Congo (MONUSCO); 1,250 Lebanon (UNIFIL) (2020) |
| **Iran** | est. 1,000 Syria (2020) |
| | *note:* Iran has recruited, trained, and funded thousands of Syrian and foreign fighters to support the ASAD regime during the Syrian civil war |
| **Ireland** | 130 Golan Heights (UNDOF); 340 Lebanon (UNIFIL) (2020) |
| **Italy** | 900 Afghanistan (NATO); 120 Djibouti; 1,100 Middle East/Iraq/Kuwait (NATO, counter-ISIS campaign, European Assistance Mission Iraq); 620 Kosovo (NATO); 200 Latvia (NATO); 1,050 Lebanon (UNIFIL); 400 Libya; 290 Niger; 150 Somalia (EUTM); 100 United Arab Emirates (April 2020) |
