CIA - The World Factbook --  Reserves of foreign exchange and gold   

This entry gives the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified. This category includes not only foreign currency and gold, but also a country's holdings of Special Drawing Rights in the International Monetary Fund, and its reserve position in the Fund.

| Rank | country | Reserves of foreign exchange and gold | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $ 2,622,000,000,000 | 31 December 2010 est. |
| 2 | Russia | $ 483,100,000,000 | 30 November 2010 |
| 3 | Saudi Arabia | $ 456,200,000,000 | 31 December 2010 est. |
| 4 | Taiwan | $ 382,800,000,000 | 31 December 2010 est. |
| 5 | Brazil | $ 290,900,000,000 | 31 December 2010 est. |
| 6 | India | $ 284,100,000,000 | 31 December 2010 est. |
| 7 | Korea, South | $ 274,600,000,000 | 31 December 2010 est. |
| 8 | Hong Kong | $ 262,700,000,000 | 31 December 2010 est. |
| 9 | Singapore | $ 212,500,000,000 | 31 December 2010 est. |
| 10 | Thailand | $ 176,100,000,000 | 31 December 2010 est. |
| 11 | Algeria | $ 150,100,000,000 | 31 December 2010 est. |
| 12 | Mexico | $ 116,400,000,000 | 31 December 2010 est. |
| 13 | Libya | $ 107,300,000,000 | 31 December 2010 est. |
| 14 | Malaysia | $ 104,100,000,000 | 31 December 2010 est. |
| 15 | Poland | $ 99,760,000,000 | 31 December 2010 est. |
| 16 | Indonesia | $ 83,580,000,000 | 31 December 2010 est. |
| 17 | Turkey | $ 78,000,000,000 | 31 December 2010 est. |
| 18 | Iran | $ 75,060,000,000 | 31 December 2010 est. |
| 19 | Israel | $ 66,980,000,000 | 31 December 2010 est. |
| 20 | Argentina | $ 53,610,000,000 | 31 December 2010 est. |
| 21 | Romania | $ 50,510,000,000 | 31 December 2010 est. |
| 22 | Philippines | $ 49,740,000,000 | 31 December 2010 est. |
| 23 | Hungary | $ 45,730,000,000 | 31 December 2010 est. |
| 24 | Iraq | $ 45,680,000,000 | 31 December 2010 est. |
| 25 | South Africa | $ 45,520,000,000 | 31 December 2010 est. |
| 26 | Nigeria | $ 43,360,000,000 | 31 December 2010 est. |
| 27 | Lebanon | $ 41,570,000,000 | 31 December 2010 est. |
| 28 | United Arab Emirates | $ 39,100,000,000 | 31 December 2010 est. |
| 29 | Czech Republic | $ 38,670,000,000 | 31 December 2010 est. |
| 30 | Australia | $ 38,620,000,000 | 31 December 2010 est. |
| 31 | Peru | $ 37,270,000,000 | 31 December 2010 est. |
| 32 | Egypt | $ 35,720,000,000 | 31 December 2010 est. |
| 33 | Ukraine | $ 32,910,000,000 | 31 December 2010 est. |
| 34 | Kazakhstan | $ 32,440,000,000 | 31 December 2010 est. |
| 35 | Venezuela | $ 29,490,000,000 | 31 December 2010 est. |
| 36 | Colombia | $ 26,920,000,000 | 31 December 2010 est. |
| 37 | Chile | $ 26,080,000,000 | 31 December 2010 est. |
| 38 | Morocco | $ 24,570,000,000 | 31 December 2010 est. |
| 39 | Kuwait | $ 22,420,000,000 | 31 December 2010 est. |
| 40 | Qatar | $ 22,410,000,000 | 31 December 2010 est. |
| 41 | Syria | $ 17,960,000,000 | 31 December 2010 est. |
| 42 | New Zealand | $ 17,850,000,000 | 31 December 2010 est. |
| 43 | Angola | $ 16,890,000,000 | 31 December 2010 est. |
| 44 | Serbia | $ 16,400,000,000 | 31 December 2010 est. |
| 45 | Vietnam | $ 16,300,000,000 | 31 December 2010 est. |
| 46 | Pakistan | $ 16,100,000,000 | 31 December 2010 est. |
| 47 | Bulgaria | $ 15,070,000,000 | 31 December 2010 est. |
| 48 | Oman | $ 14,000,000,000 | 31 December 2010 est. |
| 49 | Croatia | $ 13,790,000,000 | 31 December 2010 est. |
| 50 | Jordan | $ 12,640,000,000 | 31 December 2010 est. |
| 51 | Tunisia | $ 11,230,000,000 | 31 December 2010 est. |
| 52 | Turkmenistan | $ 10,810,000,000 | 31 December 2010 est. |
| 53 | Bangladesh | $ 10,790,000,000 | 31 December 2010 est. |
| 54 | Uzbekistan | $ 10,500,000,000 | 31 December 2010 est. |
| 55 | Trinidad and Tobago | $ 9,659,000,000 | 31 December 2010 est. |
| 56 | Finland | $ 9,128,000,000 | 31 December 2010 est. |
| 57 | Bolivia | $ 8,739,000,000 | 31 December 2010 est. |
| 58 | Botswana | $ 7,834,000,000 | 31 December 2010 est. |
| 59 | Uruguay | $ 7,407,000,000 | 31 December 2010 est. |
| 60 | Latvia | $ 7,170,000,000 | 31 December 2010 est. |
| 61 | Lithuania | $ 6,418,000,000 | 31 December 2010 est. |
| 62 | Azerbaijan | $ 6,330,000,000 | 31 December 2010 est. |
| 63 | Belarus | $ 5,755,000,000 | 31 December 2010 est. |
| 64 | Yemen | $ 5,744,000,000 | 31 December 2010 est. |
| 65 | Guatemala | $ 5,709,000,000 | 31 December 2010 est. |
| 66 | Sri Lanka | $ 5,630,000,000 | 31 December 2010 est. |
| 67 | Cuba | $ 4,847,000,000 | 31 December 2010 est. |
| 68 | Kenya | $ 4,585,000,000 | 31 December 2010 est. |
| 69 | Costa Rica | $ 4,584,000,000 | 31 December 2010 est. |
| 70 | Iceland | $ 4,206,000,000 | 31 December 2010 est. |
| 71 | Congo, Republic of the | $ 4,123,000,000 | 31 December 2010 est. |
| 72 | Equatorial Guinea | $ 4,086,000,000 | 31 December 2010 est. |
| 73 | Paraguay | $ 4,082,000,000 | 31 December 2010 est. |
| 74 | Cameroon | $ 4,023,000,000 | 31 December 2010 est. |
| 75 | Cote d'Ivoire | $ 3,985,000,000 | 31 December 2010 est. |
| 76 | Cambodia | $ 3,840,000,000 | 31 December 2010 est. |
| 77 | Ghana | $ 3,800,000,000 | 31 December 2010 est. |
| 78 | Bahrain | $ 3,766,000,000 | 31 December 2010 est. |
| 79 | Burma | $ 3,762,000,000 | 31 December 2010 est. |
| 80 | Uganda | $ 3,743,000,000 | 31 December 2010 est. |
| 81 | Tanzania | $ 3,687,000,000 | 31 December 2010 est. |
| 82 | Estonia | $ 3,641,000,000 | 31 December 2010 est. |
| 83 | Ecuador | $ 3,590,000,000 | 31 December 2010 est. |
| 84 | Panama | $ 3,525,000,000 | 31 December 2010 est. |
| 85 | Papua New Guinea | $ 3,017,000,000 | 31 December 2010 est. |
| 86 | El Salvador | $ 2,819,000,000 | 31 December 2010 est. |
| 87 | Bosnia and Herzegovina | $ 2,800,000,000 | 31 December 2010 est. |
| 88 | Dominican Republic | $ 2,705,000,000 | 31 December 2010 est. |
| 89 | Gabon | $ 2,602,000,000 | 31 December 2010 est. |
| 90 | Mauritius | $ 2,360,000,000 | 31 December 2010 est. |
| 91 | Georgia | $ 2,350,000,000 | 31 December 2010 est. |
| 92 | Honduras | $ 2,302,000,000 | 31 December 2010 est. |
| 93 | Zambia | $ 2,287,000,000 | 31 December 2010 est. |
| 94 | Armenia | $ 2,247,000,000 | 31 December 2010 est. |
| 95 | Senegal | $ 2,200,000,000 | 31 December 2010 est. |
| 96 | Macedonia | $ 2,127,000,000 | 31 December 2010 est. |
| 97 | Sudan | $ 2,063,000,000 | 31 December 2010 est. |
