CIA - The World Factbook --  RESERVES OF FOREIGN EXCHANGE AND GOLD

Reserves of foreign exchange and gold compares the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified.

| Rank | Country | RESERVES OF FOREIGN EXCHANGE AND GOLD | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $3,980,000,000,000 | 31 December 2014 est. |
| 2 | Japan | $1,267,000,000,000 | 2013 est. |
| 3 | European Union | $863,800,000,000 | 31 December 2011 est. |
| 4 | Saudi Arabia | $756,100,000,000 | 31 December 2014 est. |
| 5 | Switzerland | $536,300,000,000 | 31 December 2013 est. |
| 6 | Taiwan | $429,400,000,000 | 31 December 2014 est. |
| 7 | Russia | $418,900,000,000 | 31 November 2014 est. |
| 8 | Brazil | $381,000,000,000 | 31 December 2014 est. |
| 9 | Korea, South | $364,800,000,000 | 31 December 2014 est. |
| 10 | Hong Kong | $324,000,000,000 | 31 December 2014 est. |
| 11 | India | $309,200,000,000 | 31 December 2014 est. |
| 12 | Singapore | $279,700,000,000 | 31 December 2014 est. |
| 13 | Mexico | $200,200,000,000 | 31 December 2014 est. |
| 14 | Germany | $198,200,000,000 | 31 December 2013 est. |
| 15 | Algeria | $193,600,000,000 | 31 December 2014 est. |
| 16 | Thailand | $164,000,000,000 | 31 December 2014 est. |
| 17 | Italy | $145,500,000,000 | 31 December 2013 est. |
| 18 | France | $144,900,000,000 | 31 December 2013 est. |
| 19 | United States | $144,600,000,000 | 31 December 2013 est. |
| 20 | Malaysia | $133,400,000,000 | 31 December 2014 est. |
| 21 | Turkey | $132,000,000,000 | 31 December 2014 est. |
| 22 | Iran | $110,000,000,000 | 31 December 2014 est. |
| 23 | Poland | $105,700,000,000 | 31 December 2014 est. |
| 24 | Libya | $105,000,000,000 | 31 December 2014 est. |
| 25 | Indonesia | $103,000,000,000 | 31 December 2014 est. |
| 26 | Israel | $88,010,000,000 | 31 December 2014 est. |
| 27 | United Kingdom | $87,480,000,000 | 31 December 2013 est. |
| 28 | Denmark | $85,500,000,000 | 31 December 2014 est. |
| 29 | Philippines | $84,510,000,000 | 31 December 2014 est. |
| 30 | United Arab Emirates | $74,700,000,000 | 31 December 2014 est. |
| 31 | Iraq | $74,000,000,000 | 31 December 2014 est. |
| 32 | Netherlands | $71,950,000,000 | 31 December 2013 est. |
| 33 | Canada | $71,940,000,000 | 31 December 2013 est. |
| 34 | Sweden | $65,380,000,000 | 31 December 2013 est. |
| 35 | Australia | $65,100,000,000 | 31 December 2014 est. |
| 36 | Peru | $63,350,000,000 | 31 December 2014 est. |
| 37 | Czech Republic | $59,150,000,000 | 31 December 2014 est. |
| 38 | Norway | $58,280,000,000 | 31 December 2013 est. |
| 39 | South Africa | $50,550,000,000 | 31 December 2014 est. |
| 40 | Lebanon | $49,430,000,000 | 30 December 2014 est. |
| 41 | Colombia | $47,740,000,000 | 31 December 2014 est. |
| 42 | Romania | $47,670,000,000 | 31 December 2014 est. |
| 43 | Qatar | $47,140,000,000 | 31 December 2014 est. |
| 44 | Spain | $46,310,000,000 | 31 December 2013 est. |
| 45 | Hungary | $44,800,000,000 | 31 December 2014 est. |
| 46 | Chile | $41,990,000,000 | 31 December 2014 est. |
| 47 | Kuwait | $38,500,000,000 | 31 December 2014 est. |
| 48 | Nigeria | $37,440,000,000 | 31 December 2014 est. |
| 49 | Vietnam | $35,700,000,000 | 31 December 2014 est. |
| 50 | Angola | $33,590,000,000 | 31 December 2014 est. |
| 51 | Kazakhstan | $27,550,000,000 | 31 December 2014 est. |
| 52 | Turkmenistan | $27,040,000,000 | 31 December 2014 est. |
| 53 | Belgium | $26,920,000,000 | 31 December 2013 est. |
| 54 | Argentina | $26,600,000,000 | 31 December 2014 est. |
| 55 | Austria | $23,290,000,000 | 31 December 2013 est. |
| 56 | Bangladesh | $21,460,000,000 | 31 December 2014 est. |
| 57 | Morocco | $20,970,000,000 | 31 December 2014 est. |
| 58 | Bulgaria | $20,270,000,000 | 31 December 2014 est. |
| 59 | Venezuela | $20,200,000,000 | 31 December 2014 est. |
| 60 | New Zealand | $18,960,000,000 | 31 December 2014 est. |
| 61 | Ukraine | $18,370,000,000 | 31 December 2014 est. |
| 62 | Croatia | $18,150,000,000 | 31 December 2014 est. |
| 63 | Uzbekistan | $18,000,000,000 | 31 December 2014 est. |
| 64 | Uruguay | $17,960,000,000 | 31 December 2014 est. |
| 65 | Oman | $17,850,000,000 | 31 December 2014 est. |
| 66 | Azerbaijan | $17,710,000,000 | 31 December 2014 est. |
| 67 | Portugal | $17,550,000,000 | 31 December 2013 est. |
| 68 | Jordan | $16,510,000,000 | 31 December 2014 est. |
| 69 | Macau | $16,150,000,000 | 31 December 2013 est. |
| 70 | Bolivia | $15,380,000,000 | 31 December 2014 est. |
| 71 | Egypt | $15,130,000,000 | 31 December 2014 est. |
| 72 | Pakistan | $14,410,000,000 | 30 June 2014 est. |
| 73 | Serbia | $13,700,000,000 | 31 December 2014 est. |
