CIA - The World Factbook --  RESERVES OF FOREIGN EXCHANGE AND GOLD

Reserves of foreign exchange and gold compares the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified.

| Rank | Country | RESERVES OF FOREIGN EXCHANGE AND GOLD | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $3,406,000,000,000 | 31 December 2015 est. |
| 2 | Japan | $1,233,000,000,000 | 31 December 2015 est. |
| 3 | European Union | $740,900,000,000 | 31 December 2014 est. |
| 4 | Saudi Arabia | $616,400,000,000 | 31 December 2015 est. |
| 5 | Switzerland | $602,700,000,000 | 31 December 2015 est. |
| 6 | Taiwan | $430,700,000,000 | 31 December 2015 est. |
| 7 | Russia | $368,400,000,000 | 31 December 2015 est. |
| 8 | Korea, South | $367,900,000,000 | 31 December 2015 est. |
| 9 | Hong Kong | $358,800,000,000 | 31 December 2015 est. |
| 10 | Brazil | $356,500,000,000 | 31 December 2015 est. |
| 11 | India | $351,600,000,000 | 31 December 2015 est. |
| 12 | Singapore | $247,700,000,000 | 31 December 2015 est. |
| 13 | Mexico | $178,000,000,000 | 31 December 2015 est. |
| 14 | Germany | $173,700,000,000 | 31 December 2015 est. |
| 15 | Thailand | $156,500,000,000 | 31 December 2015 est. |
| 16 | Algeria | $144,900,000,000 | 31 December 2015 est. |
| 17 | France | $138,200,000,000 | 31 December 2015 est. |
| 18 | Italy | $130,600,000,000 | 31 December 2015 est. |
| 19 | United Kingdom | $129,600,000,000 | 31 December 2015 est. |
| 20 | United States | $117,600,000,000 | 31 December 2015 est. |
| 21 | Turkey | $110,500,000,000 | 31 December 2015 est. |
| 22 | Iran | $110,000,000,000 | 31 December 2015 est. |
| 23 | Indonesia | $105,900,000,000 | 31 December 2015 est. |
| 24 | Malaysia | $95,290,000,000 | 31 December 2015 est. |
| 25 | Poland | $94,910,000,000 | 31 December 2015 est. |
| 26 | United Arab Emirates | $93,930,000,000 | 31 December 2015 est. |
| 27 | Israel | $90,580,000,000 | 31 December 2015 est. |
| 28 | Philippines | $80,670,000,000 | 31 December 2015 est. |
| 29 | Canada | $79,750,000,000 | 31 December 2015 est. |
| 30 | Libya | $70,990,000,000 | 31 December 2015 est. |
| 31 | Denmark | $65,190,000,000 | 31 December 2015 est. |
| 32 | Czechia | $64,490,000,000 | 31 December 2015 est. |
