CIA - The World Factbook --  Reserves of foreign exchange and gold   

This entry gives the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified. This category includes not only foreign currency and gold, but also a country's holdings of Special Drawing Rights in the International Monetary Fund, and its reserve position in the Fund.

| Rank | country | Reserves of foreign exchange and gold | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $ 3,549,000,000,000 | 31 December 2012 est. |
| 2 | Japan | $ 1,351,000,000,000 | 31 December 2012 est. |
| 3 | Saudi Arabia | $ 626,800,000,000 | 31 December 2012 est. |
| 4 | Russia | $ 561,100,000,000 | 31 December 2012 est. |
| 5 | Taiwan | $ 391,000,000,000 | 31 December 2012 est. |
| 6 | Brazil | $ 371,100,000,000 | 31 December 2012 est. |
| 7 | Switzerland | $ 331,900,000,000 | 31 December 2011 est. |
| 8 | Korea, South | $ 319,200,000,000 | 31 December 2012 est. |
| 9 | Hong Kong | $ 299,600,000,000 | 31 December 2012 est. |
| 10 | India | $ 287,200,000,000 | 31 December 2012 est. |
| 11 | Singapore | $ 253,300,000,000 | 31 December 2012 est. |
| 12 | Germany | $ 238,900,000,000 | 31 December 2011 est. |
| 13 | Algeria | $ 190,500,000,000 | 31 December 2012 est. |
| 14 | Italy | $ 173,300,000,000 | 31 December 2011 est. |
| 15 | Thailand | $ 172,800,000,000 | 31 December 2012 est. |
| 16 | France | $ 171,900,000,000 | 31 December 2011 est. |
| 17 | United States | $ 148,000,000,000 | 31 December 2011 est. |
| 18 | Mexico | $ 141,900,000,000 | 31 December 2012 est. |
| 19 | Malaysia | $ 140,400,000,000 | 31 December 2012 est. |
| 20 | Libya | $ 130,300,000,000 | 31 December 2012 est. |
| 21 | Indonesia | $ 104,500,000,000 | 31 December 2012 est. |
| 22 | Poland | $ 99,930,000,000 | 31 December 2012 est. |
| 23 | United Kingdom | $ 94,540,000,000 | 31 December 2011 est. |
| 24 | Turkey | $ 93,380,000,000 | 31 December 2012 est. |
| 25 | Denmark | $ 85,050,000,000 | 31 December 2011 est. |
| 26 | Philippines | $ 80,580,000,000 | 31 December 2012 est. |
| 27 | Israel | $ 75,240,000,000 | 31 December 2012 est. |
| 28 | Iran | $ 69,860,000,000 | 31 December 2012 est. |
| 29 | Canada | $ 65,820,000,000 | 31 December 2011 est. |
| 30 | Iraq | $ 61,840,000,000 | 31 December 2012 est. |
| 31 | Peru | $ 61,300,000,000 | 31 December 2012 est. |
| 32 | South Africa | $ 54,980,000,000 | 31 December 2012 est. |
| 33 | Netherlands | $ 51,270,000,000 | 31 December 2011 est. |
| 34 | Lebanon | $ 51,200,000,000 | 31 December 2012 est. |
| 35 | Sweden | $ 50,350,000,000 | 31 December 2011 est. |
| 36 | Romania | $ 49,930,000,000 | 31 December 2012 est. |
| 37 | Norway | $ 49,400,000,000 | 31 December 2011 est. |
| 38 | Australia | $ 47,700,000,000 | 31 December 2012 est. |
| 39 | Spain | $ 47,100,000,000 | 31 December 2011 est. |
| 40 | Hungary | $ 44,900,000,000 | 31 December 2012 est. |
| 41 | United Arab Emirates | $ 43,770,000,000 | 31 December 2012 est. |
| 42 | Chile | $ 42,990,000,000 | 31 December 2012 est. |
| 43 | Nigeria | $ 42,800,000,000 | 31 December 2012 est. |
| 44 | Argentina | $ 41,200,000,000 | 31 December 2012 est. |
| 45 | Czech Republic | $ 35,260,000,000 | 31 December 2012 est. |
| 46 | Colombia | $ 34,740,000,000 | 31 December 2012 est. |
| 47 | Angola | $ 34,630,000,000 | 31 December 2012 est. |
