CIA - The World Factbook --  RESERVES OF FOREIGN EXCHANGE AND GOLD

Reserves of foreign exchange and gold compares the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified.

| Rank | Country | RESERVES OF FOREIGN EXCHANGE AND GOLD | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $3,098,000,000,000 | 31 December 2016 est. |
| 2 | Japan | $1,217,000,000,000 | 31 December 2016 est. |
| 3 | European Union | $740,900,000,000 | 31 December 2014 est. |
| 4 | Switzerland | $679,300,000,000 | 31 December 2016 est. |
| 5 | Saudi Arabia | $535,800,000,000 | 31 December 2016 est. |
| 6 | Taiwan | $439,000,000,000 | 31 December 2016 est. |
| 7 | Hong Kong | $386,300,000,000 | 31 December 2016 est. |
| 8 | Russia | $377,700,000,000 | 31 December 2016 est. |
| 9 | Korea, South | $371,100,000,000 | 31 December 2016 est. |
| 10 | Brazil | $365,000,000,000 | 31 December 2016 est. |
| 11 | India | $359,700,000,000 | 31 December 2016 est. |
| 12 | Singapore | $246,600,000,000 | 31 December 2016 est. |
| 13 | Germany | $185,300,000,000 | 31 December 2016 est. |
| 14 | Mexico | $178,400,000,000 | 31 December 2016 est. |
| 15 | Thailand | $171,900,000,000 | 31 December 2016 est. |
| 16 | France | $146,800,000,000 | 31 December 2016 est. |
| 17 | Italy | $136,000,000,000 | 31 December 2016 est. |
| 18 | United Kingdom | $135,000,000,000 | 31 December 2016 est. |
| 19 | Iran | $133,700,000,000 | 31 December 2016 est. |
| 20 | United States | $117,300,000,000 | 31 December 2016 est. |
| 21 | Indonesia | $116,400,000,000 | 31 December 2016 est. |
| 22 | Algeria | $114,700,000,000 | 31 December 2016 est. |
| 23 | Poland | $114,400,000,000 | 31 December 2016 est. |
| 24 | Turkey | $106,100,000,000 | 31 December 2016 est. |
| 25 | Israel | $95,450,000,000 | 31 December 2016 est. |
| 26 | Malaysia | $94,500,000,000 | 31 December 2016 est. |
| 27 | Czechia | $85,730,000,000 | 31 December 2016 est. |
| 28 | United Arab Emirates | $85,390,000,000 | 31 December 2016 est. |
| 29 | Canada | $82,720,000,000 | 31 December 2016 est. |
| 30 | Philippines | $80,690,000,000 | 31 December 2016 est. |
| 31 | Libya | $66,050,000,000 | 31 December 2016 est. |
| 32 | Denmark | $64,250,000,000 | 31 December 2016 est. |
| 33 | Spain | $63,140,000,000 | 31 December 2016 est. |
| 34 | Peru | $61,810,000,000 | 31 December 2016 est. |
| 35 | Norway | $60,450,000,000 | 31 December 2016 est. |
| 36 | Sweden | $59,390,000,000 | 31 December 2016 est. |
| 37 | Australia | $55,070,000,000 | 31 December 2016 est. |
| 38 | Lebanon | $54,040,000,000 | 31 December 2016 est. |
| 39 | South Africa | $47,230,000,000 | 31 December 2016 est. |
| 40 | Colombia | $46,180,000,000 | 31 December 2016 est. |
| 41 | Iraq | $45,360,000,000 | 31 December 2016 est. |
| 42 | Chile | $40,490,000,000 | 31 December 2016 est. |
| 43 | Romania | $40,000,000,000 | 31 December 2016 est. |
| 44 | Argentina | $38,430,000,000 | 31 December 2016 est. |
| 45 | Vietnam | $36,910,000,000 | 31 December 2016 est. |
| 46 | Netherlands | $36,130,000,000 | 31 December 2016 est. |
| 47 | Bangladesh | $32,280,000,000 | 31 December 2016 est. |
| 48 | Qatar | $31,890,000,000 | 31 December 2016 est. |
| 49 | Kuwait | $31,130,000,000 | 31 December 2016 est. |
| 50 | Kazakhstan | $29,530,000,000 | 31 December 2016 est. |
| 51 | Nigeria | $25,840,000,000 | 31 December 2016 est. |
| 52 | Hungary | $25,820,000,000 | 31 December 2016 est. |
| 53 | Morocco | $25,370,000,000 | 31 December 2016 est. |
| 54 | Bulgaria | $25,190,000,000 | 31 December 2016 est. |
| 55 | Portugal | $25,130,000,000 | 31 December 2016 est. |
| 56 | Turkmenistan | $25,050,000,000 | 31 December 2016 est. |
| 57 | Angola | $23,740,000,000 | 31 December 2016 est. |
| 58 | Belgium | $23,570,000,000 | 31 December 2016 est. |
| 59 | Austria | $23,360,000,000 | 31 December 2016 est. |
| 60 | Egypt | $23,200,000,000 | 31 December 2016 est. |
| 61 | Pakistan | $22,050,000,000 | 31 December 2016 est. |
| 62 | Oman | $20,260,000,000 | 31 December 2016 est. |
| 63 | Macau | $19,490,000,000 | 31 December 2016 est. |
| 64 | New Zealand | $17,810,000,000 | 31 December 2016 est. |
| 65 | Jordan | $15,540,000,000 | 31 December 2016 est. |
| 66 | Ukraine | $15,540,000,000 | 31 December 2016 est. |
| 67 | Croatia | $14,240,000,000 | 31 December 2016 est. |
| 68 | Uzbekistan | $14,000,000,000 | 31 December 2016 est. |
| 69 | Uruguay | $13,470,000,000 | 31 December 2016 est. |
| 70 | Cuba | $12,300,000,000 | 31 December 2016 est. |
| 71 | Venezuela | $10,990,000,000 | 31 December 2016 est. |
| 72 | Serbia | $10,760,000,000 | 31 December 2016 est. |
| 73 | Finland | $10,480,000,000 | 31 December 2016 est. |
| 74 | Bolivia | $10,080,000,000 | 31 December 2016 est. |
| 75 | Trinidad and Tobago | $9,995,000,000 | 31 December 2016 est. |
| 76 | Guatemala | $9,156,000,000 | 31 December 2016 est. |
| 77 | Cambodia | $9,122,000,000 | 31 December 2016 est. |
| 78 | Nepal | $8,506,000,000 | 31 December 2016 est. |
| 79 | Kenya | $7,601,000,000 | 31 December 2016 est. |
| 80 | Costa Rica | $7,574,000,000 | 31 December 2016 est. |
| 81 | Iceland | $7,226,000,000 | 31 December 2016 est. |
| 82 | Botswana | $7,189,000,000 | 31 December 2016 est. |
| 83 | Azerbaijan | $7,142,000,000 | 31 December 2016 est. |
| 84 | Greece | $6,893,000,000 | 31 December 2016 est. |
| 85 | Paraguay | $6,881,000,000 | 31 December 2016 est. |
| 86 | Afghanistan | $6,477,000,000 | 31 December 2016 est. |
| 87 | Ghana | $6,162,000,000 | 31 December 2016 est. |
| 88 | Dominican Republic | $6,134,000,000 | 31 December 2016 est. |
| 89 | Sri Lanka | $6,019,000,000 | 31 December 2016 est. |
| 90 | Tunisia | $5,941,000,000 | 31 December 2016 est. |
| 91 | Bosnia and Herzegovina | $5,137,000,000 | 31 December 2016 est. |
| 92 | Mauritius | $4,967,000,000 | 31 December 2016 est. |
| 93 | Cote d'Ivoire | $4,935,000,000 | 31 December 2016 est. |
| 94 | Belarus | $4,927,000,000 | 31 December 2016 est. |
| 95 | Burma | $4,630,000,000 | 31 December 2016 est. |
| 96 | Ecuador | $4,178,000,000 | 31 December 2016 est. |
| 97 | Tanzania | $4,067,000,000 | 31 December 2016 est. |
| 98 | Panama | $3,878,000,000 | 31 December 2016 est. |
| 99 | Honduras | $3,814,000,000 | 31 December 2016 est. |
| 100 | Ireland | $3,591,000,000 | 31 December 2016 est. |
| 101 | Latvia | $3,514,000,000 | 31 December 2016 est. |
| 102 | Jamaica | $3,291,000,000 | 31 December 2016 est. |
| 103 | El Salvador | $3,238,000,000 | 31 December 2016 est. |
