CIA - The World Factbook --  Reserves of foreign exchange and gold   

This entry gives the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified. This category includes not only foreign currency and gold, but also a country's holdings of Special Drawing Rights in the International Monetary Fund, and its reserve position in the Fund.

| Rank | country | Reserves of foreign exchange and gold | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $ 3,341,000,000,000 | 31 December 2012 est. |
| 2 | Japan | $ 1,268,000,000,000 | 31 December 2012 est. |
| 3 | European Union | $ 863,800,000,000 | 31 December 2011 |
| 4 | Saudi Arabia | $ 656,900,000,000 | 31 December 2012 est. |
| 5 | Russia | $ 537,600,000,000 | 31 December 2012 est. |
| 6 | Switzerland | $ 531,100,000,000 | 31 December 2012 est. |
| 7 | Taiwan | $ 408,500,000,000 | 31 December 2012 est. |
| 8 | Brazil | $ 373,100,000,000 | 31 December 2012 est. |
| 9 | Korea, South | $ 327,000,000,000 | 31 December 2012 est. |
| 10 | Hong Kong | $ 317,400,000,000 | 31 December 2012 est. |
| 11 | India | $ 297,800,000,000 | 31 December 2012 est. |
| 12 | Singapore | $ 259,100,000,000 | 31 December 2012 est. |
| 13 | Germany | $ 248,900,000,000 | 31 December 2012 est. |
| 14 | Algeria | $ 191,600,000,000 | 31 December 2012 est. |
| 15 | France | $ 184,500,000,000 | 31 December 2012 est. |
| 16 | Italy | $ 181,700,000,000 | 31 December 2012 est. |
| 17 | Thailand | $ 181,600,000,000 | 31 December 2012 est. |
| 18 | Mexico | $ 167,100,000,000 | 31 December 2012 est. |
| 19 | United States | $ 150,200,000,000 | 31 December 2012 est. |
| 20 | Malaysia | $ 139,700,000,000 | 31 December 2012 est. |
| 21 | Turkey | $ 119,200,000,000 | 31 December 2012 est. |
| 22 | Libya | $ 118,600,000,000 | 31 December 2012 est. |
| 23 | Indonesia | $ 112,800,000,000 | 31 December 2012 est. |
| 24 | Poland | $ 108,900,000,000 | 31 December 2012 est. |
| 25 | United Kingdom | $ 105,100,000,000 | 31 December 2012 est. |
| 26 | Denmark | $ 89,700,000,000 | 31 December 2012 est. |
| 27 | Philippines | $ 83,830,000,000 | 31 December 2012 est. |
| 28 | Israel | $ 75,910,000,000 | 31 December 2012 est. |
| 29 | Iran | $ 74,060,000,000 | 31 December 2012 est. |
| 30 | Iraq | $ 70,330,000,000 | 31 December 2012 est. |
| 31 | Canada | $ 68,550,000,000 | 31 December 2012 est. |
| 32 | Peru | $ 64,170,000,000 | 31 December 2012 est. |
| 33 | Netherlands | $ 54,820,000,000 | 31 December 2012 est. |
| 34 | Lebanon | $ 52,500,000,000 | 31 December 2012 est. |
| 35 | Sweden | $ 52,230,000,000 | 31 December 2012 est. |
| 36 | Norway | $ 51,860,000,000 | 31 December 2012 est. |
| 37 | South Africa | $ 50,700,000,000 | 31 December 2012 est. |
| 38 | Spain | $ 50,590,000,000 | 31 December 2012 est. |
| 39 | Australia | $ 49,150,000,000 | 31 December 2012 est. |
| 40 | United Arab Emirates | $ 47,040,000,000 | 31 December 2012 est. |
| 41 | Romania | $ 46,710,000,000 | 31 December 2012 est. |
| 42 | Nigeria | $ 46,410,000,000 | 31 December 2012 est. |
| 43 | Czech Republic | $ 44,880,000,000 | 31 December 2012 est. |
| 44 | Hungary | $ 44,670,000,000 | 31 December 2012 est. |
| 45 | Argentina | $ 43,250,000,000 | 31 December 2012 est. |
| 46 | Chile | $ 41,650,000,000 | 31 December 2012 est. |
| 47 | Colombia | $ 37,000,000,000 | 31 December 2012 est. |
| 48 | Angola | $ 33,410,000,000 | 31 December 2012 est. |
| 49 | Qatar | $ 33,190,000,000 | 31 December 2012 est. |
| 50 | Belgium | $ 30,770,000,000 | 31 December 2012 est. |
| 51 | Venezuela | $ 29,890,000,000 | 31 December 2012 est. |
| 52 | Kuwait | $ 29,000,000,000 | 31 December 2012 est. |
| 53 | Kazakhstan | $ 28,280,000,000 | 31 December 2012 est. |
| 54 | Austria | $ 27,210,000,000 | 31 December 2012 est. |
| 55 | Vietnam | $ 26,110,000,000 | 31 December 2012 est. |
| 56 | Ukraine | $ 24,550,000,000 | 31 December 2012 est. |
| 57 | Portugal | $ 22,660,000,000 | 31 December 2012 est. |
| 58 | Turkmenistan | $ 20,710,000,000 | 31 December 2012 est. |
| 59 | Bulgaria | $ 20,500,000,000 | 31 December 2012 est. |
| 60 | New Zealand | $ 17,580,000,000 | 31 December 2012 est. |
| 61 | Morocco | $ 17,540,000,000 | 31 December 2012 est. |
