CIA - The World Factbook --  Reserves of foreign exchange and gold   

This entry gives the dollar value for the stock of all financial assets that are available to the central monetary authority for use in meeting a country's balance of payments needs as of the end-date of the period specified. This category includes not only foreign currency and gold, but also a country's holdings of Special Drawing Rights in the International Monetary Fund, and its reserve position in the Fund.

| Rank | country | Reserves of foreign exchange and gold | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $ 2,876,000,000,000 | 31 December 2010 est. |
| 2 | Japan | $ 1,063,000,000,000 | 31 December 2010 est. |
| 3 | Russia | $ 479,400,000,000 | 31 December 2010 est. |
| 4 | Saudi Arabia | $ 445,100,000,000 | 31 December 2010 est. |
| 5 | Taiwan | $ 387,200,000,000 | 31 December 2010 est. |
| 6 | Korea, South | $ 291,600,000,000 | 31 December 2010 est. |
| 7 | Brazil | $ 288,600,000,000 | 31 December 2010 est. |
| 8 | India | $ 287,100,000,000 | 31 December 2010 est. |
| 9 | Switzerland | $ 270,300,000,000 | 31 December 2010 est. |
| 10 | Hong Kong | $ 268,700,000,000 | 31 December 2010 est. |
| 11 | Singapore | $ 225,700,000,000 | 31 December 2010 est. |
| 12 | Germany | $ 216,500,000,000 | 31 December 2010 est. |
| 13 | Thailand | $ 172,100,000,000 | 31 December 2010 est. |
| 14 | France | $ 166,200,000,000 | 31 December 2010 est. |
| 15 | Algeria | $ 162,900,000,000 | 31 December 2010 est. |
| 16 | Italy | $ 158,900,000,000 | 31 December 2010 est. |
| 17 | United States | $ 132,400,000,000 | 31 December 2010 est. |
| 18 | Mexico | $ 120,500,000,000 | 31 December 2010 est. |
| 19 | Malaysia | $ 106,500,000,000 | 31 December 2010 est. |
| 20 | Libya | $ 99,840,000,000 | 31 December 2010 est. |
| 21 | Indonesia | $ 96,210,000,000 | 31 December 2010 est. |
| 22 | Poland | $ 93,490,000,000 | 31 December 2010 est. |
| 23 | Turkey | $ 86,080,000,000 | 31 December 2010 est. |
| 24 | United Kingdom | $ 82,410,000,000 | 31 December 2010 est. |
| 25 | Denmark | $ 76,520,000,000 | 31 December 2010 est. |
| 26 | Iran | $ 75,060,000,000 | 31 December 2010 est. |
| 27 | Israel | $ 70,910,000,000 | 31 December 2010 est. |
| 28 | Philippines | $ 62,370,000,000 | 31 December 2010 est. |
| 29 | Canada | $ 57,150,000,000 | 31 December 2010 est. |
| 30 | Norway | $ 52,800,000,000 | 31 December 2010 est. |
| 31 | Argentina | $ 52,230,000,000 | 31 December 2010 est. |
| 32 | Iraq | $ 48,610,000,000 | 31 December 2010 est. |
| 33 | Sweden | $ 48,300,000,000 | 31 December 2010 est. |
| 34 | Romania | $ 48,080,000,000 | 31 December 2010 est. |
| 35 | Netherlands | $ 46,240,000,000 | 31 December 2010 est. |
| 36 | Hungary | $ 44,990,000,000 | 31 December 2010 est. |
| 37 | Lebanon | $ 44,520,000,000 | 31 December 2010 est. |
| 38 | Peru | $ 44,210,000,000 | 31 December 2010 est. |
| 39 | South Africa | $ 43,830,000,000 | 31 December 2010 est. |
| 40 | United Arab Emirates | $ 42,790,000,000 | 31 December 2010 est. |
| 41 | Australia | $ 42,270,000,000 | 31 December 2010 est. |
| 42 | Czech Republic | $ 41,950,000,000 | 31 December 2010 est. |
| 43 | Egypt | $ 35,790,000,000 | 31 December 2010 est. |
| 44 | Nigeria | $ 34,920,000,000 | 31 December 2010 est. |
| 45 | Ukraine | $ 34,580,000,000 | 31 December 2010 est. |
| 46 | Spain | $ 31,910,000,000 | 31 December 2010 est. |
| 47 | Qatar | $ 31,190,000,000 | 31 December 2010 est. |
| 48 | Venezuela | $ 29,620,000,000 | 31 December 2010 est. |
| 49 | Kazakhstan | $ 28,270,000,000 | 31 December 2010 est. |
| 50 | Colombia | $ 28,080,000,000 | 31 December 2010 est. |
| 51 | Chile | $ 27,830,000,000 | 31 December 2010 est. |
| 52 | Belgium | $ 26,810,000,000 | 31 December 2010 est. |
| 53 | Macau | $ 23,730,000,000 | 2010 |
| 54 | Morocco | $ 23,610,000,000 | 31 December 2010 est. |
| 55 | Austria | $ 22,280,000,000 | 31 December 2010 est. |
| 56 | Kuwait | $ 21,360,000,000 | 31 December 2010 est. |
| 57 | Portugal | $ 21,000,000,000 | 31 December 2010 est. |
| 58 | Syria | $ 20,570,000,000 | 31 December 2010 est. |
| 59 | Angola | $ 19,660,000,000 | 31 December 2010 est. |
| 60 | Turkmenistan | $ 17,600,000,000 | 31 December 2010 est. |
| 61 | Bulgaria | $ 17,230,000,000 | 31 December 2010 est. |
| 62 | Pakistan | $ 17,210,000,000 | 31 December 2010 est. |
| 63 | New Zealand | $ 16,720,000,000 | 31 December 2010 est. |
| 64 | Croatia | $ 14,130,000,000 | 31 December 2010 est. |
| 65 | Jordan | $ 13,650,000,000 | 31 December 2010 est. |
| 66 | Serbia | $ 13,310,000,000 | 31 December 2010 est. |
| 67 | Oman | $ 13,030,000,000 | 31 December 2010 est. |
| 68 | Vietnam | $ 12,930,000,000 | 31 December 2010 est. |
| 69 | Bangladesh | $ 11,180,000,000 | 31 December 2010 est. |
| 70 | Uzbekistan | $ 9,800,000,000 | 31 December 2010 est. |
| 71 | Bolivia | $ 9,730,000,000 | 31 December 2010 est. |
| 72 | Trinidad and Tobago | $ 9,659,000,000 | 31 December 2010 est. |
| 73 | Finland | $ 9,555,000,000 | 31 December 2010 est. |
| 74 | Tunisia | $ 9,462,000,000 | 31 December 2010 est. |
| 75 | Botswana | $ 7,885,000,000 | 31 December 2010 est. |
| 76 | Uruguay | $ 7,657,000,000 | 31 December 2010 est. |
