CIA - The World Factbook --  School life expectancy (primary to tertiary education)   

| Rank | country | (years) | Date of Information |
| --- | --- | --- | --- |
| 1 | New Zealand | 20.00 | 2011 |
| 2 | Australia | 20.00 | 2011 |
| 3 | Australia | 20.00 | 2011 |
| 4 | Iceland | 20.00 | 2011 |
| 5 | New Zealand | 19.00 | 2011 |
| 6 | New Zealand | 19.00 | 2011 |
| 7 | Iceland | 19.00 | 2011 |
| 8 | Australia | 19.00 | 2011 |
| 9 | Ireland | 19.00 | 2011 |
| 10 | Ireland | 19.00 | 2011 |
| 11 | Ireland | 19.00 | 2011 |
| 12 | Slovenia | 18.00 | 2012 |
| 13 | Spain | 18.00 | 2011 |
| 14 | Korea, South | 18.00 | 2011 |
| 15 | Netherlands | 18.00 | 2011 |
| 16 | Netherlands | 18.00 | 2011 |
| 17 | Netherlands | 18.00 | 2011 |
| 18 | Finland | 18.00 | 2011 |
| 19 | Norway | 18.00 | 2011 |
| 20 | Iceland | 18.00 | 2011 |
| 21 | Argentina | 18.00 | 2011 |
| 22 | Denmark | 18.00 | 2010 |
| 23 | Estonia | 18.00 | 2010 |
| 24 | Norway | 18.00 | 2011 |
| 25 | Slovenia | 17.00 | 2012 |
| 26 | Greece | 17.00 | 2007 |
| 27 | Spain | 17.00 | 2011 |
| 28 | Sweden | 17.00 | 2011 |
| 29 | United Kingdom | 17.00 | 2011 |
| 30 | United States | 17.00 | 2011 |
| 31 | United States | 17.00 | 2011 |
| 32 | Uruguay | 17.00 | 2010 |
| 33 | Korea, South | 17.00 | 2011 |
| 34 | Lithuania | 17.00 | 2011 |
| 35 | Lithuania | 17.00 | 2011 |
| 36 | Montserrat | 17.00 | 2007 |
| 37 | Norway | 17.00 | 2011 |
| 38 | Portugal | 17.00 | 2010 |
| 39 | Italy | 17.00 | 2011 |
| 40 | Puerto Rico | 17.00 | 2011 |
| 41 | Argentina | 17.00 | 2011 |
| 42 | Barbados | 17.00 | 2011 |
| 43 | Belgium | 17.00 | 2011 |
| 44 | Czech Republic | 17.00 | 2011 |
| 45 | Denmark | 17.00 | | 2010 |
| 46 | Estonia | 17.00 | 2010 |
| 47 | Finland | 17.00 | 2011 |
| 48 | Greece | 17.00 | 2007 |
| 49 | Spain | 17.00 | 2011 |
| 50 | San Marino | 16.00 | 2011 |
| 51 | Grenada | 16.00 | 2009 |
| 52 | Saudi Arabia | 16.00 | 2012 |
| 53 | Slovenia | 16.00 | 2012 |
| 54 | Sweden | 16.00 | 2011 |
| 55 | Switzerland | 16.00 | 2011 |
| 56 | Switzerland | 16.00 | 2011 |
| 57 | Switzerland | 16.00 | 2011 |
| 58 | United Kingdom | 16.00 | 2011 |
| 59 | United Kingdom | 16.00 | 2011 |
| 60 | United States | 16.00 | 2011 |
| 61 | Uruguay | 16.00 | 2010 |
| 62 | Korea, South | 16.00 | 2011 |
| 63 | Latvia | 16.00 | 2011 |
| 64 | Latvia | 16.00 | 2011 |
| 65 | Libya | 16.00 | 2003 |
| 66 | Libya | 16.00 | 2003 |
| 67 | Libya | 16.00 | 2003 |
| 68 | Liechtenstein | 16.00 | 2011 |
| 69 | Lithuania | 16.00 | 2011 |
| 70 | Mauritius | 16.00 | 2012 |
| 71 | Mauritius | 16.00 | 2012 |
| 72 | Mongolia | 16.00 | 2012 |
| 73 | Montenegro | 16.00 | 2010 |
| 74 | Poland | 16.00 | 2012 |
| 75 | Poland | 16.00 | 2012 |
| 76 | Portugal | 16.00 | 2010 |
| 77 | Portugal | 16.00 | 2010 |
| 78 | Hong Kong | 16.00 | 2012 |
| 79 | Hungary | 16.00 | 2011 |
| 80 | Israel | 16.00 | 2009 |
| 81 | Israel | 16.00 | 2009 |
| 82 | Italy | 16.00 | 2011 |
| 83 | Italy | 16.00 | 2011 |
| 84 | Puerto Rico | 16.00 | 2011 |
| 85 | Argentina | 16.00 | 2011 |
| 86 | Austria | 16.00 | 2011 |
| 87 | Austria | 16.00 | 2011 |
| 88 | Belarus | 16.00 | 2012 |
| 89 | Belarus | 16.00 | 2012 |
| 90 | Belgium | 16.00 | 2011 |
| 91 | Belgium | 16.00 | 2011 |
| 92 | British Virgin Islands | 16.00 | 2009 |
| 93 | Canada | 16.00 | 2000 |
| 94 | Canada | 16.00 | 2000 |
| 95 | Chile | 16.00 | 2012 |
| 96 | Czech Republic | 16.00 | 2011 |
| 97 | Czech Republic | 16.00 | 2011 |
| 98 | Denmark | 16.00 | 2010 |
| 99 | Estonia | 16.00 | 2010 |
| 100 | Fiji | 16.00 | 2011 |
| 101 | Finland | 16.00 | 2011 |
| 102 | France | 16.00 | 2011 |
| 103 | France | 16.00 | 2011 |
| 104 | France | 16.00 | 2011 |
| 105 | Germany | 16.00 | 2011 |
| 106 | Germany | 16.00 | 2011 |
| 107 | Germany | 16.00 | 2011 |
| 108 | Greece | 16.00 | 2007 |
| 109 | Grenada | 16.00 | 2009 |
| 110 | Saudi Arabia | 16.00 | 2012 |
| 111 | San Marino | 15.00 | 2011 |
| 112 | Grenada | 15.00 | 2009 |
| 113 | Saudi Arabia | 15.00 | 2012 |
| 114 | Sweden | 15.00 | 2011 |
| 115 | Tunisia | 15.00 | 2010 |
| 116 | Tunisia | 15.00 | 2010 |
| 117 | Turkey | 15.00 | 2011 |
| 118 | Ukraine | 15.00 | 2012 |
| 119 | Ukraine | 15.00 | 2012 |
| 120 | Ukraine | 15.00 | 2012 |
| 121 | Venezuela | 15.00 | 2008 |
| 122 | Kazakhstan | 15.00 | 2012 |
| 123 | Kazakhstan | 15.00 | 2012 |
| 124 | Kazakhstan | 15.00 | 2012 |
| 125 | Kuwait | 15.00 | 2004 |
| 126 | Kuwait | 15.00 | 2004 |
