CIA - The World Factbook --  School life expectancy (primary to tertiary education)   

School life expectancy (SLE) is the total number of years of schooling (primary to tertiary) that a child can expect to receive, assuming that the probability of his or her being enrolled in school at any particular future age is equal to the current enrollment ratio at that age. Caution must be maintained when utilizing this indicator in international comparisons. For example, a year or grade completed in one country is not necessarily the same in terms of educational content or quality as a year or grade completed in another country. SLE represents the expected number of years of schooling that will be completed, including years spent repeating one or more grades.

| Rank | country | (years) | Date of Information |
| --- | --- | --- | --- |
| 1 | Australia | 21.00 | 2006 |
| 2 | Australia | 20.00 | 2006 |
| 3 | New Zealand | 20.00 | 2006 |
| 4 | Australia | 20.00 | 2006 |
| 5 | Iceland | 19.00 | 2006 |
| 6 | British Virgin Islands | 19.00 | 2005 |
| 7 | New Zealand | 19.00 | 2006 |
| 8 | New Zealand | 19.00 | 2006 |
| 9 | Ireland | 18.00 | 2006 |
| 10 | Ireland | 18.00 | 2006 |
| 11 | Iceland | 18.00 | 2006 |
| 12 | Norway | 18.00 | 2006 |
| 13 | Korea, South | 18.00 | 2007 |
| 14 | Finland | 18.00 | 2006 |
| 15 | Canada | 17.00 | 2004 |
| 16 | Canada | 17.00 | 2004 |
| 17 | Canada | 17.00 | 2004 |
| 18 | Cuba | 17.00 | 2006 |
| 19 | Ireland | 17.00 | 2006 |
| 20 | Italy | 17.00 | 2006 |
| 21 | Iceland | 17.00 | 2006 |
| 22 | Greece | 17.00 | 2006 |
| 23 | Greece | 17.00 | 2006 |
| 24 | Greece | 17.00 | 2006 |
| 25 | France | 17.00 | 2006 |
| 26 | Finland | 17.00 | 2006 |
| 27 | Finland | 17.00 | 2006 |
| 28 | Estonia | 17.00 | 2006 |
| 29 | United Kingdom | 17.00 | 2006 |
| 30 | Sweden | 17.00 | 2006 |
| 31 | Spain | 17.00 | 2006 |
| 32 | Slovenia | 17.00 | 2006 |
| 33 | Slovenia | 17.00 | 2006 |
| 34 | Norway | 17.00 | 2006 |
| 35 | Norway | 17.00 | 2006 |
| 36 | Netherlands | 17.00 | 2006 |
| 37 | Libya | 17.00 | 2003 |
| 38 | Libya | 17.00 | 2003 |
| 39 | Lithuania | 17.00 | 2006 |
| 40 | Latvia | 17.00 | 2006 |
| 41 | Korea, South | 17.00 | 2007 |
| 42 | British Virgin Islands | 17.00 | 2005 |
| 43 | Denmark | 17.00 | 2006 |
| 44 | Denmark | 17.00 | 2006 |
| 45 | Argentina | 16.00 | 2005 |
| 46 | Belgium | 16.00 | 2006 |
| 47 | Austria | 16.00 | 2006 |
| 48 | Bahrain | 16.00 | 2006 |
| 49 | Belgium | 16.00 | 2006 |
| 50 | Belgium | 16.00 | 2006 |
| 51 | Italy | 16.00 | 2006 |
| 52 | Italy | 16.00 | 2006 |
| 53 | Israel | 16.00 | 2006 |
| 54 | Hungary | 16.00 | 2006 |
| 55 | Germany | 16.00 | 2006 |
| 56 | Germany | 16.00 | 2006 |
| 57 | Germany | 16.00 | 2006 |
| 58 | France | 16.00 | 2006 |
| 59 | France | 16.00 | 2006 |
| 60 | United Kingdom | 16.00 | 2006 |
| 61 | United Kingdom | 16.00 | 2006 |
| 62 | Sweden | 16.00 | 2006 |
| 63 | Spain | 16.00 | 2006 |
| 64 | Spain | 16.00 | 2006 |
| 65 | Slovenia | 16.00 | 2006 |
| 66 | Portugal | 16.00 | 2006 |
| 67 | Poland | 16.00 | 2006 |
| 68 | Netherlands | 16.00 | 2006 |
| 69 | Uruguay | 16.00 | 2006 |
| 70 | United States | 16.00 | 2006 |
| 71 | United States | 16.00 | 2006 |
| 72 | Montserrat | 16.00 | 2006 |
| 73 | Montserrat | 16.00 | 2006 |
| 74 | Macau | 16.00 | 2006 |
| 75 | Libya | 16.00 | 2003 |
| 76 | Liechtenstein | 16.00 | 2004 |
| 77 | Lithuania | 16.00 | 2006 |
| 78 | Latvia | 16.00 | 2006 |
| 79 | Kazakhstan | 16.00 | 2007 |
| 80 | Netherlands | 16.00 | 2006 |
| 81 | Estonia | 16.00 | 2006 |
| 82 | Denmark | 16.00 | 2006 |
| 83 | Cuba | 16.00 | 2006 |
| 84 | Argentina | 15.00 | 2005 |
| 85 | Austria | 15.00 | 2006 |
| 86 | Austria | 15.00 | 2006 |
| 87 | Belarus | 15.00 | 2006 |
| 88 | Czech Republic | 15.00 | 2006 |
| 89 | Japan | 15.00 | 2006 |
| 90 | Japan | 15.00 | 2006 |
| 91 | Japan | 15.00 | 2006 |
| 92 | Israel | 15.00 | 2006 |
| 93 | Israel | 15.00 | 2006 |
| 94 | Hungary | 15.00 | 2006 |
| 95 | Hungary | 15.00 | 2006 |
| 96 | Czech Republic | 15.00 | 2006 |
| 97 | Czech Republic | 15.00 | 2006 |
| 98 | British Virgin Islands | 15.00 | 2005 |
| 99 | Uruguay | 15.00 | 2006 |
| 100 | United States | 15.00 | 2006 |
| 101 | Ukraine | 15.00 | 2006 |
| 102 | Switzerland | 15.00 | 2006 |
| 103 | Switzerland | 15.00 | 2006 |
| 104 | Switzerland | 15.00 | 2006 |
| 105 | Sweden | 15.00 | 2006 |
| 106 | Portugal | 15.00 | 2006 |
| 107 | Portugal | 15.00 | 2006 |
| 108 | Poland | 15.00 | 2006 |
| 109 | Poland | 15.00 | 2006 |
| 110 | Netherlands Antilles | 15.00 | 2002 |
| 111 | Malta | 15.00 | 2005 |
| 112 | Malta | 15.00 | 2005 |
| 113 | Malta | 15.00 | 2005 |
| 114 | Montserrat | 15.00 | 2006 |
| 115 | Seychelles | 15.00 | 2007 |
| 116 | Seychelles | 15.00 | 2007 |
| 117 | Palau | 15.00 | 2000 |
| 118 | Palau | 15.00 | 2000 |
| 119 | Macau | 15.00 | 2006 |
| 120 | Liechtenstein | 15.00 | 2004 |
| 121 | Slovakia | 15.00 | 2006 |
| 122 | Slovakia | 15.00 | 2006 |
| 123 | Lithuania | 15.00 | 2006 |
| 124 | Kazakhstan | 15.00 | 2007 |
| 125 | Kazakhstan | 15.00 | 2007 |
| 126 | Korea, South | 15.00 | 2007 |
| 127 | Estonia | 15.00 | 2006 |
| 128 | Brazil | 15.00 | 2005 |
| 129 | Cuba | 15.00 | 2006 |
| 130 | Belarus | 15.00 | 2006 |
| 131 | Bahrain | 15.00 | 2006 |
| 132 | Aruba | 14.00 | 2006 |
| 133 | Aruba | 14.00 | 2006 |
| 134 | Argentina | 14.00 | 2005 |
| 135 | West Bank | 14.00 | 2006 |
| 136 | West Bank | 14.00 | 2006 |
| 137 | Uruguay | 14.00 | 2006 |
| 138 | Ukraine | 14.00 | 2006 |
| 139 | Ukraine | 14.00 | 2006 |
| 140 | Tunisia | 14.00 | 2006 |
| 141 | Tunisia | 14.00 | 2006 |
| 142 | Thailand | 14.00 | 2006 |
| 143 | Thailand | 14.00 | 2006 |
| 144 | Saint Lucia | 14.00 | 2006 |
| 145 | Saint Lucia | 14.00 | 2006 |
| 146 | Seychelles | 14.00 | 2007 |
| 147 | Russia | 14.00 | 2006 |
| 148 | Russia | 14.00 | 2006 |
| 149 | Romania | 14.00 | 2006 |
| 150 | Romania | 14.00 | 2006 |
| 151 | Romania | 14.00 | 2006 |
| 152 | Qatar | 14.00 | 2006 |
| 153 | Palau | 14.00 | 2000 |
| 154 | Panama | 14.00 | 2006 |
| 155 | Peru | 14.00 | 2006 |
| 156 | Peru | 14.00 | 2006 |
| 157 | Peru | 14.00 | 2006 |
| 158 | Netherlands Antilles | 14.00 | 2002 |
| 159 | Netherlands Antilles | 14.00 | 2002 |
| 160 | Mexico | 14.00 | 2006 |
| 161 | Mauritius | 14.00 | 2005 |
| 162 | Mauritius | 14.00 | 2005 |
| 163 | Macau | 14.00 | 2006 |
| 164 | Luxembourg | 14.00 | 2006 |
| 165 | Luxembourg | 14.00 | 2006 |
| 166 | Slovakia | 14.00 | 2006 |
| 167 | Latvia | 14.00 | 2006 |
| 168 | Gaza Strip | 14.00 | 2006 |
| 169 | Gaza Strip | 14.00 | 2006 |
| 170 | Guyana | 14.00 | 2005 |
| 171 | Chile | 14.00 | 2006 |
| 172 | Mongolia | 14.00 | 2006 |
| 173 | Brunei | 14.00 | 2006 |
| 174 | Brunei | 14.00 | 2006 |
| 175 | Brunei | 14.00 | 2006 |
| 176 | Bulgaria | 14.00 | 2006 |
| 177 | Bulgaria | 14.00 | 2006 |
| 178 | Brazil | 14.00 | 2005 |
| 179 | Brazil | 14.00 | 2005 |
| 180 | Belarus | 14.00 | 2006 |
| 181 | Croatia | 14.00 | 2006 |
| 182 | Croatia | 14.00 | 2006 |
| 183 | Hong Kong | 14.00 | 2006 |
| 184 | Hong Kong | 14.00 | 2006 |
| 185 | Dominica | 14.00 | 2005 |
| 186 | Cyprus | 14.00 | 2006 |
| 187 | Cyprus | 14.00 | 2006 |
| 188 | Chile | 14.00 | 2006 |
| 189 | Chile | 14.00 | 2006 |
| 190 | Bermuda | 14.00 | 2005 |
| 191 | Barbados | 14.00 | 2001 |
| 192 | Bahrain | 14.00 | 2006 |
| 193 | Aruba | 13.00 | 2006 |
| 194 | Algeria | 13.00 | 2005 |
| 195 | Algeria | 13.00 | 2005 |
| 196 | Barbados | 13.00 | 2001 |
| 197 | Barbados | 13.00 | 2001 |
| 198 | West Bank | 13.00 | 2006 |
| 199 | Tunisia | 13.00 | 2006 |
| 200 | Tonga | 13.00 | 2004 |
| 201 | Tonga | 13.00 | 2004 |
| 202 | Tonga | 13.00 | 2004 |
| 203 | Thailand | 13.00 | 2006 |
| 204 | Saint Lucia | 13.00 | 2006 |
| 205 | South Africa | 13.00 | 2004 |
| 206 | South Africa | 13.00 | 2004 |
| 207 | South Africa | 13.00 | 2004 |
| 208 | Saint Kitts and Nevis | 13.00 | 2005 |
| 209 | Russia | 13.00 | 2006 |
| 210 | Marshall Islands | 13.00 | 2003 |
| 211 | Marshall Islands | 13.00 | 2003 |
| 212 | Marshall Islands | 13.00 | 2003 |
| 213 | Qatar | 13.00 | 2006 |
| 214 | Qatar | 13.00 | 2006 |
| 215 | Panama | 13.00 | 2006 |
| 216 | Panama | 13.00 | 2006 |
| 217 | Suriname | 13.00 | 2002 |
| 218 | Malaysia | 13.00 | 2005 |
| 219 | Malaysia | 13.00 | 2005 |
| 220 | Mexico | 13.00 | 2006 |
| 221 | Mexico | 13.00 | 2006 |
| 222 | Mauritius | 13.00 | 2005 |
| 223 | Lebanon | 13.00 | 2006 |
| 224 | Kuwait | 13.00 | 2006 |
| 225 | Kuwait | 13.00 | 2006 |
| 226 | Kiribati | 13.00 | 2005 |
| 227 | Kyrgyzstan | 13.00 | 2006 |
| 228 | Jordan | 13.00 | 2006 |
| 229 | Jordan | 13.00 | 2006 |
| 230 | Jordan | 13.00 | 2006 |
| 231 | Hong Kong | 13.00 | 2006 |
| 232 | Mongolia | 13.00 | 2006 |
| 233 | Moldova | 13.00 | 2006 |
| 234 | Luxembourg | 13.00 | 2006 |
| 235 | Liechtenstein | 13.00 | 2004 |
| 236 | Lebanon | 13.00 | 2006 |
| 237 | Lebanon | 13.00 | 2006 |
| 238 | Gaza Strip | 13.00 | 2006 |
| 239 | Guyana | 13.00 | 2005 |
| 240 | Guyana | 13.00 | 2005 |
| 241 | Georgia | 13.00 | 2006 |
| 242 | Fiji | 13.00 | 2005 |
| 243 | Fiji | 13.00 | 2005 |
| 244 | Fiji | 13.00 | 2005 |
| 245 | Cayman Islands | 13.00 | 2001 |
| 246 | Iran | 13.00 | 2005 |
| 247 | Iran | 13.00 | 2005 |
| 248 | Iran | 13.00 | 2005 |
| 249 | Croatia | 13.00 | 2006 |
| 250 | Cayman Islands | 13.00 | 2001 |
| 251 | Bulgaria | 13.00 | 2006 |
| 252 | Belize | 13.00 | 2004 |
| 253 | Belize | 13.00 | 2004 |
