CIA - The World Factbook --  School life expectancy (primary to tertiary education)   

School life expectancy (SLE) is the total number of years of schooling (primary to tertiary) that a child can expect to receive, assuming that the probability of his or her being enrolled in school at any particular future age is equal to the current enrollment ratio at that age. Caution must be maintained when utilizing this indicator in international comparisons. For example, a year or grade completed in one country is not necessarily the same in terms of educational content or quality as a year or grade completed in another country. SLE represents the expected number of years of schooling that will be completed, including years spent repeating one or more grades.

| Rank | country | (years) | Date of Information |
| --- | --- | --- | --- |
| 1 | Australia | 21.00 | 2008 |
| 2 | Australia | 21.00 | 2008 |
| 3 | Australia | 20.00 | 2008 |
| 4 | New Zealand | 20.00 | 2008 |
| 5 | Iceland | 20.00 | 2008 |
| 6 | British Virgin Islands | 19.00 | 2005 |
| 7 | New Zealand | 19.00 | 2008 |
| 8 | Cuba | 19.00 | 2009 |
| 9 | New Zealand | 19.00 | 2008 |
| 10 | Cuba | 18.00 | 2009 |
| 11 | Ireland | 18.00 | 2008 |
| 12 | Slovenia | 18.00 | 2008 |
| 13 | Norway | 18.00 | 2008 |
| 14 | Korea, South | 18.00 | 2008 |
| 15 | Ireland | 18.00 | 2008 |
| 16 | Denmark | 18.00 | 2007 |
| 17 | Finland | 18.00 | 2008 |
| 18 | Ireland | 18.00 | 2008 |
| 19 | Iceland | 18.00 | 2008 |
| 20 | Argentina | 17.00 | 2007 |
| 21 | Finland | 17.00 | 2008 |
| 22 | Libya | 17.00 | 2003 |
| 23 | Libya | 17.00 | 2003 |
| 24 | Latvia | 17.00 | 2008 |
| 25 | Korea, South | 17.00 | 2008 |
| 26 | Italy | 17.00 | 2007 |
| 27 | Iceland | 17.00 | 2008 |
| 28 | Greece | 17.00 | 2007 |
| 29 | Greece | 17.00 | 2007 |
| 30 | France | 17.00 | 2008 |
| 31 | United Kingdom | 17.00 | 2008 |
| 32 | Spain | 17.00 | 2008 |
| 33 | Slovenia | 17.00 | 2008 |
| 34 | Norway | 17.00 | 2008 |
| 35 | Norway | 17.00 | 2008 |
| 36 | Netherlands | 17.00 | 2008 |
| 37 | Netherlands | 17.00 | 2008 |
| 38 | Netherlands | 17.00 | 2008 |
| 39 | Montserrat | 17.00 | 2007 |
| 40 | Lithuania | 17.00 | 2008 |
| 41 | Uruguay | 17.00 | 2007 |
| 42 | United States | 17.00 | 2008 |
| 43 | Finland | 17.00 | 2008 |
| 44 | Canada | 17.00 | 2004 |
| 45 | British Virgin Islands | 17.00 | 2005 |
| 46 | Denmark | 17.00 | 2007 |
| 47 | Estonia | 17.00 | 2008 |
| 48 | Canada | 17.00 | 2004 |
| 49 | Canada | 17.00 | 2004 |
| 50 | Argentina | 16.00 | 2007 |
| 51 | Libya | 16.00 | 2003 |
| 52 | Germany | 16.00 | 2006 |
| 53 | Germany | 16.00 | 2006 |
| 54 | Germany | 16.00 | 2006 |
| 55 | France | 16.00 | 2008 |
| 56 | France | 16.00 | 2008 |
| 57 | Estonia | 16.00 | 2008 |
| 58 | Denmark | 16.00 | 2007 |
| 59 | Czech Republic | 16.00 | 2008 |
| 60 | Cuba | 16.00 | 2009 |
| 61 | United States | 16.00 | 2008 |
| 62 | United Kingdom | 16.00 | 2008 |
| 63 | United Kingdom | 16.00 | 2008 |
| 64 | Switzerland | 16.00 | 2008 |
| 65 | Switzerland | 16.00 | 2008 |
| 66 | Sweden | 16.00 | 2008 |
| 67 | Sweden | 16.00 | 2008 |
| 68 | Portugal | 16.00 | 2007 |
| 69 | Poland | 16.00 | 2007 |
| 70 | Uruguay | 16.00 | 2007 |
| 71 | Lithuania | 16.00 | 2008 |
| 72 | Liechtenstein | 16.00 | 2008 |
| 73 | Korea, South | 16.00 | 2008 |
