CIA - The World Factbook --  School life expectancy (primary to tertiary education)   

School life expectancy (SLE) is the total number of years of schooling (primary to tertiary) that a child can expect to receive, assuming that the probability of his or her being enrolled in school at any particular future age is equal to the current enrollment ratio at that age. Caution must be maintained when utilizing this indicator in international comparisons. For example, a year or grade completed in one country is not necessarily the same in terms of educational content or quality as a year or grade completed in another country. SLE represents the expected number of years of schooling that will be completed, including years spent repeating one or more grades.

| Rank | country | (years) | Date of Information |
| --- | --- | --- | --- |
| 1 | Australia | 20.00 | 2010 |
| 2 | Australia | 20.00 | 2010 |
| 3 | New Zealand | 20.00 | 2010 |
| 4 | New Zealand | 20.00 | 2010 |
| 5 | Iceland | 20.00 | 2010 |
| 6 | Australia | 19.00 | 2010 |
| 7 | Ireland | 19.00 | 2011 |
| 8 | New Zealand | 19.00 | 2010 |
| 9 | Ireland | 19.00 | 2011 |
| 10 | Ireland | 19.00 | 2011 |
| 11 | Argentina | 18.00 | 2010 |
| 12 | Barbados | 18.00 | 2011 |
| 13 | Denmark | 18.00 | 2010 |
| 14 | Finland | 18.00 | 2011 |
| 15 | Iceland | 18.00 | 2010 |
| 16 | Korea, South | 18.00 | 2010 |
| 17 | United States | 18.00 | 2010 |
| 18 | Monaco | 18.00 | 2009 |
| 19 | Norway | 18.00 | 2010 |
| 20 | Norway | 18.00 | 2010 |
| 21 | Slovenia | 18.00 | 2011 |
| 22 | Spain | 18.00 | 2011 |
| 23 | Monaco | 18.00 | 2009 |
| 24 | Barbados | 17.00 | 2011 |
| 25 | Uruguay | 17.00 | 2010 |
| 26 | Canada | 17.00 | 2004 |
| 27 | Canada | 17.00 | 2004 |
| 28 | Canada | 17.00 | 2004 |
| 29 | Denmark | 17.00 | 2010 |
| 30 | Estonia | 17.00 | 2010 |
| 31 | Finland | 17.00 | 2011 |
| 32 | France | 17.00 | 2011 |
| 33 | Iceland | 17.00 | 2010 |
| 34 | Italy | 17.00 | 2010 |
| 35 | Korea, South | 17.00 | 2010 |
| 36 | Montserrat | 17.00 | 2007 |
| 37 | Monaco | 17.00 | 2009 |
| 38 | Netherlands | 17.00 | 2010 |
| 39 | Netherlands | 17.00 | 2010 |
| 40 | Netherlands | 17.00 | 2010 |
| 41 | Norway | 17.00 | 2010 |
| 42 | Slovenia | 17.00 | 2011 |
| 43 | Spain | 17.00 | 2011 |
| 44 | Spain | 17.00 | 2011 |
| 45 | Sweden | 17.00 | 2011 |
| 46 | United Kingdom | 17.00 | 2010 |
| 47 | United Kingdom | 17.00 | 2010 |
| 48 | United States | 17.00 | 2010 |
| 49 | Belgium | 17.00 | 2010 |
| 50 | Argentina | 16.00 | 2010 |
| 51 | British Virgin Islands | 16.00 | 2009 |
| 52 | Austria | 16.00 | 2011 |
| 53 | Belgium | 16.00 | 2010 |
| 54 | Belgium | 16.00 | 2010 |
| 55 | Belarus | 16.00 | 2011 |
| 56 | Brunei | 16.00 | 2011 |
| 57 | Cuba | 16.00 | 2011 |
| 58 | Denmark | 16.00 | 2010 |
| 59 | Estonia | 16.00 | 2010 |
| 60 | Czech Republic | 16.00 | 2011 |
| 61 | Czech Republic | 16.00 | 2011 |
| 62 | Czech Republic | 16.00 | 2011 |
| 63 | Finland | 16.00 | 2011 |
| 64 | France | 16.00 | 2011 |
| 65 | France | 16.00 | 2011 |
| 66 | Grenada | 16.00 | 2009 |
| 67 | Grenada | 16.00 | 2009 |
| 68 | Germany | 16.00 | 2006 |
| 69 | Germany | 16.00 | 2006 |
| 70 | Germany | 16.00 | 2006 |
| 71 | Greece | 16.00 | 2007 |
| 72 | Greece | 16.00 | 2007 |
| 73 | Greece | 16.00 | 2007 |
| 74 | Hong Kong | 16.00 | 2011 |
| 75 | Hong Kong | 16.00 | 2011 |
| 76 | Hungary | 16.00 | 2011 |
| 77 | Israel | 16.00 | 2009 |
| 78 | Israel | 16.00 | 2009 |
| 79 | Italy | 16.00 | 2010 |
| 80 | Italy | 16.00 | 2010 |
| 81 | Japan | 16.00 | 2010 |
| 82 | Korea, South | 16.00 | 2010 |
| 83 | Kazakhstan | 16.00 | 2012 |
| 84 | Lithuania | 16.00 | 2011 |
| 85 | Lithuania | 16.00 | 2011 |
| 86 | Liechtenstein | 16.00 | 2011 |
| 87 | Libya | 16.00 | 2003 |
| 88 | Libya | 16.00 | 2003 |
| 89 | Libya | 16.00 | 2003 |
| 90 | Poland | 16.00 | 2010 |
| 91 | Portugal | 16.00 | 2010 |
| 92 | Portugal | 16.00 | 2010 |
| 93 | Portugal | 16.00 | 2010 |
| 94 | Slovenia | 16.00 | 2011 |
| 95 | Sweden | 16.00 | 2011 |
| 96 | Switzerland | 16.00 | 2011 |
| 97 | Switzerland | 16.00 | 2011 |
| 98 | Switzerland | 16.00 | 2011 |
| 99 | United Kingdom | 16.00 | 2010 |
| 100 | United States | 16.00 | 2010 |
| 101 | Uruguay | 16.00 | 2010 |
| 102 | Austria | 16.00 | 2011 |
| 103 | Fiji | 15.70 | 2011 |
| 104 | British Virgin Islands | 15.00 | 2009 |
| 105 | Bahrain | 15.00 | 2006 |
| 106 | Barbados | 15.00 | 2011 |
| 107 | Belarus | 15.00 | 2011 |
| 108 | Belarus | 15.00 | 2011 |
| 109 | Brazil | 15.00 | 2005 |
| 110 | Brunei | 15.00 | 2011 |
| 111 | Brunei | 15.00 | 2011 |
| 112 | Chile | 15.00 | 2011 |
| 113 | Chile | 15.00 | 2011 |
| 114 | Chile | 15.00 | 2011 |
| 115 | Cuba | 15.00 | 2011 |
| 116 | Cuba | 15.00 | 2011 |
| 117 | Estonia | 15.00 | 2010 |
| 118 | Grenada | 15.00 | 2009 |
| 119 | Hong Kong | 15.00 | 2011 |
| 120 | Croatia | 15.00 | 2010 |
| 121 | Hungary | 15.00 | 2011 |
| 122 | Hungary | 15.00 | 2011 |
| 123 | Israel | 15.00 | 2009 |
| 124 | Japan | 15.00 | 2010 |
| 125 | Japan | 15.00 | 2010 |
| 126 | Kuwait | 15.00 | 2004 |
| 127 | Kazakhstan | 15.00 | 2012 |
| 128 | Kazakhstan | 15.00 | 2012 |
| 129 | Lebanon | 15.00 | 2011 |
| 130 | Latvia | 15.00 | 2011 |
| 131 | Lithuania | 15.00 | 2011 |
| 132 | Slovakia | 15.00 | 2011 |
| 133 | Slovakia | 15.00 | 2011 |
| 134 | Liechtenstein | 15.00 | 2011 |
| 135 | Mongolia | 15.00 | 2011 |
| 136 | Montserrat | 15.00 | 2007 |
| 137 | Malta | 15.00 | 2010 |
| 138 | Malta | 15.00 | 2010 |
| 139 | Malta | 15.00 | 2010 |
| 140 | Niue | 15.00 | 2005 |
| 141 | Poland | 15.00 | 2010 |
| 142 | Poland | 15.00 | 2010 |
| 143 | Palau | 15.00 | 2001 |
| 144 | Palau | 15.00 | 2001 |
| 145 | Romania | 15.00 | 2010 |
| 146 | Russia | 15.00 | 2009 |
| 147 | Saudi Arabia | 15.00 | 2011 |
| 148 | Saudi Arabia | 15.00 | 2011 |
| 149 | Saudi Arabia | 15.00 | 2011 |
| 150 | Sweden | 15.00 | 2011 |
| 151 | Tunisia | 15.00 | 2011 |
| 152 | Tunisia | 15.00 | 2011 |
| 153 | Ukraine | 15.00 | 2011 |
| 154 | Ukraine | 15.00 | 2011 |
| 155 | Ukraine | 15.00 | 2011 |
| 156 | British Virgin Islands | 15.00 | 2009 |
| 157 | Argentina | 15.00 | 2010 |
| 158 | Austria | 15.00 | 2011 |
| 159 | Venezuela | 14.30 | 2009 |
| 160 | Qatar | 14.00 | 2011 |
| 161 | Serbia | 14.00 | 2011 |
| 162 | Serbia | 14.00 | 2011 |
| 163 | Romania | 14.00 | 2010 |
| 164 | Romania | 14.00 | 2010 |
| 165 | Russia | 14.00 | 2009 |
| 166 | Russia | 14.00 | 2009 |
| 167 | Seychelles | 14.00 | 2011 |
| 168 | Tonga | 14.00 | 2007 |
| 169 | Tonga | 14.00 | 2007 |
| 170 | Tonga | 14.00 | 2007 |
| 171 | Tunisia | 14.00 | 2011 |
| 172 | Turkey | 14.00 | 2010 |
| 173 | Turkey | 14.00 | 2010 |
| 174 | Uruguay | 14.00 | 2010 |
| 175 | West Bank | 14.00 | 2006 |
| 176 | West Bank | 14.00 | 2006 |
| 177 | Antigua and Barbuda | 14.00 | 2011 |
| 178 | Antigua and Barbuda | 14.00 | 2011 |
| 179 | Antigua and Barbuda | 14.00 | 2011 |
| 180 | United Arab Emirates | 14.00 | 2009 |
| 181 | Algeria | 14.00 | 2011 |
| 182 | Algeria | 14.00 | 2011 |
| 183 | Algeria | 14.00 | 2011 |
| 184 | Bahrain | 14.00 | 2006 |
| 185 | Bahrain | 14.00 | 2006 |
| 186 | Bosnia and Herzegovina | 14.00 | 2011 |
| 187 | Bosnia and Herzegovina | 14.00 | 2011 |
| 188 | Bolivia | 14.00 | 2007 |
| 189 | Bolivia | 14.00 | 2007 |
| 190 | Brazil | 14.00 | 2005 |
| 191 | Brazil | 14.00 | 2005 |
| 192 | Bulgaria | 14.00 | 2010 |
| 193 | Bulgaria | 14.00 | 2010 |
| 194 | Bulgaria | 14.00 | 2010 |
| 195 | Sri Lanka | 14.00 | 2011 |
| 196 | Sri Lanka | 14.00 | 2011 |
| 197 | Sri Lanka | 14.00 | 2011 |
| 198 | Colombia | 14.00 | 2011 |
| 199 | Colombia | 14.00 | 2011 |
| 200 | Costa Rica | 14.00 | 2011 |
| 201 | Costa Rica | 14.00 | 2011 |
| 202 | Cyprus | 14.00 | 2010 |
| 203 | Cyprus | 14.00 | 2010 |
| 204 | Cyprus | 14.00 | 2010 |
| 205 | Ecuador | 14.00 | 2008 |
| 206 | Ecuador | 14.00 | 2008 |
| 207 | Gaza Strip | 14.00 | 2006 |
| 208 | Gaza Strip | 14.00 | 2006 |
| 209 | Croatia | 14.00 | 2010 |
| 210 | Croatia | 14.00 | 2010 |
| 211 | Iran | 14.00 | 2011 |
| 212 | Iran | 14.00 | 2011 |
| 213 | Iran | 14.00 | 2011 |
| 214 | Kuwait | 14.00 | 2004 |
| 215 | Lebanon | 14.00 | 2011 |
| 216 | Lebanon | 14.00 | 2011 |
| 217 | Latvia | 14.00 | 2011 |
| 218 | Latvia | 14.00 | 2011 |
| 219 | Slovakia | 14.00 | 2011 |
| 220 | Liechtenstein | 14.00 | 2011 |
| 221 | Luxembourg | 14.00 | 2010 |
| 222 | Luxembourg | 14.00 | 2010 |
| 223 | Luxembourg | 14.00 | 2010 |
| 224 | Macau | 14.00 | 2008 |
| 225 | Macau | 14.00 | 2008 |
| 226 | Macau | 14.00 | 2008 |
| 227 | Mongolia | 14.00 | 2011 |
| 228 | Mongolia | 14.00 | 2011 |
| 229 | Montserrat | 14.00 | 2007 |
| 230 | Macedonia | 14.00 | 2010 |
| 231 | Mauritius | 14.00 | 2008 |
| 232 | Mauritius | 14.00 | 2008 |
| 233 | Oman | 14.00 | 2011 |
| 234 | Oman | 14.00 | 2011 |
| 235 | Oman | 14.00 | 2011 |
| 236 | Mexico | 14.00 | 2011 |
| 237 | Mexico | 14.00 | 2011 |
| 238 | Mexico | 14.00 | 2011 |
| 239 | Panama | 14.00 | 2010 |
| 240 | Palau | 14.00 | 2001 |
