CIA - The World Factbook --  School life expectancy (primary to tertiary education)   

School life expectancy (SLE) is the total number of years of schooling (primary to tertiary) that a child can expect to receive, assuming that the probability of his or her being enrolled in school at any particular future age is equal to the current enrollment ratio at that age. Caution must be maintained when utilizing this indicator in international comparisons. For example, a year or grade completed in one country is not necessarily the same in terms of educational content or quality as a year or grade completed in another country. SLE represents the expected number of years of schooling that will be completed, including years spent repeating one or more grades.

| Rank | country | (years) | Date of Information |
| --- | --- | --- | --- |
| 1 | Australia | 21.00 | 2008 |
| 2 | Australia | 21.00 | 2008 |
| 3 | Australia | 20.00 | 2008 |
| 4 | New Zealand | 20.00 | 2008 |
| 5 | Iceland | 20.00 | 2008 |
| 6 | Cuba | 19.00 | 2009 |
| 7 | New Zealand | 19.00 | 2008 |
| 8 | New Zealand | 19.00 | 2008 |
| 9 | Cuba | 18.00 | 2009 |
| 10 | Denmark | 18.00 | 2008 |
| 11 | Ireland | 18.00 | 2008 |
| 12 | Ireland | 18.00 | 2008 |
| 13 | Ireland | 18.00 | 2008 |
| 14 | Slovenia | 18.00 | 2008 |
| 15 | Iceland | 18.00 | 2008 |
| 16 | Korea, South | 18.00 | 2008 |
| 17 | Monaco | 18.00 | 2009 |
| 18 | Monaco | 18.00 | 2009 |
| 19 | Norway | 18.00 | 2008 |
| 20 | Finland | 18.00 | 2008 |
| 21 | Argentina | 17.00 | 2007 |
| 22 | Uruguay | 17.00 | 2008 |
| 23 | Canada | 17.00 | 2004 |
| 24 | Canada | 17.00 | 2004 |
| 25 | Denmark | 17.00 | 2008 |
| 26 | Estonia | 17.00 | 2008 |
| 27 | Finland | 17.00 | 2008 |
| 28 | Greece | 17.00 | 2007 |
| 29 | Greece | 17.00 | 2007 |
| 30 | Iceland | 17.00 | 2008 |
| 31 | Italy | 17.00 | 2008 |
| 32 | Korea, South | 17.00 | 2008 |
| 33 | Latvia | 17.00 | 2008 |
| 34 | Lithuania | 17.00 | 2008 |
| 35 | Libya | 17.00 | 2003 |
| 36 | Libya | 17.00 | 2003 |
| 37 | Montserrat | 17.00 | 2007 |
| 38 | Monaco | 17.00 | 2009 |
| 39 | Netherlands | 17.00 | 2008 |
| 40 | Netherlands | 17.00 | 2008 |
| 41 | Netherlands | 17.00 | 2008 |
| 42 | Norway | 17.00 | 2008 |
| 43 | Norway | 17.00 | 2008 |
| 44 | Slovenia | 17.00 | 2008 |
| 45 | Spain | 17.00 | 2008 |
| 46 | United Kingdom | 17.00 | 2008 |
| 47 | United States | 17.00 | 2008 |
| 48 | Canada | 17.00 | 2004 |
| 49 | Argentina | 16.00 | 2007 |
| 50 | British Virgin Islands | 16.00 | 2009 |
| 51 | Belgium | 16.00 | 2008 |
| 52 | Belgium | 16.00 | 2008 |
| 53 | Cuba | 16.00 | 2009 |
| 54 | Denmark | 16.00 | 2008 |
| 55 | Estonia | 16.00 | 2008 |
| 56 | Czech Republic | 16.00 | 2008 |
| 57 | Finland | 16.00 | 2008 |
| 58 | France | 16.00 | 2008 |
| 59 | France | 16.00 | 2008 |
| 60 | France | 16.00 | 2008 |
| 61 | Grenada | 16.00 | 2009 |
| 62 | Grenada | 16.00 | 2009 |
| 63 | Germany | 16.00 | 2006 |
| 64 | Germany | 16.00 | 2006 |
| 65 | Germany | 16.00 | 2006 |
| 66 | Greece | 16.00 | 2007 |
| 67 | Hong Kong | 16.00 | 2009 |
| 68 | Hong Kong | 16.00 | 2009 |
| 69 | Hungary | 16.00 | 2008 |
| 70 | Israel | 16.00 | 2008 |
| 71 | Italy | 16.00 | 2008 |
| 72 | Italy | 16.00 | 2008 |
| 73 | Korea, South | 16.00 | 2008 |
