CIA - The World Factbook --  Hospital bed density   

This entry provides the number of hospital beds per 1,000 people; it serves as a general measure of inpatient service availability. Hospital beds include inpatient beds available in public, private, general, and specialized hospitals and rehabilitation centers. In most cases, beds for both acute and chronic care are included. Because the level of inpatient services required for individual countries depends on several factors - such as demographic issues and the burden of disease - there is no global target for the number of hospital beds per country. So, while 2 beds per 1,000 in one country may be sufficient, 2 beds per 1,000 in another may be woefully inadequate because of the amount of people hospitalized by disease.

| Rank | country | (beds/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Japan | 13.75 | 2008 |
| 2 | Korea, North | 13.20 | 2002 |
| 3 | Korea, South | 12.28 | 2008 |
| 4 | Belarus | 11.23 | 2007 |
| 5 | Russia | 9.66 | 2006 |
| 6 | Ukraine | 8.73 | 2006 |
| 7 | Germany | 8.17 | 2008 |
| 8 | Azerbaijan | 7.93 | 2007 |
| 9 | Austria | 7.71 | 2008 |
| 10 | Barbados | 7.60 | 2008 |
| 11 | Kazakhstan | 7.60 | 2009 |
| 12 | Czech Republic | 7.18 | 2008 |
| 13 | France | 7.11 | 2008 |
| 14 | Hungary | 7.04 | 2008 |
| 15 | Lithuania | 6.84 | 2008 |
| 16 | Poland | 6.62 | 2008 |
| 17 | Belgium | 6.60 | 2009 |
| 18 | Slovakia | 6.56 | 2008 |
| 19 | Romania | 6.54 | 2006 |
| 20 | Finland | 6.52 | 2008 |
| 21 | Bulgaria | 6.49 | 2008 |
| 22 | Latvia | 6.42 | 2009 |
| 23 | New Zealand | 6.18 | 2002 |
| 24 | Moldova | 6.12 | 2007 |
| 25 | Saint Kitts and Nevis | 6.00 | 2009 |
| 26 | Cuba | 5.90 | 2009 |
| 27 | Mongolia | 5.89 | 2009 |
| 28 | Israel | 5.83 | 2007 |
| 29 | Iceland | 5.79 | 2007 |
| 30 | Estonia | 5.71 | 2008 |
| 31 | Luxembourg | 5.57 | 2008 |
| 32 | Tuvalu | 5.56 | 2001 |
| 33 | Croatia | 5.49 | 2007 |
| 34 | Tajikistan | 5.41 | 2008 |
| 35 | Serbia | 5.40 | 2007 |
| 36 | Switzerland | 5.31 | 2008 |
| 37 | Ireland | 5.17 | 2007 |
| 38 | Kyrgyzstan | 5.06 | 2007 |
| 39 | Nepal | 5.00 | 2006 |
| 40 | Palau | 4.90 | 2009 |
| 41 | Malta | 4.88 | 2009 |
| 42 | Uzbekistan | 4.83 | 2007 |
| 43 | Greece | 4.77 | 2008 |
| 44 | Slovenia | 4.70 | 2008 |
| 45 | Macedonia | 4.63 | 2006 |
| 46 | Netherlands | 4.25 | 2008 |
| 47 | Armenia | 4.07 | 2007 |
| 48 | China | 4.06 | 2009 |
| 49 | Turkmenistan | 4.06 | 2007 |
| 50 | Argentina | 4.00 | 2005 |
| 51 | Montenegro | 3.98 | 2007 |
| 52 | Seychelles | 3.94 | 2009 |
| 53 | Australia | 3.82 | 2009 |
| 54 | Dominica | 3.80 | 2009 |
| 55 | Cyprus | 3.72 | 2006 |
| 56 | Libya | 3.70 | 2009 |
| 57 | Italy | 3.70 | 2008 |
| 58 | Denmark | 3.57 | 2008 |
| 59 | Norway | 3.52 | 2008 |
| 60 | Lebanon | 3.50 | 2009 |
| 61 | Canada | 3.40 | 2008 |
| 62 | United Kingdom | 3.38 | 2008 |
| 63 | Portugal | 3.37 | 2008 |
| 64 | Mauritius | 3.33 | 2008 |
| 65 | Georgia | 3.32 | 2007 |
| 66 | Spain | 3.22 | 2008 |
| 67 | Micronesia, Federated States of | 3.22 | 2009 |
| 68 | Sao Tome and Principe | 3.20 | 2006 |
| 69 | Singapore | 3.14 | 2008 |
| 70 | Suriname | 3.10 | 2007 |
