CIA - The World Factbook --  GDP (official exchange rate)   

This entry gives the gross domestic product (GDP) or value of all final goods and services produced within a nation in a given year. A nation's GDP at official exchange rates (OER) is the home-currency-denominated annual GDP figure divided by the bilateral average US exchange rate with that country in that year. The measure is simple to compute and gives a precise measure of the value of output. Many economists prefer this measure when gauging the economic power an economy maintains vis-à-vis its neighbors, judging that an exchange rate captures the purchasing power a nation enjoys in the international marketplace. Official exchange rates, however, can be artificially fixed and/or subject to manipulation - resulting in claims of the country having an under- or over-valued currency - and are not necessarily the equivalent of a market-determined exchange rate. Moreover, even if the official exchange rate is market-determined, market exchange rates are frequently established by a relatively small set of goods and services (the ones the country trades) and may not capture the value of the larger set of goods the country produces. Furthermore, OER-converted GDP is not well suited to comparing domestic GDP over time, since appreciation/depreciation from one year to the next will make the OER GDP value rise/fall regardless of whether home-currency-denominated GDP changed.

| Rank | country | GDP (official exchange rate) | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 15,900,000,000,000 | 2010 est. |
| 2 | United States | $ 14,620,000,000,000 | 2010 est. |
| 3 | China | $ 5,745,000,000,000 | 2010 est. |
| 4 | Japan | $ 5,391,000,000,000 | 2010 est. |
| 5 | Germany | $ 3,306,000,000,000 | 2010 est. |
| 6 | France | $ 2,555,000,000,000 | 2010 est. |
| 7 | United Kingdom | $ 2,259,000,000,000 | 2010 est. |
| 8 | Italy | $ 2,037,000,000,000 | 2010 est. |
| 9 | Brazil | $ 2,024,000,000,000 | 2010 est. |
| 10 | Canada | $ 1,564,000,000,000 | 2010 est. |
| 11 | Russia | $ 1,477,000,000,000 | 2010 est. |
| 12 | India | $ 1,430,000,000,000 | 2010 est. |
| 13 | Spain | $ 1,375,000,000,000 | 2010 est. |
| 14 | Australia | $ 1,220,000,000,000 | 2010 est. |
| 15 | Mexico | $ 1,004,000,000,000 | 2010 est. |
| 16 | Korea, South | $ 986,300,000,000 | 2010 est. |
| 17 | Netherlands | $ 770,300,000,000 | 2010 est. |
| 18 | Turkey | $ 729,100,000,000 | 2010 est. |
| 19 | Indonesia | $ 695,100,000,000 | 2010 est. |
| 20 | Switzerland | $ 522,400,000,000 | 2010 est. |
| 21 | Belgium | $ 461,300,000,000 | 2010 est. |
| 22 | Sweden | $ 444,600,000,000 | 2010 est. |
| 23 | Poland | $ 438,900,000,000 | 2010 est. |
| 24 | Saudi Arabia | $ 434,400,000,000 | 2010 est. |
| 25 | Taiwan | $ 427,000,000,000 | 2010 est. |
| 26 | Norway | $ 413,500,000,000 | 2010 est. |
| 27 | Austria | $ 366,300,000,000 | 2010 est. |
| 28 | South Africa | $ 354,400,000,000 | 2010 est. |
| 29 | Argentina | $ 351,000,000,000 | 2010 est. |
| 30 | Iran | $ 337,900,000,000 | 2010 est. |
| 31 | Thailand | $ 312,600,000,000 | 2010 est. |
| 32 | Denmark | $ 304,600,000,000 | 2010 est. |
| 33 | Greece | $ 302,000,000,000 | 2010 est. |
| 34 | Venezuela | $ 285,200,000,000 | 2010 est. |
| 35 | Colombia | $ 283,100,000,000 | 2010 est. |
| 36 | United Arab Emirates | $ 239,700,000,000 | 2010 est. |
| 37 | Finland | $ 232,000,000,000 | 2010 est. |
| 38 | Hong Kong | $ 226,500,000,000 | 2010 est. |
| 39 | Portugal | $ 223,700,000,000 | 2010 est. |
| 40 | Malaysia | $ 219,000,000,000 | 2010 est. |
| 41 | Singapore | $ 217,400,000,000 | 2010 est. |
| 42 | Egypt | $ 216,800,000,000 | 2010 est. |
| 43 | Nigeria | $ 206,700,000,000 | 2010 est. |
| 44 | Ireland | $ 204,100,000,000 | 2010 est. |
| 45 | Israel | $ 201,300,000,000 | 2010 est. |
| 46 | Chile | $ 199,200,000,000 | 2010 est. |
| 47 | Czech Republic | $ 195,200,000,000 | 2010 est. |
| 48 | Philippines | $ 189,100,000,000 | 2010 est. |
| 49 | Pakistan | $ 174,800,000,000 | 2010 est. |
| 50 | Algeria | $ 159,000,000,000 | 2010 est. |
| 51 | Romania | $ 158,400,000,000 | 2010 est. |
| 52 | Peru | $ 153,500,000,000 | 2010 est. |
| 53 | New Zealand | $ 138,000,000,000 | 2010 est. |
| 54 | Ukraine | $ 136,600,000,000 | 2010 est. |
| 55 | Hungary | $ 132,300,000,000 | 2010 est. |
| 56 | Kazakhstan | $ 129,800,000,000 | 2010 est. |
| 57 | Qatar | $ 126,500,000,000 | 2010 est. |
| 58 | Kuwait | $ 117,300,000,000 | 2010 est. |
| 59 | Bangladesh | $ 105,400,000,000 | 2010 est. |
| 60 | Vietnam | $ 102,000,000,000 | 2010 est. |
| 61 | Puerto Rico | $ 93,520,000,000 | 2010 est. |
| 62 | Morocco | $ 91,700,000,000 | 2010 est. |
| 63 | Slovakia | $ 86,260,000,000 | 2010 est. |
| 64 | Angola | $ 85,810,000,000 | 2010 est. |
| 65 | Iraq | $ 84,140,000,000 | 2010 est. |
| 66 | Libya | $ 77,910,000,000 | 2010 est. |
| 67 | Sudan | $ 65,930,000,000 | 2010 est. |
| 68 | Ecuador | $ 61,490,000,000 | 2010 est. |
| 69 | Croatia | $ 59,920,000,000 | 2010 est. |
| 70 | Syria | $ 59,630,000,000 | 2010 est. |
| 71 | Cuba | $ 57,490,000,000 | 2010 est. |
| 72 | Oman | $ 53,780,000,000 | 2010 est. |
| 73 | Belarus | $ 52,890,000,000 | 2010 est. |
| 74 | Luxembourg | $ 52,430,000,000 | 2010 est. |
| 75 | Azerbaijan | $ 52,170,000,000 | 2010 est. |
| 76 | Dominican Republic | $ 50,870,000,000 | 2010 est. |
| 77 | Sri Lanka | $ 48,240,000,000 | 2010 est. |
| 78 | Slovenia | $ 46,440,000,000 | 2010 est. |
| 79 | Bulgaria | $ 44,840,000,000 | 2010 est. |
| 80 | Tunisia | $ 43,860,000,000 | 2010 est. |
| 81 | Guatemala | $ 40,770,000,000 | 2010 est. |
| 82 | Uruguay | $ 40,710,000,000 | 2010 est. |
| 83 | Lebanon | $ 39,150,000,000 | 2010 est. |
| 84 | Serbia | $ 38,920,000,000 | 2010 est. |
| 85 | Uzbekistan | $ 37,720,000,000 | 2010 est. |
| 86 | Lithuania | $ 35,730,000,000 | 2010 est. |
| 87 | Burma | $ 35,650,000,000 | 2010 est. |
| 88 | Costa Rica | $ 35,020,000,000 | 2010 est. |
| 89 | Kenya | $ 32,420,000,000 | 2010 est. |
| 90 | Ethiopia | $ 30,940,000,000 | 2010 est. |
| 91 | Yemen | $ 30,020,000,000 | 2010 est. |
| 92 | Korea, North | $ 28,000,000,000 | 2009 est. |
| 93 | Turkmenistan | $ 27,960,000,000 | 2010 est. |
| 94 | Panama | $ 27,200,000,000 | 2010 est. |
| 95 | Jordan | $ 27,130,000,000 | 2010 est. |
| 96 | Latvia | $ 23,390,000,000 | 2010 est. |
| 97 | Cyprus | $ 22,750,000,000 | 2010 est. |
| 98 | Tanzania | $ 22,430,000,000 | 2010 est. |
| 99 | Cote d'Ivoire | $ 22,380,000,000 | 2010 est. |
| 100 | Macau | $ 22,100,000,000 | 2009 est. |
| 101 | Cameroon | $ 21,880,000,000 | 2010 est. |
| 102 | El Salvador | $ 21,800,000,000 | 2010 est. |
