CIA - The World Factbook --  GDP (official exchange rate)   

This entry gives the gross domestic product (GDP) or value of all final goods and services produced within a nation in a given year. A nation's GDP at official exchange rates (OER) is the home-currency-denominated annual GDP figure divided by the bilateral average US exchange rate with that country in that year. The measure is simple to compute and gives a precise measure of the value of output. Many economists prefer this measure when gauging the economic power an economy maintains vis-Ã -vis its neighbors, judging that an exchange rate captures the purchasing power a nation enjoys in the international marketplace. Official exchange rates, however, can be artificially fixed and/or subject to manipulation - resulting in claims of the country having an under- or over-valued currency - and are not necessarily the equivalent of a market-determined exchange rate. Moreover, even if the official exchange rate is market-determined, market exchange rates are frequently established by a relatively small set of goods and services (the ones the country trades) and may not capture the value of the larger set of goods the country produces. Furthermore, OER-converted GDP is not well suited to comparing domestic GDP over time, since appreciation/depreciation from one year to the next will make the OER GDP value rise/fall regardless of whether home-currency-denominated GDP changed.

| Rank | country | GDP (official exchange rate) | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 16,190,000,000,000 | 2012 est. |
| 2 | United States | $ 15,650,000,000,000 | 2012 est. |
| 3 | China | $ 8,250,000,000,000 | 2012 est. |
| 4 | Japan | $ 5,984,000,000,000 | 2012 est. |
| 5 | Germany | $ 3,367,000,000,000 | 2012 est. |
| 6 | France | $ 2,580,000,000,000 | 2012 est. |
| 7 | United Kingdom | $ 2,434,000,000,000 | 2012 est. |
| 8 | Brazil | $ 2,425,000,000,000 | 2012 est. |
| 9 | Italy | $ 1,980,000,000,000 | 2012 est. |
| 10 | Russia | $ 1,954,000,000,000 | 2012 est. |
| 11 | India | $ 1,947,000,000,000 | 2012 est. |
| 12 | Canada | $ 1,770,000,000,000 | 2012 est. |
| 13 | Australia | $ 1,542,000,000,000 | 2012 est. |
| 14 | Spain | $ 1,340,000,000,000 | 2012 est. |
| 15 | Mexico | $ 1,163,000,000,000 | 2012 est. |
| 16 | Korea, South | $ 1,151,000,000,000 | 2012 est. |
| 17 | Indonesia | $ 894,900,000,000 | 2012 est. |
| 18 | Turkey | $ 783,100,000,000 | 2012 est. |
| 19 | Netherlands | $ 770,200,000,000 | 2012 est. |
| 20 | Saudi Arabia | $ 657,000,000,000 | 2012 est. |
| 21 | Switzerland | $ 622,900,000,000 | 2012 est. |
| 22 | Sweden | $ 520,300,000,000 | 2012 est. |
| 23 | Norway | $ 499,800,000,000 | 2012 est. |
| 24 | Iran | $ 483,800,000,000 | 2012 est. |
| 25 | Belgium | $ 476,800,000,000 | 2012 est. |
| 26 | Argentina | $ 474,800,000,000 | 2012 est. |
| 27 | Poland | $ 470,400,000,000 | 2012 est. |
| 28 | Taiwan | $ 466,100,000,000 | 2012 est. |
| 29 | Austria | $ 391,500,000,000 | 2012 est. |
| 30 | South Africa | $ 390,900,000,000 | 2012 est. |
| 31 | Thailand | $ 377,000,000,000 | 2012 est. |
| 32 | Colombia | $ 365,400,000,000 | 2012 est. |
| 33 | United Arab Emirates | $ 361,900,000,000 | 2012 est. |
| 34 | Venezuela | $ 338,000,000,000 | 2012 est. |
| 35 | Denmark | $ 309,200,000,000 | 2012 est. |
| 36 | Malaysia | $ 307,200,000,000 | 2012 est. |
| 37 | Nigeria | $ 272,600,000,000 | 2012 est. |
| 38 | Chile | $ 268,300,000,000 | 2012 est. |
| 39 | Singapore | $ 267,900,000,000 | 2012 est. |
| 40 | Hong Kong | $ 258,000,000,000 | 2012 est. |
| 41 | Egypt | $ 255,000,000,000 | 2012 est. |
| 42 | Greece | $ 255,000,000,000 | 2012 est. |
| 43 | Finland | $ 247,200,000,000 | 2012 est. |
| 44 | Israel | $ 246,800,000,000 | 2012 est. |
| 45 | Philippines | $ 240,700,000,000 | 2012 est. |
| 46 | Pakistan | $ 230,500,000,000 | 2012 est. |
| 47 | Portugal | $ 210,600,000,000 | 2012 est. |
| 48 | Algeria | $ 206,500,000,000 | 2012 est. |
| 49 | Ireland | $ 204,700,000,000 | 2012 est. |
| 50 | Kazakhstan | $ 200,600,000,000 | 2012 est. |
| 51 | Peru | $ 200,300,000,000 | 2012 est. |
| 52 | Czech Republic | $ 193,500,000,000 | 2012 est. |
| 53 | Qatar | $ 184,600,000,000 | 2012 est. |
| 54 | Ukraine | $ 180,200,000,000 | 2012 est. |
| 55 | Kuwait | $ 174,600,000,000 | 2012 est. |
| 56 | Romania | $ 171,400,000,000 | 2012 est. |
| 57 | New Zealand | $ 166,900,000,000 | 2012 est. |
| 58 | Vietnam | $ 137,700,000,000 | 2012 est. |
| 59 | Iraq | $ 130,600,000,000 | 2012 est. |
| 60 | Hungary | $ 128,800,000,000 | 2012 est. |
| 61 | Bangladesh | $ 118,700,000,000 | 2012 est. |
| 62 | Angola | $ 114,800,000,000 | 2012 est. |
| 63 | Morocco | $ 97,170,000,000 | 2012 est. |
| 64 | Puerto Rico | $ 93,520,000,000 | 2010 est. |
| 65 | Slovakia | $ 91,190,000,000 | 2012 est. |
| 66 | Libya | $ 85,110,000,000 | 2012 est. |
| 67 | Oman | $ 79,970,000,000 | 2012 est. |
| 68 | Azerbaijan | $ 71,040,000,000 | 2012 est. |
| 69 | Ecuador | $ 70,840,000,000 | 2012 est. |
| 70 | Syria | $ 64,700,000,000 | 2011 est. |
| 71 | Sri Lanka | $ 59,770,000,000 | 2012 est. |
| 72 | Dominican Republic | $ 59,130,000,000 | 2012 est. |
| 73 | Belarus | $ 58,220,000,000 | 2012 est. |
| 74 | Croatia | $ 57,490,000,000 | 2012 est. |
| 75 | Cuba | $ 57,490,000,000 | 2010 est. |
| 76 | Luxembourg | $ 55,290,000,000 | 2012 est. |
| 77 | Burma | $ 54,050,000,000 | 2012 est. |
| 78 | Uzbekistan | $ 51,620,000,000 | 2012 est. |
| 79 | Sudan | $ 51,580,000,000 | 2012 est. |
| 80 | Bulgaria | $ 50,810,000,000 | 2012 est. |
| 81 | Guatemala | $ 50,300,000,000 | 2012 est. |
| 82 | Uruguay | $ 49,720,000,000 | 2012 est. |
| 83 | Slovenia | $ 45,420,000,000 | 2012 est. |
| 84 | Costa Rica | $ 44,880,000,000 | 2012 est. |
| 85 | Tunisia | $ 44,700,000,000 | 2012 est. |
| 86 | Ethiopia | $ 41,890,000,000 | 2012 est. |
| 87 | Kenya | $ 41,840,000,000 | 2012 est. |
