CIA - The World Factbook --  GDP (official exchange rate)   

This entry gives the gross domestic product (GDP) or value of all final goods and services produced within a nation in a given year. A nation's GDP at official exchange rates (OER) is the home-currency-denominated annual GDP figure divided by the bilateral average US exchange rate with that country in that year. The measure is simple to compute and gives a precise measure of the value of output. Many economists prefer this measure when gauging the economic power an economy maintains vis-à-vis its neighbors, judging that an exchange rate captures the purchasing power a nation enjoys in the international marketplace. Official exchange rates, however, can be artificially fixed and/or subject to manipulation - resulting in claims of the country having an under- or over-valued currency - and are not necessarily the equivalent of a market-determined exchange rate. Moreover, even if the official exchange rate is market-determined, market exchange rates are frequently established by a relatively small set of goods and services (the ones the country trades) and may not capture the value of the larger set of goods the country produces. Furthermore, OER-converted GDP is not well suited to comparing domestic GDP over time, since appreciation/depreciation from one year to the next will make the OER GDP value rise/fall regardless of whether home-currency-denominated GDP changed.

| Rank | country | GDP (official exchange rate) | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 18,140,000,000,000 | 2008 est. |
| 2 | United States | $ 14,440,000,000,000 | 2008 est. |
| 3 | Japan | $ 4,911,000,000,000 | 2008 est. |
| 4 | China | $ 4,327,000,000,000 | 2008 est. |
| 5 | Germany | $ 3,673,000,000,000 | 2008 est. |
| 6 | France | $ 2,867,000,000,000 | 2008 est. |
| 7 | United Kingdom | $ 2,680,000,000,000 | 2008 est. |
| 8 | Italy | $ 2,314,000,000,000 | 2008 est. |
| 9 | Russia | $ 1,677,000,000,000 | 2008 est. |
| 10 | Spain | $ 1,602,000,000,000 | 2008 est. |
| 11 | Brazil | $ 1,573,000,000,000 | 2008 est. |
| 12 | Canada | $ 1,500,000,000,000 | 2008 est. |
| 13 | India | $ 1,207,000,000,000 | 2008 est. |
| 14 | Mexico | $ 1,088,000,000,000 | 2008 est. |
| 15 | Australia | $ 1,013,000,000,000 | 2008 est. |
| 16 | Korea, South | $ 929,100,000,000 | 2008 est. |
| 17 | Netherlands | $ 877,000,000,000 | 2008 est. |
| 18 | Turkey | $ 730,000,000,000 | 2008 est. |
| 19 | Poland | $ 527,900,000,000 | 2008 est. |
| 20 | Indonesia | $ 511,800,000,000 | 2008 est. |
| 21 | Belgium | $ 506,200,000,000 | 2008 |
| 22 | Switzerland | $ 500,300,000,000 | 2008 est. |
| 23 | Sweden | $ 479,000,000,000 | 2008 est. |
| 24 | Saudi Arabia | $ 469,400,000,000 | 2008 est. |
| 25 | Norway | $ 451,800,000,000 | 2008 est. |
| 26 | Austria | $ 414,800,000,000 | 2008 est. |
| 27 | Taiwan | $ 391,400,000,000 | 2008 est. |
| 28 | Greece | $ 357,500,000,000 | 2008 est. |
| 29 | Denmark | $ 340,000,000,000 | 2008 est. |
| 30 | Iran | $ 335,200,000,000 | 2008 est. |
| 31 | Argentina | $ 324,800,000,000 | 2008 est. |
| 32 | Venezuela | $ 319,400,000,000 | 2008 est. |
| 33 | South Africa | $ 276,800,000,000 | 2008 est. |
| 34 | Thailand | $ 273,300,000,000 | 2008 est. |
| 35 | Finland | $ 271,900,000,000 | 2008 est. |
| 36 | Ireland | $ 267,600,000,000 | 2008 est. |
| 37 | United Arab Emirates | $ 262,200,000,000 | 2008 est. |
| 38 | Portugal | $ 244,600,000,000 | 2008 est. |
| 39 | Colombia | $ 240,800,000,000 | 2008 est. |
| 40 | Malaysia | $ 221,600,000,000 | 2008 est. |
