CIA - The World Factbook --  GDP (official exchange rate)   

This entry gives the gross domestic product (GDP) or value of all final goods and services produced within a nation in a given year. A nation's GDP at official exchange rates (OER) is the home-currency-denominated annual GDP figure divided by the bilateral average US exchange rate with that country in that year. The measure is simple to compute and gives a precise measure of the value of output. Many economists prefer this measure when gauging the economic power an economy maintains vis-?-vis its neighbors, judging that an exchange rate captures the purchasing power a nation enjoys in the international marketplace. Official exchange rates, however, can be artificially fixed and/or subject to manipulation - resulting in claims of the country having an under- or over-valued currency - and are not necessarily the equivalent of a market-determined exchange rate. Moreover, even if the official exchange rate is market-determined, market exchange rates are frequently established by a relatively small set of goods and services (the ones the country trades) and may not capture the value of the larger set of goods the country produces. Furthermore, OER-converted GDP is not well suited to comparing domestic GDP over time, since appreciation/depreciation from one year to the next will make the OER GDP value rise/fall regardless of whether home-currency-denominated GDP changed.

| Rank | country | GDP (official exchange rate) | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 16,070,000,000,000 | 2010 est. |
| 2 | United States | $ 14,660,000,000,000 | 2010 est. |
| 3 | China | $ 5,878,000,000,000 | 2010 est. |
| 4 | Japan | $ 5,459,000,000,000 | 2010 est. |
| 5 | Germany | $ 3,316,000,000,000 | 2010 est. |
| 6 | France | $ 2,583,000,000,000 | 2010 est. |
| 7 | United Kingdom | $ 2,247,000,000,000 | 2010 est. |
| 8 | Brazil | $ 2,090,000,000,000 | 2010 est. |
| 9 | Italy | $ 2,055,000,000,000 | 2010 est. |
| 10 | Canada | $ 1,574,000,000,000 | 2010 est. |
| 11 | India | $ 1,538,000,000,000 | 2010 est. |
| 12 | Russia | $ 1,465,000,000,000 | 2010 est. |
| 13 | Spain | $ 1,410,000,000,000 | 2010 est. |
| 14 | Australia | $ 1,236,000,000,000 | 2010 est. |
| 15 | Mexico | $ 1,039,000,000,000 | 2010 est. |
| 16 | Korea, South | $ 1,007,000,000,000 | 2010 est. |
| 17 | Netherlands | $ 783,300,000,000 | 2010 est. |
| 18 | Turkey | $ 741,900,000,000 | 2010 est. |
| 19 | Indonesia | $ 706,700,000,000 | 2010 est. |
| 20 | Switzerland | $ 523,800,000,000 | 2010 est. |
| 21 | Poland | $ 468,500,000,000 | 2010 est. |
| 22 | Belgium | $ 465,700,000,000 | 2010 est. |
| 23 | Sweden | $ 455,800,000,000 | 2010 est. |
| 24 | Saudi Arabia | $ 443,700,000,000 | 2010 est. |
| 25 | Taiwan | $ 430,600,000,000 | 2010 est. |
| 26 | Norway | $ 414,500,000,000 | 2010 est. |
| 27 | Austria | $ 376,800,000,000 | 2010 est. |
| 28 | Argentina | $ 370,300,000,000 | 2010 est. |
| 29 | South Africa | $ 357,300,000,000 | 2010 est. |
| 30 | Iran | $ 357,200,000,000 | 2010 est. |
| 31 | Thailand | $ 318,900,000,000 | 2010 est. |
| 32 | Denmark | $ 310,800,000,000 | 2010 est. |
| 33 | Greece | $ 305,400,000,000 | 2010 est. |
| 34 | United Arab Emirates | $ 301,900,000,000 | 2010 est. |
| 35 | Venezuela | $ 290,700,000,000 | 2010 est. |
| 36 | Colombia | $ 285,500,000,000 | 2010 est. |
| 37 | Finland | $ 239,200,000,000 | 2010 est. |
| 38 | Malaysia | $ 238,000,000,000 | 2010 est. |
| 39 | Portugal | $ 229,300,000,000 | 2010 est. |
| 40 | Hong Kong | $ 225,000,000,000 | 2010 est. |
| 41 | Singapore | $ 222,700,000,000 | 2010 est. |
| 42 | Egypt | $ 218,500,000,000 | 2010 est. |
| 43 | Nigeria | $ 216,800,000,000 | 2010 est. |
| 44 | Israel | $ 213,100,000,000 | 2010 est. |
| 45 | Ireland | $ 204,300,000,000 | 2010 est. |
| 46 | Chile | $ 203,300,000,000 | 2010 est. |
| 47 | Czech Republic | $ 192,200,000,000 | 2010 est. |
| 48 | Philippines | $ 188,700,000,000 | 2010 est. |
| 49 | Pakistan | $ 174,900,000,000 | 2010 est. |
| 50 | Romania | $ 161,600,000,000 | 2010 est. |
| 51 | Algeria | $ 160,300,000,000 | 2010 est. |
| 52 | Peru | $ 152,800,000,000 | 2010 est. |
| 53 | New Zealand | $ 140,400,000,000 | 2010 est. |
| 54 | Kazakhstan | $ 138,400,000,000 | 2010 est. |
| 55 | Ukraine | $ 136,400,000,000 | 2010 est. |
| 56 | Kuwait | $ 131,300,000,000 | 2010 est. |
| 57 | Qatar | $ 129,500,000,000 | 2010 est. |
| 58 | Hungary | $ 129,000,000,000 | 2010 est. |
| 59 | Bangladesh | $ 104,900,000,000 | 2010 est. |
| 60 | Vietnam | $ 103,600,000,000 | 2010 est. |
| 61 | Morocco | $ 103,500,000,000 | 2010 est. |
| 62 | Puerto Rico | $ 93,520,000,000 | 2010 est. |
