CIA - The World Factbook --  Budget surplus (+) or deficit (-)   

Budget surplus or deficit records the difference between national government revenues and expenditures, expressed as a percent of GDP. A positive (+) number indicates that revenues exceeded expenditures (a budget surplus), while a negative (-) number indicates the reverse (a budget deficit).

| Rank | country | (% of GDP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Kuwait | 29.20 | 2013 est. |
| 2 | Macau | 23.30 | 2013 est. |
| 3 | Congo, Republic of the | 14.00 | 2013 est. |
| 4 | Norway | 13.10 | 2013 est. |
| 5 | Brunei | 9.80 | 2013 est. |
| 6 | Qatar | 9.10 | 2013 est. |
| 7 | Saudi Arabia | 6.20 | 2013 est. |
| 8 | Malta | 5.50 | 2013 est. |
| 9 | United Arab Emirates | 5.00 | 2013 est. |
| 10 | Saint Kitts and Nevis | 4.80 | 2013 est. |
| 11 | Saint Pierre and Miquelon | 4.60 | 1996 |
| 12 | French Polynesia | 3.90 | 1999 |
| 13 | Belize | 3.50 | 2013 est. |
| 14 | Angola | 3.40 | 2013 est. |
| 15 | Solomon Islands | 2.50 | 2013 est. |
| 16 | Montenegro | 2.20 | 2012 est. |
| 17 | Gibraltar | 2.10 | 2008 est. |
| 18 | Seychelles | 2.00 | 2013 est. |
| 19 | Greenland | 1.90 | 2010 |
| 20 | Hong Kong | 1.80 | 2013 est. |
| 21 | Brazil | 1.60 | 2013 est. |
| 22 | Micronesia, Federated States of | 1.50 | FY10/11 est. |
| 23 | Switzerland | 1.40 | 2013 est. |
| 24 | Singapore | 1.30 | 2013 est. |
| 25 | Guernsey | 1.20 | 2005 |
| 26 | Turkmenistan | 1.10 | 2013 est. |
| 27 | Cook Islands | 1.00 | FY05/06 |
| 28 | Bosnia and Herzegovina | 1.00 | 2013 est. |
| 29 | Peru | 1.00 | 2013 est. |
| 30 | Iraq | 0.90 | 2013 est. |
| 31 | Korea, South | 0.70 | 2013 est. |
| 32 | Botswana | 0.60 | 2013 est. |
| 33 | Isle of Man | 0.50 | FY05/06 est. |
| 34 | Azerbaijan | 0.50 | 2013 est. |
| 35 | Marshall Islands | 0.40 | FY09 est. |
| 36 | Comoros | 0.40 | 2013 est. |
| 37 | Colombia | 0.40 | 2012 est. |
| 38 | Vanuatu | 0.30 | 2013 est. |
| 39 | Equatorial Guinea | 0.20 | 2013 est. |
| 40 | Bolivia | 0.10 | 2013 est. |
| 41 | Germany | 0.10 | 2013 est. |
| 42 | Poland | 0.00 | 2013 est. |
| 43 | Tajikistan | 0.00 | 2013 est. |
| 44 | British Virgin Islands | 0.00 | 2013 est. |
| 45 | Saint Vincent and the Grenadines | 0.00 | 2013 est. |
| 46 | Tonga | 0.00 | 2012 est. |
| 47 | Latvia | -0.20 | 2013 est. |
| 48 | Belarus | -0.20 | 2013 est. |
| 49 | Andorra | -0.30 | 2012 |
| 50 | Armenia | -0.30 | 2013 est. |
| 51 | Nicaragua | -0.30 | 2013 est. |
| 52 | Uzbekistan | -0.40 | 2013 est. |
| 53 | Jersey | -0.40 | 2005 |
