CIA - The World Factbook -- Field Listing - Central bank discount rate

| Country | Central bank discount rate (%) |
| --- | --- |
| **Afghanistan** | NA |
| **Albania** | 6.25% (31 December 2007) |
| **Algeria** | 4% (31 December 2007) |
| **Angola** | 19.57% (31 December 2007) |
| **Anguilla** | 6.5% (31 December 2007) |
| **Antigua and Barbuda** | 6.5% (31 December 2007) |
| **Argentina** | NA |
| **Aruba** | 5% (31 December 2007) |
| **Australia** | NA |
| **Azerbaijan** | 13% (31 December 2007) |
| **Bahamas, The** | 5.25% (31 December 2007) |
| **Bangladesh** | 5% (31 December 2007) |
| **Barbados** | 12% (31 December 2007) |
| **Belarus** | 10% (31 December 2007) |
| **Belize** | 12% (31 December 2007) |
| **Benin** | 4.25% (31 December 2007) |
| **Bolivia** | 6.5% (31 December 2007) |
| **Botswana** | 14.5% (31 December 2007) |
| **Brazil** | 17.85% (31 December 2007) |
| **Bulgaria** | 4.58% (31 December 2007) |
| **Burkina Faso** | 4.25% (31 December 2007) |
| **Burma** | 12% (31 December 2007) |
| **Burundi** | 10.12% (31 December 2007) |
| **Cambodia** | 5.25% (31 December 2007) |
| **Canada** | 4.5% (31 December 2007) |
| **Cape Verde** | 8.5% (31 December 2007) |
| **Central African Republic** | 5.25% (31 December 2007) |
| **Chad** | 5.25% (31 December 2007) |
| **Chile** | 6% (31 December 2007) |
| **China** | 3.33% (31 December 2007) |
| **Colombia** | 11.5% (31 December 2007) |
| **Comoros** | 5.36% (31 December 2007) |
| **Congo, Democratic Republic of the** | 5.25% (31 December 2007) |
| **Costa Rica** | 17% (31 December 2007) |
| **Cote d'Ivoire** | 4.25% (31 December 2007) |
| **Croatia** | 9% (31 December 2007) |
| **Cuba** | NA |
| **Cyprus** | 5% (31 December 2007) |
| **Czech Republic** | 3.5% (31 December 2007) |
| **Denmark** | 4% (31 December 2007) |
| **Dominica** | 6.5% (31 December 2007) |
| **Ecuador** | 10.72% (31 December 2007) |
| **Egypt** | 9% (31 December 2007) |
| **Equatorial Guinea** | 5.25% (31 December 2007) |
| **European Union** | 5% |
| | *note:* This is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks from the Eurosystem (31 December 2007) |
| **Fiji** | 9.25% (31 December 2007) |
| **France** | NA |
| **Gabon** | 5.25% (31 December 2007) |
| **Gambia, The** | 10% (31 December 2007) |
| **Germany** | NA |
| **Ghana** | 13.5% (31 December 2007) |
| **Greece** | NA |
| **Grenada** | 6.5% (31 December 2007) |
| **Guatemala** | NA (31 December 2007) |
| **Guinea** | 22.25% (31 December 2005) |
| **Guinea-Bissau** | 4.25% (31 December 2007) |
| **Guyana** | 6.5% (31 December 2007) |
| **Honduras** | NA (31 December 2007) |
| **Hong Kong** | 5.75% (31 December 2007) |
| **Hungary** | 7.5% (31 December 2007) |
| **Iceland** | 15.25% (31 December 2007) |
| **India** | 6% (31 December 2007) |
| **Indonesia** | 8% (31 December 2007) |
| **Iraq** | 20% (31 December 2007) |
| **Ireland** | NA |
| **Israel** | 4% (31 December 2007) |
| **Italy** | NA |
| **Jamaica** | NA (31 December 2007) |
| **Japan** | 0.75% (31 December 2007) |
| **Jordan** | 7% (31 December 2007) |
| **Kazakhstan** | 11% (31 December 2007) |
| **Korea, South** | 3.25% (31 December 2007) |
| **Kuwait** | 6.25% (31 December 2007) |
| **Laos** | 12.67% (31 December 2007) |
| **Latvia** | 6% (31 December 2007) |
| **Lebanon** | 12% (31 December 2007) |
| **Lesotho** | 12.82% (31 December 2007) |
| **Libya** | 4% (31 December 2007) |
| **Lithuania** | 4.85% (31 December 2007) |
| **Macedonia** | 6.5% (31 December 2007) |
| **Malawi** | 15% (31 December 2007) |
| **Maldives** | 12.5% (31 December 2007) |
| **Mali** | 4.25% (31 December 2007) |
| **Malta** | NA (31 December 2007) |
| **Mauritania** | NA |
| **Mexico** | NA |
| **Mongolia** | 9.87% (31 December 2007) |
| **Montserrat** | 6.5% (31 December 2007) |
| **Morocco** | 3.25% (31 December 2007) |
| **Mozambique** | 9.95% (31 December 2007) |
| **Namibia** | 10.5% (31 December 2007) |
| **Nepal** | 6.25% (31 December 2007) |
| **Netherlands** | NA (31 December 2007) |
| **Netherlands Antilles** | NA (31 December 2007) |
| **New Zealand** | 8.25% (31 December 2007) |
| **Nicaragua** | NA (31 December 2007) |
| **Niger** | 4.25% (31 December 2007) |
| **Nigeria** | 9.5% (31 December 2007) |
| **Norway** | 6.25% (31 December 2007) |
| **Oman** | 1.98% (31 December 2007) |
| **Pakistan** | 10% (31 December 2007) |
| **Papua New Guinea** | 7.38% (31 December 2007) |
| **Paraguay** | 20% (31 December 2007) |
| **Peru** | 5.75% (31 December 2007) |
| **Philippines** | 4.28% (31 December 2007) |
| **Poland** | 5% (31 December 2007) |
| **Qatar** | NA |
