Field Listing :: Terrorist group(s) :: The World Factbook

This entry provides a list of US State Department designated Foreign Terrorist Organizations (FTO) that are assessed to maintain a presence in each country.  This includes cases where sympathizers, supporters, or associates of designated FTOs have carried out attacks or been arrested by security forces for terrorist-type activities in the country. See Appendix T for details on each FTO.

| Country | Terrorist group(s) |
| --- | --- |
| **Afghanistan** | *Terrorist group(s):* Haqqani Taliban Network; Harakat ul-Mujahidin; Harakat ul-Jihad-i-Islami; Islamic Jihad Union; Islamic Movement of Uzbekistan; Islamic State of Iraq and ash-Sham-Khorasan Province; Islamic Revolutionary Guard Corps/Qods Force; Jaish-e-Mohammed; Jaysh al Adl (Jundallah); Lashkar i Jhangvi; Lashkar-e Tayyiba; al-Qaâ€™ida; al-Qa'ida in the Indian Subcontinent; Tehrik-e-Taliban Pakistan (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix T |
| **Albania** | *Terrorist group(s):* Islamic Revolutionary Guard Corps/Qods Force (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix T |
| **Algeria** | *Terrorist group(s):* al-Qa'ida in the Islamic Maghreb; Islamic State of Iraq and ash-Sham (ISIS) â€“ Algeria; al-Mulathamun Battalion (al-Mourabitoun) (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix T |
| **Australia** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Austria** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (ISIS) (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Azerbaijan** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Bahrain** | *Terrorist group(s):* al-Ashtar Brigades; Islamic Revolutionary Guard Corps/Qods Force (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Bangladesh** | *Terrorist group(s):* Harakat ul-Jihad-i-Islami/Bangladesh; Islamic State of Iraq and ash-Sham in Bangladesh; al-Qa'ida; al-Qa'ida in the Indian Subcontinent (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Belgium** | *Terrorist group(s):* Islamic Revolutionary Guard Corps/Qods Force; Islamic State of Iraq and ash-Sham (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Benin** | *Terrorist group(s):* al-Qaâ€™ida (Jamaâ€™at Nusrat al Islam wal Muslimeen); Islamic State in the Greater Sahara (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Bosnia and Herzegovina** | *Terrorist group(s):* Islamic Revolutionary Guard Corps/Qods Force (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Bulgaria** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham; Islamic Revolutionary Guard Corps/Qods Force (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Burkina Faso** | *Terrorist group(s):* Ansarul Islam; Islamic State of Iraq and ash-Sham in the Greater Sahara; al-Mulathamun Battalion (al-Mourabitoun); Jama'at Nusrat al-Islam wal-Muslimin (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Cameroon** | *Terrorist group(s):* Boko Haram; Islamic State of Iraq and ash-Sham â€“ West Africa (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Canada** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham (ISIS) (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Chad** | *Terrorist group(s):* Boko Haram; Islamic State of Iraq and ash-Sham â€“ West Africa (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Colombia** | *Terrorist group(s):* National Liberation Army; Revolutionary Armed Forces of Colombia (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Congo, Democratic Republic of the** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham â€“ Central Arica (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Cote d'Ivoire** | *Terrorist group(s):* al-Qa'ida in the Islamic Maghreb (2020) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
| **Denmark** | *Terrorist group(s):* Islamic State of Iraq and ash-Sham; Islamic Revolutionary Guard Corps/Qods Force (2019) |
| | *note:* details about the history, aims, leadership, organization, areas of operation, tactics, targets, weapons, size, and sources of support of the group(s) appear(s) in Appendix-T |
