CIA - The World Factbook --  Economic aid - recipient   

| Rank | country | Economic aid - recipient | Date of Information |
| --- | --- | --- | --- |
| 1 | Iraq | 21,650,000,000.00 | 2005 |
| 2 | Greece | 8,000,000,000.00 | NA |
| 3 | Nigeria | 6,437,000,000.00 | 2005 |
| 4 | Vietnam | 5,400,000,000.00 | 2007 |
| 5 | Afghanistan | 2,775,000,000.00 | 2005 |
| 6 | Indonesia | 2,524,000,000.00 | NA |
| 7 | Yemen | 2,300,000,000.00 | 2003-07 disbursements |
| 8 | Serbia | 2,000,000,000.00 | NA |
| 9 | Sudan | 1,829,000,000.00 | 2005 |
| 10 | Congo, Democratic Republic of the | 1,828,000,000.00 | 2005 |
| 11 | India | 1,724,000,000.00 | 2005 |
| 12 | Pakistan | 1,666,000,000.00 | 2005 |
| 13 | China | 1,641,000,000.00 | FY07 |
| 14 | Ethiopia | 1,600,000,000.00 | FY05/06 |
| 15 | Poland | 1,524,000,000.00 | 2004 |
| 16 | Tanzania | 1,505,000,000.00 | 2005 |
| 17 | Congo, Republic of the | 1,449,000,000.00 | 2005 |
| 18 | Gaza Strip | 1,400,000,000.00 | 2006 est. |
| 19 | West Bank | 1,400,000,000.00 | 2006 est. |
| 20 | Bangladesh | 1,321,000,000.00 | 2005 |
| 21 | Ghana | 1,316,000,000.00 | 2007 |
| 22 | Mozambique | 1,286,000,000.00 | 2005 |
| 23 | Uganda | 1,198,000,000.00 | 2005 |
| 24 | Sri Lanka | 1,189,000,000.00 | 2005 |
| 25 | Russia | 982,700,000.00 | NA |
| 26 | Bhutan | 941,200,000.00 | 2006 |
| 27 | Madagascar | 929,200,000.00 | 2005 |
| 28 | Egypt | 925,900,000.00 | 2005 |
| 29 | Romania | 914,300,000.00 | 2004 |
| 30 | Kenya | 768,300,000.00 | 2005 |
| 31 | Jordan | 752,000,000.00 | 2005 est. |
| 32 | Bulgaria | 742,000,000.00 | 2005-06 est. |
| 33 | South Africa | 700,000,000.00 | 2005 |
| 34 | Cambodia | 698,200,000.00 | 2007 |
| 35 | Mali | 691,500,000.00 | 2005 |
| 36 | Honduras | 680,800,000.00 | 2005 |
| 37 | Burkina Faso | 659,600,000.00 | 2005 |
| 38 | Morocco | 651,800,000.00 | 2005 |
| 39 | Bolivia | 582,900,000.00 | 2005 est. |
| 40 | French Polynesia | 579,800,000.00 | 2004 |
| 41 | Rwanda | 576,000,000.00 | 2005 |
| 42 | Malawi | 575,300,000.00 | 2005 |
| 43 | Bosnia and Herzegovina | 546,100,000.00 | 2005 est. |
| 44 | New Caledonia | 524,300,000.00 | 2004 |
| 45 | Niger | 515,400,000.00 | 2005 |
| 46 | Haiti | 515,000,000.00 | 2005 est. |
| 47 | Greenland | 512,000,000.00 | 2005 |
| 48 | Colombia | 511,100,000.00 | 2005 |
| 49 | Zambia | 504,000,000.00 | 2007 |
| 50 | Slovenia | 484,000,000.00 | 2004-06 |
| 51 | Senegal | 477,000,000.00 | 2007 est. |
| 52 | Nicaragua | 471,000,000.00 | 2006 est. |
| 53 | Turkey | 464,000,000.00 | 2005 |
| 54 | Philippines | 451,400,000.00 | 2006 |
| 55 | Angola | 441,800,000.00 | 2005 |
| 56 | Nepal | 427,900,000.00 | 2005 |
| 57 | Cameroon | 413,800,000.00 | 2005 |
| 58 | Ukraine | 409,600,000.00 | 2005 |
| 59 | Peru | 397,800,000.00 | 2005 |
| 60 | Chad | 379,800,000.00 | 2005 |
| 61 | Laos | 379,000,000.00 | 2006 est. |
| 62 | Tunisia | 376,500,000.00 | 2005 |
| 63 | Benin | 374,700,000.00 | 2006 |
| 64 | Korea, North | 372,000,000.00 | 2007 est. |
| 65 | Algeria | 370,600,000.00 | 2005 est. |
| 66 | Zimbabwe | 367,700,000.00 | 2005 est. |
| 67 | Burundi | 365,000,000.00 | 2005 |
| 68 | Eritrea | 355,200,000.00 | 2005 |
| 69 | Sierra Leone | 343,400,000.00 | 2005 est. |
| 70 | Kosovo | 324,000,000.00 | 2007 |
| 71 | Albania | 318,700,000.00 | 2005 est. |
| 72 | Georgia | 309,800,000.00 | 2005 est. |
| 73 | Hungary | 302,600,000.00 | 2004 |
| 74 | Czech Republic | 278,700,000.00 | 2004 |
| 75 | Kyrgyzstan | 268,500,000.00 | 2005 |
| 76 | El Salvador | 267,600,000.00 | 2005 |
| 77 | Papua New Guinea | 266,100,000.00 | 2005 |
| 78 | Guatemala | 253,600,000.00 | 2005 est. |
| 79 | Lithuania | 249,700,000.00 | 2004 |
| 80 | Tajikistan | 241,400,000.00 | 2005 |
| 81 | Israel | 240,000,000.00 | FY06 |
| 82 | Somalia | 236,400,000.00 | 2005 est. |
| 83 | Liberia | 236,200,000.00 | 2005 |
| 84 | Slovakia | 235,000,000.00 | 2004 |
| 85 | Macedonia | 230,300,000.00 | 2005 |
| 86 | Kazakhstan | 229,200,000.00 | 2005 |
| 87 | Azerbaijan | 223,400,000.00 | 2005 est. |
| 88 | Syria | 213,000,000.00 | 2008 est. |
| 89 | Ecuador | 209,500,000.00 | 2005 |
| 90 | Mayotte | 201,300,000.00 | 2005 |
| 91 | Solomon Islands | 198,200,000.00 | 2005 est. |
| 92 | Brazil | 191,900,000.00 | 2005 |
| 93 | Moldova | 191,800,000.00 | 2005 |
| 94 | Mauritania | 190,400,000.00 | 2005 |
| 95 | Mexico | 189,400,000.00 | 2005 |
| 96 | Timor-Leste | 184,700,000.00 | 2005 est. |
| 97 | Guinea | 182,100,000.00 | 2005 |
| 98 | Armenia | 180,000,000.00 | 2007 |
| 99 | Uzbekistan | 172,300,000.00 | 2005 |
| 100 | Thailand | 171,100,000.00 | 2005 |
| 101 | Latvia | 162,000,000.00 | 2004 |
| 102 | Cape Verde | 160,600,000.00 | 2005 |
| 103 | Mongolia | 159,500,000.00 | 2006 |
| 104 | Burma | 144,700,000.00 | 2005 est. |
| 105 | Guyana | 136,800,000.00 | 2005 |
| 106 | Estonia | 135,500,000.00 | 2004 |
| 107 | Croatia | 125,400,000.00 | 2005 |
| 108 | Namibia | 123,400,000.00 | 2005 est. |
| 109 | Micronesia, Federated States of | 106,400,000.00 | 2005 |
| 110 | Faroe Islands | 105,000,000.00 | 2005 |
| 111 | Iran | 104,000,000.00 | 2005 est. |
| 112 | Bahrain | 103,900,000.00 | 2004 |
| 113 | Argentina | 99,660,000.00 | 2005 |
| 114 | Central African Republic | 95,290,000.00 | 2005 est. |
| 115 | Cuba | 87,800,000.00 | 2005 est. |
| 116 | Togo | 86,710,000.00 | 2005 est. |
| 117 | Guinea-Bissau | 79,120,000.00 | 2005 |
| 118 | Djibouti | 78,600,000.00 | 2005 |
| 119 | Dominican Republic | 76,990,000.00 | 2005 |
| 120 | Botswana | 70,890,000.00 | 2005 |
| 121 | Lesotho | 68,820,000.00 | 2005 |
| 122 | Korea, South | 68,070,000.00 | 2004 |
| 123 | Maldives | 66,830,000.00 | 2005 |
| 124 | Fiji | 63,960,000.00 | 2005 |
| 125 | Cote d'Ivoire | 60,000,000.00 | 2007 est. |
| 126 | Gambia, The | 58,150,000.00 | 2005 |
| 127 | Marshall Islands | 56,560,000.00 | 2005 |
| 128 | Gabon | 53,870,000.00 | 2005 |
| 129 | Belarus | 53,760,000.00 | 2005 |
| 130 | Paraguay | 51,090,000.00 | 2005 |
| 131 | Venezuela | 48,660,000.00 | 2005 |
| 132 | Swaziland | 46,030,000.00 | 2005 |
| 133 | Grenada | 44,870,000.00 | 2005 |
| 134 | Suriname | 43,970,000.00 | 2005 |
| 135 | Samoa | 43,950,000.00 | 2005 |
| 136 | Vanuatu | 39,480,000.00 | 2005 |
| 137 | Equatorial Guinea | 39,000,000.00 | 2005 |
| 138 | Jamaica | 35,740,000.00 | 2005 |
| 139 | Mauritius | 31,930,000.00 | 2005 |
| 140 | Sao Tome and Principe | 31,900,000.00 | 2005 |
| 141 | Tonga | 31,750,000.00 | 2005 |
| 142 | Malaysia | 31,600,000.00 | 2005 |
| 143 | Oman | 30,680,000.00 | 2005 |
| 144 | Costa Rica | 29,510,000.00 | 2005 |
| 145 | Turkmenistan | 28,250,000.00 | 2005 |
| 146 | Kiribati | 27,840,000.00 | 2005 |
| 147 | Saint Helena | 27,840,000.00 | FY06/07 |
| 148 | Saudi Arabia | 26,290,000.00 | 2005 |
| 149 | Comoros | 25,230,000.00 | 2005 est. |
| 150 | Libya | 24,440,000.00 | 2005 est. |
| 151 | Palau | 23,460,000.00 | 2005 |
| 152 | Netherlands Antilles | 21,320,000.00 | 2004 |
| 153 | Nauru | 20,000,000.00 | 2005 |
| 154 | Panama | 19,540,000.00 | 2005 |
| 155 | Seychelles | 18,810,000.00 | 2005 |
| 156 | Dominica | 15,170,000.00 | 2005 est. |
| 157 | Cyprus | 15,000,000.00 | NA |
| 158 | Uruguay | 14,620,000.00 | 2005 |
| 159 | Macau | 13,700,000.00 | 2004 |
| 160 | Cook Islands | 13,100,000.00 | 1995 |
| 161 | Belize | 12,910,000.00 | 2005 |
| 162 | Aruba | 11,300,000.00 | 2004 |
| 163 | Saint Lucia | 11,060,000.00 | 2005 |
| 164 | Tuvalu | 10,490,000.00 | 2006 |
| 165 | Anguilla | 9,000,000.00 | 2004 est. |
| 166 | Svalbard | 8,200,000.00 | 1998 |
| 167 | Antigua and Barbuda | 7,230,000.00 | 2005 |
| 168 | Hong Kong | 6,950,000.00 | 2004 |
| 169 | Malta | 6,190,000.00 | 2004 |
| 170 | United Arab Emirates | 5,360,000.00 | 2004 |
| 171 | Saint Vincent and the Grenadines | 4,890,000.00 | 2005 |
| 172 | Bahamas, The | 4,780,000.00 | 2004 |
| 173 | Turks and Caicos Islands | 4,100,000.00 | 1997 |
| 174 | Saint Kitts and Nevis | 3,520,000.00 | 2005 |
| 175 | Pitcairn Islands | 3,465,000.00 | 2004 |
| 176 | Kuwait | 2,600,000.00 | 2004 |
| 177 | Niue | 2,600,000.00 | 2002 |
| 178 | Qatar | 2,180,000.00 | 2004 |
| 179 | Barbados | 2,070,000.00 | 2005 |
| 180 | Brunei | 770,000.00 | 2004 |
| 181 | Cayman Islands | 390,000.00 | 2004 |
| 182 | Trinidad and Tobago | 200,000.00 | 2007 est. |
| 183 | Bermuda | 90,000.00 | 2004 |
| 184 | Andorra | 0.00 | NA |
| 185 | Chile | 0.00 | 2006 |
| 186 | Singapore | 0.00 | 2007 |
