CIA - The World Factbook --     

| Rank | country | | Date of Information |
| --- | --- | --- | --- |
| 1 | Iraq | 21,650,000,000.00 | NA |
| 2 | Greece | 8,000,000,000.00 | NA |
| 3 | Nigeria | 6,437,000,000.00 | NA |
| 4 | Vietnam | 5,400,000,000.00 | NA |
| 5 | Afghanistan | 2,775,000,000.00 | NA |
| 6 | Indonesia | 2,524,000,000.00 | NA |
| 7 | Yemen | 2,300,000,000.00 | NA |
| 8 | Sudan | 1,829,000,000.00 | NA |
| 9 | Congo, Democratic Republic of the | 1,828,000,000.00 | NA |
| 10 | India | 1,724,000,000.00 | NA |
| 11 | Pakistan | 1,666,000,000.00 | NA |
| 12 | China | 1,641,000,000.00 | NA |
| 13 | Ethiopia | 1,600,000,000.00 | NA |
| 14 | Poland | 1,524,000,000.00 | NA |
| 15 | Tanzania | 1,505,000,000.00 | NA |
| 16 | Congo, Republic of the | 1,449,000,000.00 | NA |
| 17 | Gaza Strip | 1,400,000,000.00 | NA |
| 18 | West Bank | 1,400,000,000.00 | NA |
| 19 | Bangladesh | 1,321,000,000.00 | NA |
| 20 | Ghana | 1,316,000,000.00 | NA |
| 21 | Mozambique | 1,286,000,000.00 | NA |
| 22 | Uganda | 1,198,000,000.00 | NA |
| 23 | Sri Lanka | 1,189,000,000.00 | NA |
| 24 | Russia | 982,700,000.00 | NA |
| 25 | Bhutan | 941,200,000.00 | NA |
| 26 | Madagascar | 929,200,000.00 | NA |
| 27 | Egypt | 925,900,000.00 | NA |
| 28 | Romania | 914,300,000.00 | NA |
| 29 | Kenya | 768,300,000.00 | NA |
| 30 | Jordan | 752,000,000.00 | NA |
| 31 | Bulgaria | 742,000,000.00 | NA |
| 32 | South Africa | 700,000,000.00 | NA |
| 33 | Cambodia | 698,200,000.00 | NA |
| 34 | Mali | 691,500,000.00 | NA |
| 35 | Honduras | 680,800,000.00 | NA |
| 36 | Burkina Faso | 659,600,000.00 | NA |
| 37 | Morocco | 651,800,000.00 | NA |
| 38 | Bolivia | 582,900,000.00 | NA |
| 39 | French Polynesia | 579,800,000.00 | NA |
| 40 | Rwanda | 576,000,000.00 | NA |
| 41 | Malawi | 575,300,000.00 | NA |
| 42 | Bosnia and Herzegovina | 546,100,000.00 | NA |
| 43 | New Caledonia | 524,300,000.00 | NA |
| 44 | Niger | 515,400,000.00 | NA |
| 45 | Haiti | 515,000,000.00 | NA |
| 46 | Greenland | 512,000,000.00 | NA |
| 47 | Colombia | 511,100,000.00 | NA |
| 48 | Zambia | 504,000,000.00 | NA |
| 49 | Slovenia | 484,000,000.00 | NA |
| 50 | Senegal | 477,000,000.00 | NA |
| 51 | Serbia | 477,000,000.00 | NA |
| 52 | Nicaragua | 471,000,000.00 | NA |
| 53 | Turkey | 464,000,000.00 | NA |
| 54 | Philippines | 451,400,000.00 | NA |
| 55 | Angola | 441,800,000.00 | NA |
| 56 | Nepal | 427,900,000.00 | NA |
| 57 | Cameroon | 413,800,000.00 | NA |
| 58 | Ukraine | 409,600,000.00 | NA |
| 59 | Peru | 397,800,000.00 | NA |
| 60 | Chad | 379,800,000.00 | NA |
| 61 | Laos | 379,000,000.00 | NA |
| 62 | Tunisia | 376,500,000.00 | NA |
| 63 | Benin | 374,700,000.00 | NA |
| 64 | Korea, North | 372,000,000.00 | NA |
| 65 | Algeria | 370,600,000.00 | NA |
| 66 | Zimbabwe | 367,700,000.00 | NA |
| 67 | Burundi | 365,000,000.00 | NA |
| 68 | Eritrea | 355,200,000.00 | NA |
| 69 | Sierra Leone | 343,400,000.00 | NA |
| 70 | Albania | 318,700,000.00 | NA |
| 71 | Georgia | 309,800,000.00 | NA |
| 72 | Hungary | 302,600,000.00 | NA |
| 73 | Czech Republic | 278,700,000.00 | NA |
| 74 | Kyrgyzstan | 268,500,000.00 | NA |
| 75 | El Salvador | 267,600,000.00 | NA |
| 76 | Papua New Guinea | 266,100,000.00 | NA |
| 77 | Guatemala | 253,600,000.00 | NA |
| 78 | Lithuania | 249,700,000.00 | NA |
| 79 | Tajikistan | 241,400,000.00 | NA |
| 80 | Israel | 240,000,000.00 | NA |
| 81 | Somalia | 236,400,000.00 | NA |
| 82 | Liberia | 236,200,000.00 | NA |
| 83 | Slovakia | 235,000,000.00 | NA |
