CIA - The World Factbook -- Field Listing - International organization participation

| Country | International organization participation |
| --- | --- |
| **Afghanistan** | AsDB, CP, ECO, FAO, G-77, GUUAM, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ITU, MIGA, NAM, NATO, OIC, OPCW, OSCE, SACEP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WMO, WTO (observer), WToO |
| **Albania** | ACCT, BSEC, CE, CEI, EAPC, EBRD, FAO, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, MIGA, OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UNOMIG, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Algeria** | ABEDA, AfDB, AFESD, AMF, AMU, AU, BIS, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAS, MIGA, MONUC, NAM, OAPEC, OAS (observer), OIC, OPCW, OPEC, OSCE (partner), UN, UN Security Council (temporary), UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UPU, WCO, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **American Samoa** | Interpol (subbureau), IOC, UPU |
| **Andorra** | CE, ICAO, ICCt, ICRM, IFRCS, Interpol, IOC, ITU, OPCW, OSCE, UN, UNESCO, WCO, WHO, WIPO, WToO, WTrO (observer) |
| **Angola** | ACP, AfDB, AU, FAO, G-77, IAEA, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, MIGA, NAM, OAS (observer), SADC, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Anguilla** | Caricom (associate), CDB, Interpol (subbureau), OECS (associate), UPU |
| **Antigua and Barbuda** | ACP, C, Caricom, CDB, FAO, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, OAS, OECS, OPANAL, UN, UNCTAD, UNESCO, UPU, WCL, WFTU, WHO, WIPO, WMO, WTO |
| **Argentina** | AfDB, Australia Group, BCIE, BIS, FAO, G-6, G-15, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, Mercosur, MIGA, MINURSO, MINUSTAH, NSG, OAS, OPANAL, OPCW, PCA, RG, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNMIK, UNMOVIC, UNTSO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| **Armenia** | BSEC, CE, CIS, EAPC, EBRD, FAO, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ISO, ITU, MIGA, NAM (observer), OAS (observer), OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Aruba** | ILO, IMF, Interpol, IOC, UNESCO (associate), UPU, WCL, WToO (associate) |
