CIA - The World Factbook -- Field Listing - International organization participation

| Country | International organization participation |
| --- | --- |
| **Afghanistan** | AsDB, CP, ECO, ESCAP, FAO, G-77, GUUAM, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOM (observer), ITU, NAM, OIC, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WMO, WToO |
| **Albania** | ACCT, BSEC, CE, CEI, EAPC, EBRD, ECE, FAO, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UNOMIG, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Algeria** | ABEDA, AfDB, AFESD, AL, AMF, AMU, ECA, FAO, G-15, G-19, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MONUC, NAM, OAPEC, OAS (observer), OAU, OIC, OPCW, OPEC, OSCE (partner), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UPU, WCO, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **American Samoa** | ESCAP (associate), Interpol (subbureau), IOC, SPC |
| **Andorra** | CE, ECE, ICAO, ICCt, ICRM, IFRCS, Interpol, IOC, ITU, OSCE, UN, UNESCO, WCO, WHO, WIPO, WToO, WTrO (observer) |
| **Angola** | ACP, AfDB, CEEAC, ECA, FAO, G-77, IAEA, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, NAM, OAS (observer), OAU, SADC, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Anguilla** | Caricom (associate), CDB, Interpol (subbureau), OECS (associate), ECLAC (associate) |
| **Antigua and Barbuda** | ACP, C, Caricom, CDB, ECLAC, FAO, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, OAS, OECS, OPANAL, UN, UNCTAD, UNESCO, UPU, WCL, WFTU, WHO, WIPO, WMO, WTrO |
| **Argentina** | AfDB, Australia Group, BCIE, BIS, ECLAC, FAO, G-6, G-15, G-19, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, Mercosur, MINURSO, MIPONUH, MONUC, MTCR, NSG, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMOP, UNMOVIC, UNTSO, UNU, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
