CIA - The World Factbook -- Field Listing - International organization participation

| Country | International organization participation |
| --- | --- |
| **Afghanistan** | AsDB, CP, ECO, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ISO (correspondent), ITU, MIGA, NAM, OIC, OPCW, OSCE (partner), SACEP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO (observer) |
| **Albania** | BSEC, CE, CEI, EAPC, EBRD, FAO, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, MIGA, OIC, OIF, OPCW, OSCE, PFP, SECI, UN, UNCTAD, UNESCO, UNIDO, UNOMIG, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Algeria** | ABEDA, AfDB, AFESD, AMF, AMU, AU, BIS, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, LAS, MIGA, MONUC, NAM, OAPEC, OAS (observer), OIC, ONUB, OPCW, OPEC, OSCE (partner), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UPU, WCO, WHO, WIPO, WMO, WToO, WTO (observer) |
| **American Samoa** | Interpol (subbureau), IOC, SPC, UPU |
| **Andorra** | CE, ICAO, ICCt, ICRM, IFRCS, Interpol, IOC, IPU, ITU, OIF, OIF (associate member), OPCW, OSCE, UN, UNCTAD, UNESCO, WCO, WHO, WIPO, WToO, WTO (observer) |
| **Angola** | ACP, AfDB, AU, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, MIGA, NAM, OAS (observer), SADC, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| **Anguilla** | Caricom (associate), CDB, Interpol (subbureau), OECS (associate), UPU |
| **Antigua and Barbuda** | ACP, C, Caricom, CDB, FAO, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, MIGA, NAM (observer), OAS, OECS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UPU, WCL, WFTU, WHO, WIPO, WMO, WTO |
| **Argentina** | ABEDA, AfDB, Australia Group, BCIE, BIS, CAN (associate), CSN, FAO, G-6, G-15, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, LAES, LAIA, Mercosur, MIGA, MINURSO, MINUSTAH, NSG, OAS, OPANAL, OPCW, PCA, RG, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNMOVIC, UNTSO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
