CIA -- The World Factbook -- International organization participation

| Country | Background |
| **Ethiopia** | ACP, AfDB, CCC, ECA, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, NAM, OAU, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNU, UPU, WFTU, WHO, WIPO, WMO, WToO |
| **Falkland Islands (Islas Malvinas)** | ICFTU |
| **Faroe Islands** | NC, NIB |
| **Fiji** | ACP, AsDB, C, CCC, CP, ESCAP, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Intelsat, Interpol, IOC, ISO (subscriber), ITU, OPCW, Sparteca, SPC, SPF, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNIKOM, UNMIBH, UNMIK, UNTAET, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Finland** | AfDB, AsDB, Australia Group, BIS, CBSS, CCC, CE, CERN, EAPC, EBRD, ECE, EIB, EMU, ESA, EU, FAO, G- 9, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, NAM (guest), NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMOGIP, UNMOP, UNTSO, UPU, WEU (observer), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **France** | ACCT, AfDB, AsDB, Australia Group, BDEAC, BIS, CCC, CDB (non-regional), CE, CERN, EAPC, EBRD, ECA (associate), ECE, ECLAC, EIB, EMU, ESA, ESCAP, EU, FAO, FZ, G- 5, G- 7, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, InOC, Intelsat, Interpol, IOC, IOM, ISO, ITU, MINURSO, MIPONUH, MONUC, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, SPC, UN, UN Security Council, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNIKOM, UNITAR, UNMEE, UNMIBH, UNMIK, UNOMIG, UNRWA, UNTAET, UNTSO, UNU, UPU, WADB (nonregional), WCL, WEU, WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **French Guiana** | FZ, WCL, WFTU |
| **French Polynesia** | ESCAP (associate), FZ, ICFTU, SPC, WMO |
| **Gabon** | ACCT, ACP, AfDB, BDEAC, CCC, CEEAC, CEMAC, ECA, FAO, FZ, G-24, G-77, IAEA, IBRD, ICAO, ICFTU, IDA, IDB, IFAD, IFC, IFRCS (associate), ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ITU, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WToO, WTrO |
| **Gambia, The** | ACP, AfDB, C, CCC, ECA, ECOWAS, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, ITU, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNMEE, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Georgia** | BSEC, CCC, CE, CIS, EAPC, EBRD, ECE, FAO, IAEA, IBRD, ICAO, ICFTU, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Interpol, IOC, IOM (observer), ITU, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WToO, WTrO |
| **Germany** | AfDB, AsDB, Australia Group, BDEAC, BIS, CBSS, CCC, CDB (non-regional), CE, CERN, EAPC, EBRD, ECE, EIB, EMU, ESA, EU, FAO, G- 5, G- 7, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, MONUC, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIKOM, UNMIBH, UNMIK, UNOMIG, UPU, WADB (nonregional), WEU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Ghana** | ABEDA, ACP, AfDB, C, CCC, ECA, ECOWAS, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, MINURSO, NAM, OAS (observer), OAU, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNIKOM, UNITAR, UNMEE, UNMIBH, UNMIK, UNMOP, UNMOT, UNTAET, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Gibraltar** | Interpol (subbureau) |
| **Greece** | Australia Group, BIS, BSEC, CCC, CE, CERN, EAPC, EBRD, ECE, EIB, EMU, EU, FAO, G- 6, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, MINURSO, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIKOM, UNMIBH, UNOMIG, UPU, WEU, WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Greenland** | ICC, NC, NIB |
| **Grenada** | ACP, C, Caricom, CDB, ECLAC, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, LAES, NAM, OAS, OECS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WTrO |
| **Guadeloupe** | FZ, WCL, WFTU |
| **Guam** | ESCAP (associate), Interpol (subbureau), IOC, SPC |
| **Guatemala** | BCIE, CACM, CCC, ECLAC, FAO, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, LAIA (observer), NAM, OAS, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Guernsey** | none |
| **Guinea** | ACCT, ACP, AfDB, CCC, ECA, ECOWAS, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM, ISO (correspondent), ITU, MINURSO, NAM, OAU, OIC, OPCW, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Guinea-Bissau** | ACCT (associate), ACP, AfDB, ECA, ECOWAS, FAO, FZ, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, IOM, ITU, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WADB (regional), WAEMU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Guyana** | ACP, C, Caricom, CCC, CDB, ECLAC, FAO, G-77, IADB, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, ISO (subscriber), ITU, LAES, NAM, OAS, OIC, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WTrO |
| **Haiti** | ACCT, ACP, Caricom (observer), CCC, ECLAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM, ITU, LAES, OAS, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Holy See (Vatican City)** | CE (observer), IAEA, ICFTU, Intelsat, IOM (observer), ITU, NAM (guest), OAS (observer), OPCW, OSCE, UN (observer), UNCTAD, UNHCR, UPU, WHO (observer), WIPO, WToO (observer), WTrO (observer) |
| **Honduras** | BCIE, CACM, ECLAC, FAO, G-77, IADB, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, LAIA (observer), MINURSO, NAM, OAS, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WTrO |
| **Hong Kong** | APEC, AsDB, BIS, CCC, ESCAP (associate), ICC, ICFTU, IMO (associate), Interpol (subbureau), IOC, ISO (correspondent), WCL, WMO, WToO (associate), WTrO |
| **Hungary** | ABEDA, Australia Group, BIS, CCC, CE, CEI, CERN, EAPC, EBRD, ECE, EU (applicant), FAO, G- 9, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, MINURSO, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIKOM, UNMIBH, UNMIK, UNMOGIP, UNOMIG, UNU, UPU, WCL, WEU (associate), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Iceland** | Australia Group, BIS, CBSS, CCC, CE, EAPC, EBRD, ECE, EFTA, FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA (observer), IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ISO, ITU, NATO, NC, NEA, NIB, OECD, OPCW, OSCE, UN, UNCTAD, UNESCO, UNHCR, UNMIBH, UNMIK, UNU, UPU, WEU (associate), WHO, WIPO, WMO, WTrO |
| **India** | AfDB, ARF (dialogue partner), AsDB, ASEAN (dialogue partner), BIS, C, CCC, CP, ESCAP, FAO, G- 6, G-15, G-19, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA (observer), IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, MINURSO, MIPONUH, MONUC, NAM, OAS (observer), OPCW, PCA, SAARC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNIKOM, UNMEE, UNMIBH, UNMIK, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Indonesia** | APEC, ARF, AsDB, ASEAN, CCC, CP, ESCAP, FAO, G-15, G-19, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, NAM, OIC, OPCW, OPEC, UN, UNCTAD, UNESCO, UNIDO, UNIKOM, UNMIBH, UNMOP, UNMOT, UNOMIG, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Iran** | CCC, CP, ECO, ESCAP, FAO, G-19, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, NAM, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WFTU, WHO, WMO, WToO |
| **Iraq** | ABEDA, ACC, AFESD, AL, AMF, CAEU, CCC, EAPC, ESCWA, FAO, G-19, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ITU, NAM, OAPEC, OIC, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO |
| **Ireland** | Australia Group, BIS, CCC, CE, EBRD, ECE, EIB, EMU, ESA, EU, FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, MINURSO, NAM (guest), NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PFP, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNIKOM, UNITAR, UNMIBH, UNMIK, UNMOP, UNTAET, UNTSO, UPU, WEU (observer), WHO, WIPO, WMO, WTrO, ZC |
| **Israel** | BSEC (observer), CCC, CE (observer), CERN (observer), EBRD, ECE, FAO, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, IDA, IFAD, IFC, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, OAS (observer), OPCW, OSCE (partner), PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WHO, WIPO, WMO, WToO, WTrO |
| **Italy** | AfDB, AsDB, Australia Group, BIS, BSEC (observer), CCC, CDB (non-regional), CE, CEI, CERN, EAPC, EBRD, ECE, ECLAC, EIB, EMU, ESA, EU, FAO, G- 7, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, LAIA (observer), MINURSO, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMOGIP, UNTSO, UPU, WCL, WEU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Jamaica** | ACP, C, Caricom, CCC, CDB, ECLAC, FAO, G-15, G-19, G-77, IADB, IAEA, IBRD, ICAO, ICFTU, ICRM, IFAD, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, LAES, NAM, OAS, OPANAL, OPCW, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Japan** | AfDB, APEC, ARF (dialogue partner), AsDB, ASEAN (dialogue partner), Australia Group, BIS, CCC, CE (observer), CERN (observer), CP, EBRD, ESCAP, FAO, G- 5, G- 7, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, NAM (guest), NEA, NSG, OAS (observer), OECD, OPCW, OSCE (partner), PCA, UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNITAR, UNRWA, UNU, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Jordan** | ABEDA, ACC, AFESD, AL, AMF, CAEU, CCC, ESCWA, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM, ISO (correspondent), ITU, MINURSO, MONUC, NAM, OIC, OPCW, OSCE (partner), PCA, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNMEE, UNMIBH, UNMIK, UNMOP, UNMOT, UNOMIG, UNRWA, UNTAET, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Kazakhstan** | AsDB, CCC, CIS, EAPC, EBRD, ECE, ECO, ESCAP, FAO, IAEA, IBRD, ICAO, IDA, IDB, IFAD, IFC, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, NAM (observer), OAS (observer), OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Kenya** | ACP, AfDB, C, CCC, EADB, ECA, FAO, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, MINURSO, MONUC, NAM, OAU, OPCW, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMOP, UNTAET, UNU, UPU, WHO, WIPO, WMO, WToO, WTrO |
| **Kiribati** | ACP, AsDB, C, ESCAP, FAO, IBRD, ICAO, ICFTU, ICRM, IDA, IFC, IFRCS, ILO, IMF, Intelsat (nonsignatory user), ITU, OPCW, Sparteca, SPC, SPF, UN, UNESCO, UPU, WHO, WTrO (applicant) |
| **Korea, North** | ARF (dialogue partner), ESCAP, FAO, G-77, ICAO, ICRM, IFAD, IFRCS, IHO, IMO, Intelsat (nonsignatory user), IOC, ISO, ITU, NAM, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO |
| **Korea, South** | AfDB, APEC, ARF (dialogue partner), AsDB, ASEAN (dialogue partner), Australia Group, BIS, CCC, CP, EBRD, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA (observer), IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, MINURSO, NAM (guest), NEA, NSG, OAS (observer), OECD, OPCW, OSCE (partner), PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMOGIP, UNOMIG, UNTAET, UNU, UPU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Kuwait** | ABEDA, AfDB, AFESD, AL, AMF, BDEAC, CAEU, CCC, ESCWA, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ISO, ITU, NAM, OAPEC, OIC, OPCW, OPEC, UN, UNCTAD, UNESCO, UNIDO, UNITAR, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Kyrgyzstan** | AsDB, CCC, CIS, EAPC, EBRD, ECE, ECO, ESCAP, FAO, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Intelsat, Interpol, IOC, IOM, ISO (correspondent), ITU, NAM (observer), OIC, OPCW, OSCE, PFP, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNMIK, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Laos** | ACCT, ARF, AsDB, ASEAN, CP, ESCAP, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Intelsat (nonsignatory user), Interpol, IOC, ITU, NAM, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Latvia** | BIS, CBSS, CCC, CE, EAPC, EBRD, ECE, EU (applicant), FAO, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFC, IFRCS, ILO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, IOM, ISO (correspondent), ITU, NSG, OAS (observer), OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UPU, WEU (associate partner), WHO, WIPO, WMO, WTrO |
| **Lebanon** | ABEDA, ACCT, AFESD, AL, AMF, CCC, ESCWA, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ISO (correspondent), ITU, NAM, OAS (observer), OIC, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNRWA, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Lesotho** | ACP, AfDB, C, CCC, ECA, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Intelsat (nonsignatory user), Interpol, IOC, ISO (subscriber), ITU, NAM, OAU, OPCW, SACU, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Liberia** | ACP, AfDB, CCC, ECA, ECOWAS, FAO, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat (nonsignatory user), Interpol, IOC, IOM, ITU, NAM, OAU, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO |
| **Libya** | ABEDA, AfDB, AFESD, AL, AMF, AMU, CAEU, CCC, ECA, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ISO, ITU, MONUC, NAM, OAPEC, OAU, OIC, OPEC, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO |
| **Liechtenstein** | CE, EBRD, ECE, EFTA, IAEA, ICRM, IFRCS, Intelsat, Interpol, IOC, ITU, OPCW, OSCE, UN, UNCTAD, UNIDO, UPU, WCL, WHO (observer), WIPO, WTrO |
| **Lithuania** | ACCT (observer), BIS, CBSS, CCC, CE, EAPC, EBRD, ECE, EU (applicant), FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IFC, IFRCS, ILO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, IOM, ISO (correspondent), ITU, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNMIK, UPU, WCL, WEU (associate partner), WHO, WIPO, WMO, WTrO (observer) |
| **Luxembourg** | ACCT, Australia Group, Benelux, CCC, CE, EAPC, EBRD, ECE, EIB, EMU, EU, FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM, ISO, ITU, NATO, NEA, NSG, OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WEU, WHO, WIPO, WMO, WTrO, ZC |
| **Macau** | CCC, ESCAP (associate), IMO (associate), Interpol (subbureau), UNESCO (associate), WMO, WToO (associate), WTrO |
| **Macedonia, The Former Yugoslav Republic of** | ACCT (associate), BIS, CCC, CE, CEI, EAPC, EBRD, ECE, FAO, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, IOM (observer), ISO, ITU, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Madagascar** | ACCT, ACP, AfDB, CCC, ECA, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, InOC, Intelsat, Interpol, IOC, IOM (observer), ISO (correspondent), ITU, NAM, OAU, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Malawi** | ACP, AfDB, C, CCC, ECA, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, ISO (correspondent), ITU, NAM, OAU, OPCW, SADC, UN, UNCTAD, UNESCO, UNIDO, UNMIK, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Malaysia** | APEC, ARF, AsDB, ASEAN, BIS, C, CCC, CP, ESCAP, FAO, G-15, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ISO, ITU, MINURSO, MONUC, NAM, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNIKOM, UNMEE, UNMIBH, UNMIK, UNTAET, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Maldives** | AsDB, C, CCC, CP, ESCAP, FAO, G-77, IBRD, ICAO, IDA, IDB, IFAD, IFC, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, ITU, NAM, OIC, OPCW, SAARC, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WMO, WToO, WTrO |
| **Mali** | ACCT, ACP, AfDB, CCC, ECA, ECOWAS, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Intelsat, Interpol, IOC, IOM, ISO (subscriber), ITU, MIPONUH, MONUC, NAM, OAU, OIC, OPCW, UN, UN Security Council (temporary), UNAMSIL, UNCTAD, UNESCO, UNIDO, UPU, WADB, WAEMU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Malta** | C, CCC, CE, EBRD, ECE, EU (applicant), FAO, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IFAD, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, NAM, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WToO, WTrO |
| **Man, Isle of** | none |
| **Marshall Islands** | ACP, AsDB, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, IDA, IFC, IMF, IMO, Inmarsat, Intelsat (nonsignatory user), Interpol, ITU, OPCW, Sparteca, SPC, SPF, UN, UNCTAD, UNESCO, WHO |
| **Martinique** | FZ, WCL, WFTU |
| **Mauritania** | ABEDA, ACCT (associate), ACP, AfDB, AFESD, AL, AMF, AMU, CAEU, CCC, ECA, ECOWAS, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Intelsat, Interpol, IOC, ITU, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WToO, WTrO |
| **Mauritius** | ACCT, ACP, AfDB, C, CCC, ECA, FAO, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, InOC, Intelsat, Interpol, IOC, ISO, ITU, NAM, OAU, OPCW, SADC, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Mayotte** | FZ |
