CIA - The World Factbook -- Field Listing :: International organization participation   

This entry lists in alphabetical order by abbreviation those international organizations in which the subject country is a member or participates in some other way.

| Country | International organization participation |
| --- | --- |
| **Afghanistan** | ADB, CP, ECO, FAO, G-77, IAEA, IBRD, ICAO, ICCt, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ISO (correspondent), ITSO, ITU, MIGA, NAM, OIC, OPCW, OSCE (partner), SAARC, SACEP, SCO (guest), UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| **Albania** | BSEC, CE, CEI, EAPC, EBRD, FAO, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC, MIGA, NATO, OIC, OIF, OPCW, OSCE, SECI, UN, UNCTAD, UNESCO, UNIDO, UNOMIG, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Algeria** | ABEDA, AfDB, AFESD, AMF, AMU, AU, BIS, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAS, MIGA, MONUC, NAM, OAPEC, OAS (observer), OIC, OPCW, OPEC, OSCE (partner), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| **American Samoa** | Interpol (subbureau), IOC, SPC, UPU |
| **Andorra** | CE, FAO, ICAO, ICCt, ICRM, IFRCS, Interpol, IOC, IPU, ITU, OIF, OPCW, OSCE, UN, UNCTAD, UNESCO, Union Latina, UNWTO, WCO, WHO, WIPO, WTO (observer) |
| **Angola** | ACP, AfDB, AU, CPLP, FAO, G-77, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, NAM, OAS (observer), OPEC, SADC, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Anguilla** | Caricom (associate), CDB, Interpol (subbureau), OECS, UPU, WFTU |
| **Antigua and Barbuda** | ACP, C, Caricom, CDB, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, ITUC, MIGA, NAM, OAS, OECS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UPU, WCL, WFTU, WHO, WIPO, WMO, WTO |
| **Argentina** | AfDB (nonregional members), Australia Group, BCIE, BIS, CAN (associate), FAO, G-15, G-20, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAES, LAIA, Mercosur, MIGA, MINURSO, MINUSTAH, NSG, OAS, OPANAL, OPCW, PCA, RG, SICA (observer), UN, UNASUR, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, Union Latina (observer), UNTSO, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO, ZC |
