CIA - The World Factbook -- Field Listing :: International organization participation   

This entry lists in alphabetical order by abbreviation those international organizations in which the subject country is a member or participates in some other way.

| Country | International organization participation |
| **Ecuador** | CAN, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAES, LAIA, Mercosur (associate), MIGA, MINURCAT, MINUSTAH, NAM, OAS, OPANAL, OPCW, OPEC, PCA, RG, UN, UNASUR, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNMIL, UNMIS, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Egypt** | ABEDA, ACCT, AfDB, AFESD, AMF, AU, BSEC (observer), CAEU, COMESA, EBRD, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAS, MIGA, MINURCAT, MINURSO, MONUC, NAM, OAPEC, OAS (observer), OIC, OIF, OSCE (partner), PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMIS, UNOMIG, UNRWA, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **El Salvador** | BCIE, CACM, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, MINURSO, NAM (observer), OAS, OPANAL, OPCW, PCA, RG, SICA, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, Union Latina, UNMIL, UNMIS, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Equatorial Guinea** | ACP, AfDB, AU, BDEAC, CEMAC, CPLP (associate), FAO, FZ, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ITSO, ITU, MIGA, NAM, OAS (observer), OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WFTU, WHO, WIPO, WTO (observer) |
| **Eritrea** | ACP, AfDB, AU, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICCt (signatory), IDA, IFAD, IFC, IFRCS (observer), ILO, IMF, IMO, Interpol, IOC, ISO (correspondent), ITU, ITUC, LAS (observer), MIGA, NAM, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO |
| **Estonia** | Australia Group, BA, BIS, CBSS, CE, EAPC, EBRD, EIB, EU, FAO, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC, MIGA, NATO, NIB, NSG, OAS (observer), OECD (accession state), OPCW, OSCE, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNITAR, UNTSO, UPU, WCO, WEU (associate partner), WFTU, WHO, WIPO, WMO, WTO |
| **Ethiopia** | ACP, AfDB, AU, COMESA, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, ITUC, MIGA, NAM, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| **European Union** | *European Union:* ARF (dialogue member), ASEAN (dialogue member), IDA, OAS (observer), PIF (partner), SAARC (observer), UN (observer) |
| | *European Community:* Australian Group, CBSS, CERN, FAO, EBRD, G-10, LAIA, NSG (observer), OECD, UNRWA, WCO, WTO, ZC (observer) |
| | *European Central Bank:* BIS |
| | *European Investment Bank:* EBRD, WADB (nonregional member) |
| **Falkland Islands (Islas Malvinas)** | UPU |
| **Faroe Islands** | Arctic Council, FAO, IMO (associate), NC, NIB, UPU |
| **Fiji** | ACP, ADB, C (suspended), CP, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ISO, ITSO, ITU, ITUC, MIGA, OPCW, PCA, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UNIDO, UNMIS, UNMIT, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Finland** | ADB (nonregional member), AfDB (nonregional member), Arctic Council, Australia Group, BIS, CBSS, CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, G-9, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NAM (guest), NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PFP, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMIS, UNMOGIP, UNTSO, UPU, WCO, WEU (observer), WFTU, WHO, WIPO, WMO, WTO, ZC |
| **France** | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, BDEAC, BIS, BSEC (observer), CBSS (observer), CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, FZ, G-20, G-5, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, InOC, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURCAT, MINURSO, MINUSTAH, MONUC, NATO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, Paris Club, PCA, PIF (partner), Schengen Convention, SECI (observer), SPC, UN, UN Security Council, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, Union Latina, UNITAR, UNMIL, UNOCI, UNOMIG, UNRWA, UNTSO, UNWTO, UPU, WADB (nonregional), WCL, WCO, WEU, WFTU, WHO, WIPO, WMO, WTO, ZC |
| **French Polynesia** | FZ, ITUC, PIF (associate member), SPC, UPU, WMO |
| **French Southern and Antarctic Lands** | UPU |
| **Gabon** | ACCT, ACP, AfDB, AU, BDEAC, CEMAC, FAO, FZ, G-24, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, MINURCAT, NAM, OIC, OIF, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNMIS, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Gambia, The** | ABEDA, ACP, AfDB, AU, C, ECOWAS, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC, MIGA, MINURCAT, NAM, OIC, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Georgia** | ACCT (observer), ADB, BSEC, CE, CIS, EAPC, EBRD, FAO, GCTU, GUAM, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, OAS (observer), OIF (observer), OPCW, OSCE, PFP, SECI (observer), UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Germany** | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, BIS, BSEC (observer), CBSS, CDB, CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, G-20, G-5, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, Schengen Convention, SECI (observer), SICA (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIL, UNMIS, UNOMIG, UNRWA, UNWTO, UPU, WADB (nonregional), WCO, WEU, WFTU, WHO, WIPO, WMO, WTO, ZC |
| **Ghana** | ACP, AfDB, AU, C, ECOWAS, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURCAT, MINURSO, MONUC, NAM, OAS (observer), OIF (associate member), OPCW, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNITAR, UNMIL, UNOCI, UNOMIG, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Gibraltar** | Interpol (subbureau), UPU |
| **Greece** | Australia Group, BIS, BSEC, CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, PCA, Schengen Convention, SECI, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIS, UNOMIG, UNWTO, UPU, WCO, WEU, WFTU, WHO, WIPO, WMO, WTO, ZC |
| **Greenland** | Arctic Council, NC, NIB, UPU |
| **Grenada** | ACP, C, Caricom, CDB, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ITU, ITUC, MIGA, NAM, OAS, OECS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WTO |
| **Guam** | IOC, SPC, UPU |
| **Guatemala** | BCIE, CACM, FAO, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, LAES, LAIA (observer), MIGA, MINUSTAH, MONUC, NAM, OAS, OPANAL, OPCW, PCA, RG, SICA, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, Union Latina, UNMIS, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Guernsey** | UPU |
| **Guinea** | ACP, AfDB, AU, ECOWAS, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, MINURSO, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIS, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Guinea-Bissau** | ACP, AfDB, AU, CPLP, ECOWAS, FAO, FZ, G-77, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITSO, ITU, ITUC, MIGA, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WADB (regional), WAEMU, WFTU, WHO, WIPO, WMO, WTO |
| **Guyana** | ACP, C, Caricom, CDB, FAO, G-77, IADB, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO (subscriber), ITU, ITUC, LAES, MIGA, NAM, OAS, OIC, OPANAL, OPCW, PCA, RG, UN, UNASUR, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Haiti** | ACP, Caricom, CDB, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITSO, ITU, ITUC, LAES, MIGA, NAM, OAS, OIF, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Holy See (Vatican City)** | CE (observer), IAEA, Interpol, IOM (observer), ITSO, ITU, ITUC, NAM (guest), OAS (observer), OPCW, OSCE, UN (observer), UNCTAD, UNHCR, Union Latina (observer), UNWTO (observer), UPU, WFTU, WIPO, WTO (observer) |
| **Honduras** | BCIE, CACM, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (subscriber), ITSO, ITU, ITUC, LAES, LAIA (observer), MIGA, MINURSO, NAM, OAS, OPANAL, OPCW, PCA, RG, SICA, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Hong Kong** | ADB, APEC, BIS, ICC, IHO, IMF, IMO (associate), IOC, ISO (correspondent), ITUC, UNWTO (associate), UPU, WCL, WCO, WFTU, WMO, WTO |
| **Hungary** | Australia Group, BIS, CE, CEI, CERN, EAPC, EBRD, EIB, ESA (cooperating state), EU, FAO, G-9, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, SECI, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNOMIG, UNWTO, UPU, WCL, WCO, WEU (associate), WFTU, WHO, WIPO, WMO, WTO, ZC |
| **Iceland** | Arctic Council, Australia Group, BIS, CBSS, CE, EAPC, EBRD, EFTA, FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, ITUC, MIGA, NATO, NC, NEA, NIB, OAS (observer), OECD, OPCW, OSCE, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UPU, WCO, WEU (associate), WFTU, WHO, WIPO, WMO, WTO |
| **India** | ADB, AfDB (nonregional member), ARF, ASEAN (dialogue partner), BIMSTEC, BIS, C, CERN (observer), CP, EAS, FAO, G-15, G-20, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAS (observer), MIGA, MONUC, NAM, OAS (observer), OPCW, PCA, PIF (partner), SAARC, SACEP, SCO (observer), UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNIFIL, UNITAR, UNMIS, UNMIT, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Indonesia** | ADB, APEC, APT, ARF, ASEAN, BIS, CP, EAS, FAO, G-15, G-20, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUC, NAM, OIC, OPCW, OPEC, PIF (partner), UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, UNMIL, UNMIS, UNOMIG, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Iran** | CP, ECO, FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, NAM, OIC, OPCW, OPEC, PCA, SAARC (observer), SCO (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| **Iraq** | ABEDA, AFESD (suspended), AMF, CAEU, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| **Ireland** | ADB (nonregional member), Australia Group, BIS, CE, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUC, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PFP, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIL, UNOCI, UNTSO, UPU, WCO, WEU (observer), WFTU, WHO, WIPO, WMO, WTO, ZC |
| **Isle of Man** | UPU |
| **Israel** | BIS, BSEC (observer), CERN (observer), EBRD, FAO, IADB, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, OAS (observer), OECD (accession state), OPCW (signatory), OSCE (partner), PCA, SECI (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Italy** | ADB (nonregional member), AfDB (nonregional member), Arctic Council (observer), Australia Group, BIS, BSEC (observer), CBSS (observer), CDB, CE, CEI, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, G-20, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAIA (observer), MIGA, MINURSO, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, Schengen Convention, SECI (observer), SICA (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, Union Latina, UNMOGIP, UNRWA, UNTSO, UNWTO, UPU, WCL, WCO, WEU, WFTU, WHO, WIPO, WMO, WTO, ZC |
| **Jamaica** | ACP, C, Caricom, CDB, FAO, G-15, G-77, IADB, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITSO, ITU, LAES, MIGA, NAM, OAS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Japan** | ADB, AfDB (nonregional member), APEC, APT, ARF, ASEAN (dialogue partner), Australia Group, BIS, CE (observer), CERN (observer), CP, EAS, EBRD, FAO, G-20, G-5, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAIA, MIGA, NEA, NSG, OAS (observer), OECD, OPCW, OSCE (partner), Paris Club, PCA, PIF (partner), SAARC (observer), SECI (observer), UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNITAR, UNRWA, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO, ZC |
| **Jordan** | ABEDA, AFESD, AMF, CAEU, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAS, MIGA, MINURCAT, MINUSTAH, MONUC, NAM, OIC, OPCW, OSCE (partner), PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMIS, UNOCI, UNOMIG, UNRWA, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Kazakhstan** | ADB, CIS, CSTO, EAEC, EAPC, EBRD, ECO, FAO, GCTU, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, NAM (observer), NSG, OAS (observer), OIC, OPCW, OSCE, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| **Kenya** | ACP, AfDB, AU, C, COMESA, EAC, EADB, FAO, G-15, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUC, NAM, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMIS, UNOCI, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Kiribati** | ACP, ADB, C, FAO, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IOC, ITU, ITUC, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UPU, WHO, WMO |
| **Korea, North** | ARF, FAO, G-77, ICAO, ICRM, IFAD, IFRCS, IHO, IMO, IOC, IPU, ISO, ITSO, ITU, NAM, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WFTU, WHO, WIPO, WMO |
| **Korea, South** | ADB, AfDB (nonregional member), APEC, APT, ARF, ASEAN (dialogue partner), Australia Group, BIS, CP, EAS, EBRD, FAO, G-20, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAIA, MIGA, NEA, NSG, OAS (observer), OECD, OPCW, OSCE (partner), PCA, PIF (partner), SAARC (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIL, UNMIS, UNMOGIP, UNOMIG, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO, ZC |
| **Kosovo** | ITUC, WFTU |
| **Kuwait** | ABEDA, AfDB (nonregional member), AFESD, AMF, BDEAC, CAEU, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, ITUC, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNITAR, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Kyrgyzstan** | ADB, CIS, CSTO, EAEC, EAPC, EBRD, ECO, FAO, GCTU, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, MIGA, MINURCAT, NAM (observer), OIC, OPCW, OSCE, PCA, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNMIS, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Laos** | ADB, APT, ARF, ASEAN, CP, EAS, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IPU, ISO (subscriber), ITU, MIGA, NAM, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| **Latvia** | Australia Group, BA, BIS, CBSS, CE, EAPC, EBRD, EIB, EU, FAO, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC, MIGA, NATO, NIB, NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNWTO, UPU, WCO, WEU (associate partner), WFTU, WHO, WIPO, WMO, WTO |
| **Lebanon** | ABEDA, ACCT, AFESD, AMF, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAS (observer), OIC, OIF, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNRWA, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| **Lesotho** | ACP, AfDB, AU, C, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IPU, ISO (subscriber), ITU, MIGA, NAM, OPCW, SACU, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| **Liberia** | ACP, AfDB, AU, ECOWAS, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ITU, ITUC, MIGA, NAM, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| **Libya** | ABEDA, AfDB, AFESD, AMF, AMU, AU, CAEU, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, PCA, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| **Liechtenstein** | CE, EBRD, EFTA, IAEA, ICCt, ICRM, IFRCS, Interpol, IOC, IPU, ITSO, ITU, OPCW, OSCE, PCA, UN, UNCTAD, UPU, WCL, WIPO, WTO |
