CIA -- The World Factbook -- Electricity - production by source

| Country | Electricity - production by source |
| --- | --- |
| **Afghanistan** | *fossil fuel:*  35.71% |
| | *hydro:*  64.29% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Albania** | *fossil fuel:*  3.81% |
| | *hydro:*  96.19% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Algeria** | *fossil fuel:*  99.14% |
| | *hydro:*  0.86% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **American Samoa** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Andorra** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Angola** | *fossil fuel:*  32.2% |
| | *hydro:*  67.8% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Anguilla** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Antigua and Barbuda** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Argentina** | *fossil fuel:*  60.3% |
| | *hydro:*  30.7% |
| | *nuclear:*  8.75% |
| | *other:*  0.25% (1999) |
| **Armenia** | *fossil fuel:*  45.56% |
| | *hydro:*  23.25% |
| | *nuclear:*  31.19% |
| | *other:*  0% (1999) |
| **Aruba** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Australia** | *fossil fuel:*  89.93% |
| | *hydro:*  8.36% |
| | *nuclear:*  0% |
| | *other:*  1.71% (1999) |
| **Austria** | *fossil fuel:*  29.53% |
| | *hydro:*  67.65% |
| | *nuclear:*  0% |
| | *other:*  2.82% (1999) |
| **Azerbaijan** | *fossil fuel:*  86.46% |
| | *hydro:*  13.54% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Bahamas, The** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Bahrain** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Bangladesh** | *fossil fuel:*  93.7% |
| | *hydro:*  6.3% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Barbados** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Belarus** | *fossil fuel:*  99.9% |
| | *hydro:*  0.1% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Belgium** | *fossil fuel:*  40.01% |
| | *hydro:*  0.42% |
| | *nuclear:*  58.33% |
| | *other:*  1.24% (1999) |
| **Belize** | *fossil fuel:*  56.76% |
| | *hydro:*  43.24% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Benin** | *fossil fuel:*  24.78% |
| | *hydro:*  75.22% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Bermuda** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Bhutan** | *fossil fuel:*  0.05% |
| | *hydro:*  99.95% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Bolivia** | *fossil fuel:*  56.61% |
| | *hydro:*  41.6% |
| | *nuclear:*  0% |
| | *other:*  1.79% (1999) |
| **Bosnia and Herzegovina** | *fossil fuel:*  38.68% |
| | *hydro:*  61.32% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Botswana** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Brazil** | *fossil fuel:*  5.28% |
| | *hydro:*  90.66% |
| | *nuclear:*  1.12% |
| | *other:*  2.94% (1999) |
| **British Virgin Islands** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Brunei** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Bulgaria** | *fossil fuel:*  51.52% |
| | *hydro:*  8.35% |
| | *nuclear:*  40.12% |
| | *other:*  0.01% (1999) |
| **Burkina Faso** | *fossil fuel:*  71.93% |
| | *hydro:*  28.07% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Burma** | *fossil fuel:*  68.56% |
| | *hydro:*  31.44% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Burundi** | *fossil fuel:*  0.71% |
| | *hydro:*  99.29% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Cambodia** | *fossil fuel:*  59.18% |
| | *hydro:*  40.82% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Cameroon** | *fossil fuel:*  2.59% |
| | *hydro:*  97.41% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Canada** | *fossil fuel:*  26.38% |
| | *hydro:*  60% |
| | *nuclear:*  12.31% |
| | *other:*  1.31% (1999) |
| **Cape Verde** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Cayman Islands** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Central African Republic** | *fossil fuel:*  20.59% |
| | *hydro:*  79.41% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Chad** | *fossil fuel:*  100% |
| | *hydro:*  0% |
| | *nuclear:*  0% |
| | *other:*  0% (1999) |
| **Chile** | *fossil fuel:*  61% |
| | *hydro:*  35% |
| | *nuclear:*  0% |
| | *other:*  4% (1999) |
| **China** | *fossil fuel:*  79.82% |
| | *hydro:*  18.98% |
| | *nuclear:*  1.2% |
| | *other:*  0.01% (1999) |
| **Christmas Island** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Cocos (Keeling) Islands** | *fossil fuel:*  NA% |
| | *hydro:*  NA% |
| | *nuclear:*  NA% |
| | *other:*  NA% |
| **Colombia** | *fossil fuel:*  22.27% |
| | *hydro:*  76.19% |
| | *nuclear:*  0% |
| | *other:*  1.54% (1999) |
