CIA - The World Factbook 2000 -- Electricity - production by source

| Country | Electricity - production by source |
| --- | --- |
| **Afghanistan** | *fossil fuel:* 41.86% |
| | *hydro:* 58.14% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Albania** | *fossil fuel:* 2.91% |
| | *hydro:* 97.09% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Algeria** | *fossil fuel:* 99.77% |
| | *hydro:* 0.23% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **American Samoa** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Andorra** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Angola** | *fossil fuel:* 24.97% |
| | *hydro:* 75.03% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Anguilla** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Antigua and Barbuda** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Argentina** | *fossil fuel:* 42.71% |
| | *hydro:* 47.55% |
| | *nuclear:* 9.47% |
| | *other:* 0.27% (1998) |
| **Armenia** | *fossil fuel:* 48.92% |
| | *hydro:* 26.44% |
| | *nuclear:* 24.64% |
| | *other:* 0% (1998) |
| **Aruba** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Australia** | *fossil fuel:* 89.85% |
| | *hydro:* 8.35% |
| | *nuclear:* 0% |
| | *other:* 1.8% (1998) |
| **Austria** | *fossil fuel:* 31.46% |
| | *hydro:* 65.92% |
| | *nuclear:* 0% |
| | *other:* 2.62% (1998) |
| **Azerbaijan** | *fossil fuel:* 90.98% |
| | *hydro:* 9.02% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Bahamas, The** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Bahrain** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Bangladesh** | *fossil fuel:* 98% |
| | *hydro:* 2% |
| | *nuclear:* 0% |
| | *other:* 0% (1999) |
| **Barbados** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Belarus** | *fossil fuel:* 99.89% |
| | *hydro:* 0.11% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Belgium** | *fossil fuel:* 42.48% |
| | *hydro:* 0.49% |
| | *nuclear:* 55.72% |
| | *other:* 1.31% (1998) |
| **Belize** | *fossil fuel:* 57.14% |
| | *hydro:* 42.86% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Benin** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Bermuda** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Bhutan** | *fossil fuel:* 0.39% |
| | *hydro:* 99.61% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Bolivia** | *fossil fuel:* 42.43% |
| | *hydro:* 55.75% |
| | *nuclear:* 0% |
| | *other:* 1.82% (1998) |
| **Bosnia and Herzegovina** | *fossil fuel:* 32.43% |
| | *hydro:* 67.57% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Botswana** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Brazil** | *fossil fuel:* 4.92% |
| | *hydro:* 91.02% |
| | *nuclear:* 0.99% |
| | *other:* 3.07% (1998) |
| **British Virgin Islands** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Brunei** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Bulgaria** | *fossil fuel:* 52.34% |
| | *hydro:* 7.35% |
| | *nuclear:* 40.31% |
| | *other:* 0% (1998) |
| **Burkina Faso** | *fossil fuel:* 64.44% |
| | *hydro:* 35.56% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Burma** | *fossil fuel:* 61.72% |
| | *hydro:* 38.28% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Burundi** | *fossil fuel:* 1.57% |
| | *hydro:* 98.43% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Cambodia** | *fossil fuel:* 59.52% |
| | *hydro:* 40.48% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Cameroon** | *fossil fuel:* 2.59% |
| | *hydro:* 97.41% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Canada** | *fossil fuel:* 27.18% |
| | *hydro:* 59.77% |
| | *nuclear:* 12.25% |
| | *other:* 0.8% (1998) |
| **Cape Verde** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Cayman Islands** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Central African Republic** | *fossil fuel:* 19.05% |
| | *hydro:* 80.95% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Chad** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Chile** | *fossil fuel:* 50% |
| | *hydro:* 50% |
| | *nuclear:* 0% |
| | *other:* 0% (December 1999) |
| **China** | *fossil fuel:* 80.31% |
| | *hydro:* 18.46% |
| | *nuclear:* 1.23% |
| | *other:* 0% (1998) |
| **Christmas Island** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Cocos (Keeling) Islands** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Colombia** | *fossil fuel:* 30.11% |
| | *hydro:* 69.25% |
| | *nuclear:* 0% |
| | *other:* 0.64% (1998) |
| **Comoros** | *fossil fuel:* 86.67% |
| | *hydro:* 13.33% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Congo, Democratic Republic of the** | *fossil fuel:* 2.61% |
| | *hydro:* 97.39% |
| | *nuclear:* 0% |
| | *other:* 0% (1998) |
| **Congo, Republic of the** | *fossil fuel:* 0.6% |
| | *hydro:* 99.4% |
