FIELD LISTING :: INDUSTRIAL PRODUCTION GROWTH RATE

This entry gives the annual percentage increase in industrial production (includes manufacturing, mining, and construction).

| Country | INDUSTRIAL PRODUCTION GROWTH RATE(%) |
| --- | --- |
| **Afghanistan** | 7.7% (2012 est.) |
| **Albania** | 2.4% (2014 est.) |
| **Algeria** | 2.8% (2014 est.) |
| **American Samoa** | NA% |
| **Andorra** | NA% |
| **Angola** | 3.8% (2014 est.) |
| **Anguilla** | 2% (2014 est.) |
| **Antigua and Barbuda** | 1% (2014 est.) |
| **Argentina** | -2.1% |
| | *note:* based on private sector estimates (2014 est.) |
| **Armenia** | 2.7% (2014 est.) |
| **Aruba** | NA% |
| **Australia** | 2.1% (2014 est.) |
| **Austria** | 1.8% (2014 est.) |
| **Azerbaijan** | 1.2% (2014 est.) |
| **Bahamas, The** | 1.5% (2014 est.) |
| **Bahrain** | 4.5% (2014 est.) |
| **Bangladesh** | 8.4% (2014 est.) |
| **Barbados** | -5.5% (2014 est.) |
| **Belarus** | 1.9% (2014 est.) |
| **Belgium** | 0.2% (2014 est.) |
| **Belize** | -1% (2014 est.) |
| **Benin** | 3.2% (2014 est.) |
| **Bermuda** | 0.7% (2014 est.) |
| **Bhutan** | 8% (2014 est.) |
| **Bolivia** | 6% (2014 est.) |
| **Bosnia and Herzegovina** | 0% (2014 est.) |
| **Botswana** | 5.3% (2014 est.) |
| **Brazil** | -1.5% (2014 est.) |
| **British Virgin Islands** | 2% (2014 est.) |
| **Brunei** | -3% (2014 est.) |
| **Bulgaria** | 3.5% (2014 est.) |
| **Burkina Faso** | 4.5% (2014 est.) |
| **Burma** | 12% (2014 est.) |
| **Burundi** | 6% (2014 est.) |
| **Cabo Verde** | 2.6% (2014 est.) |
| **Cambodia** | 9.6% (2014 est.) |
| **Cameroon** | 4.9% (2014 est.) |
| **Canada** | 2% (2014 est.) |
| **Cayman Islands** | 2% (2014 est.) |
| **Central African Republic** | -3% (2014 est.) |
| **Chad** | 6% (2014 est.) |
| **Chile** | 2.5% (2014 est.) |
| **China** | 7% (2014 est.) |
| **Colombia** | 4.2% (2014 est.) |
| **Comoros** | 4.5% (2014 est.) |
| **Congo, Democratic Republic of the** | 11.4% (2014 est.) |
| **Congo, Republic of the** | 3% (2014 est.) |
| **Cook Islands** | 1% (2002) |
| **Costa Rica** | 4.7% (2014 est.) |
| **Cote d'Ivoire** | 8.4% (2014 est.) |
| **Croatia** | 1.2% (2014 est.) |
| **Cuba** | 4.6% (2014 est.) |
| **Curacao** | NA% |
| **Cyprus** | -3.5% (2014 est.) |
| **Czech Republic** | 4% (2014 est.) |
| **Denmark** | -1% (2014 est.) |
| **Djibouti** | 4.3% (2014 est.) |
| **Dominica** | -1% (2014 est.) |
| **Dominican Republic** | 6% (2014 est.) |
| **Ecuador** | 4% |
| | *note:* excludes oil refining (2014 est.) |
| **Egypt** | 1.5% (2014 est.) |
| **El Salvador** | 2.2% (2014 est.) |
| **Equatorial Guinea** | -4.7% (2014 est.) |
| **Eritrea** | 11% (2014 est.) |
| **Estonia** | 2% (2014 est.) |
| **Ethiopia** | 7.5% (2014 est.) |
| **European Union** | 0.6% (2014 est.) |
