CIA - The World Factbook -- Field Listing :: Natural gas - exports   

This entry is the total natural gas exported in cubic meters (cu m).

| Country | Natural gas - exports(cu m) |
| --- | --- |
| **Afghanistan** | 0 cu m (2008) |
| **Albania** | 0 cu m (2008) |
| **Algeria** | 59.67 billion cu m (2008) |
| **American Samoa** | 0 cu m (2008) |
| **Angola** | 0 cu m (2008) |
| **Antigua and Barbuda** | 0 cu m (2008) |
| **Argentina** | 890 million cu m (2008) |
| **Armenia** | 0 cu m (2008) |
| **Aruba** | 0 cu m (2008) |
| **Australia** | 19.48 billion cu m (2008) |
| **Austria** | 2.788 billion cu m (2008) |
| **Azerbaijan** | 5.564 billion cu m (2008) |
| **Bahamas, The** | 0 cu m (2008) |
| **Bahrain** | 0 cu m (2008) |
| **Bangladesh** | 0 cu m (2008) |
| **Barbados** | 0 cu m (2008) |
| **Belarus** | 0 cu m (2008) |
| **Belgium** | 0 cu m (2008) |
| **Belize** | 0 cu m (2008) |
| **Benin** | 0 cu m (2008) |
| **Bermuda** | 0 cu m (2008) |
| **Bhutan** | 0 cu m (2008) |
| **Bolivia** | 11.79 billion cu m (2008) |
| **Bosnia and Herzegovina** | 0 cu m (2008) |
| **Botswana** | 0 cu m (2008) |
| **Brazil** | 0 cu m (2008) |
| **British Virgin Islands** | 0 cu m (2008) |
| **Brunei** | 9.2 billion cu m (2008) |
| **Bulgaria** | 0 cu m (2008) |
| **Burkina Faso** | 0 cu m (2008) |
| **Burma** | 8.55 billion cu m (2008) |
| **Burundi** | 0 cu m (2008) |
| **Cambodia** | 0 cu m (2008) |
| **Cameroon** | 0 cu m (2008) |
| **Canada** | 102.8 billion cu m (2008) |
| **Cape Verde** | 0 cu m (2008) |
| **Cayman Islands** | 0 cu m (2008) |
| **Central African Republic** | 0 cu m (2008) |
| **Chad** | 0 cu m (2008) |
| **Chile** | 0 cu m (2008) |
| **China** | 3.36 billion cu m (2008) |
| **Colombia** | 900 million cu m (2008) |
| **Comoros** | 0 cu m (2008) |
| **Congo, Democratic Republic of the** | 0 cu m (2008) |
| **Congo, Republic of the** | 0 cu m (2008) |
| **Cook Islands** | 0 cu m (2008) |
| **Costa Rica** | 0 cu m (2008) |
| **Cote d'Ivoire** | 0 cu m (2008) |
| **Croatia** | 310 million cu m (2007) |
| **Cuba** | 0 cu m (2008) |
| **Cyprus** | 0 cu m (2008) |
| **Czech Republic** | 968 million cu m (2008) |
| **Denmark** | 5.516 billion cu m (2008) |
| **Djibouti** | 0 cu m (2008) |
| **Dominica** | 0 cu m (2008) |
| **Dominican Republic** | 0 cu m (2008) |
| **Ecuador** | 0 cu m (2008) |
| **Egypt** | 16.92 billion cu m (2008) |
| **El Salvador** | 0 cu m (2008) |
| **Equatorial Guinea** | 5.17 billion cu m (2008) |
| **Eritrea** | 0 cu m (2008) |
| **Estonia** | 0 cu m (2008) |
| **Ethiopia** | 0 cu m (2008) |
| **European Union** | NA cu m |
| **Falkland Islands (Islas Malvinas)** | 0 cu m (2008) |
| **Faroe Islands** | 0 cu m (2008) |
| **Fiji** | 0 cu m (2008) |
| **Finland** | 0 cu m (2008) |
| **France** | 1 billion cu m (2008) |
| **French Polynesia** | 0 cu m (2008) |
| **Gabon** | 0 cu m (2008) |
| **Gambia, The** | 0 cu m (2008) |
| **Georgia** | 0 cu m (2008) |
| **Germany** | 12.68 billion cu m (2008) |
| **Ghana** | 0 cu m (2008) |
| **Gibraltar** | 0 cu m (2008) |
| **Greece** | 0 cu m (2008) |
| **Greenland** | 0 cu m (2008) |
| **Grenada** | 0 cu m (2008) |
| **Guam** | 0 cu m (2008) |
| **Guatemala** | 0 cu m (2008) |
| **Guinea** | 0 cu m (2008) |
| **Guinea-Bissau** | 0 cu m (2008) |
| **Guyana** | 0 cu m (2008) |
| **Haiti** | 0 cu m (2008) |
| **Honduras** | 0 cu m (2008) |
| **Hong Kong** | 0 cu m (2008) |
| **Hungary** | 21 million cu m (2008) |
| **Iceland** | 0 cu m (2008) |
| **India** | 0 cu m (2008) |
| **Indonesia** | 33.5 billion cu m (2008) |
| **Iran** | 4.246 billion cu m (2008) |
| **Iraq** | 0 cu m (2008) |
| **Ireland** | 0 cu m (2008) |
| **Israel** | 0 cu m (2008) |
| **Italy** | 210 million cu m (2008) |
| **Jamaica** | 0 cu m (2008) |
| **Japan** | 0 cu m (2008) |
| **Jordan** | 0 cu m (2008) |
| **Kazakhstan** | 9.221 billion cu m (2008) |
| **Kenya** | 0 cu m (2008) |
| **Kiribati** | 0 cu m (2008) |
| **Korea, North** | 0 cu m (2008) |
| **Korea, South** | 0 cu m (2008) |
| **Kuwait** | 0 cu m (2008) |
| **Kyrgyzstan** | 0 cu m (2008) |
| **Laos** | 0 cu m (2008) |
| **Latvia** | 0 cu m (2008) |
| **Lebanon** | 0 cu m (2008) |
| **Lesotho** | 0 cu m (2008) |
| **Liberia** | 0 cu m (2008) |
| **Libya** | 10.4 billion cu m (2008) |
| **Lithuania** | 0 cu m (2008) |
| **Luxembourg** | 0 cu m (2008) |
| **Macau** | 0 cu m (2008) |
| **Macedonia** | 0 cu m (2008) |
| **Madagascar** | 0 cu m (2008) |
| **Malawi** | 0 cu m (2008) |
| **Malaysia** | 31.03 billion cu m (2008) |
| **Maldives** | 0 cu m (2008) |
| **Mali** | 0 cu m (2008) |
| **Malta** | 0 cu m (2008) |
| **Mauritania** | 0 cu m (2008) |
| **Mauritius** | 0 cu m (2008) |
| **Mexico** | 1.136 billion cu m (2008) |
| **Moldova** | 0 cu m (2008) |
| **Mongolia** | 0 cu m (2008) |
| **Montserrat** | 0 cu m (2008) |
| **Morocco** | 0 cu m (2008) |
| **Mozambique** | 3.2 billion cu m (2008) |
| **Namibia** | 0 cu m (2008) |
| **Nauru** | 0 cu m (2008) |
| **Nepal** | 0 cu m (2008) |
| **Netherlands** | 61.72 billion cu m (2008) |
| **Netherlands Antilles** | 0 cu m (2008) |
| **New Caledonia** | 0 cu m (2008) |
| **New Zealand** | 0 cu m (2008) |
| **Nicaragua** | 0 cu m (2008) |
| **Niger** | 0 cu m (2008) |
| **Nigeria** | 20.55 billion cu m (2008) |
| **Niue** | 0 cu m (2008) |
| **Norway** | 95.23 billion cu m (2008) |
| **Oman** | 10.89 billion cu m (2008) |
| **Pakistan** | 0 cu m (2008) |
| **Panama** | 0 cu m (2008) |
| **Papua New Guinea** | 0 cu m (2008) |
| **Paraguay** | 0 cu m (2008) |
| **Peru** | 0 cu m (2008) |
| **Philippines** | 0 cu m (2008) |
| **Poland** | 39 million cu m (2008) |
| **Portugal** | 0 cu m (2008) |
| **Puerto Rico** | 0 cu m (2008) |
| **Qatar** | 56.78 billion cu m (2008) |
| **Romania** | 0 cu m (2008) |
| **Russia** | 243.4 billion cu m (2008) |
| **Rwanda** | 0 cu m (2008) |
| **Saint Helena** | 0 cu m (2008) |
| **Saint Kitts and Nevis** | 0 cu m (2008) |
| **Saint Lucia** | 0 cu m (2008) |
| **Saint Pierre and Miquelon** | 0 cu m (2008) |
| **Saint Vincent and the Grenadines** | 0 cu m (2008) |
| **Samoa** | 0 cu m (2008) |
| **Sao Tome and Principe** | 0 cu m (2008) |
| **Saudi Arabia** | 0 cu m (2008) |
| **Senegal** | 0 cu m (2008) |
| **Serbia** | 0 cu m (2005) |
| **Seychelles** | 0 cu m (2008) |
| **Sierra Leone** | 0 cu m (2008) |
| **Singapore** | 0 cu m (2008) |
| **Slovakia** | 186 million cu m (2008) |
| **Slovenia** | 0 cu m (2008) |
| **Solomon Islands** | 0 cu m (2008) |
| **Somalia** | 0 cu m (2008) |
| **South Africa** | 0 cu m (2008) |
| **Spain** | 0 cu m (2008) |
| **Sri Lanka** | 0 cu m (2008) |
| **Sudan** | 0 cu m (2008) |
| **Suriname** | 0 cu m (2008) |
| **Swaziland** | 0 cu m (2008) |
| **Sweden** | 0 cu m (2008) |
| **Switzerland** | 0 cu m (2008) |
| **Syria** | 0 cu m |
| **Taiwan** | 0 cu m (2008) |
| **Tajikistan** | 0 cu m (2008) |
| **Tanzania** | 0 cu m (2008) |
| **Thailand** | 0 cu m (2008) |
| **Timor-Leste** | 0 cu m (2008) |
| **Togo** | 0 cu m (2008) |
| **Tonga** | 0 cu m (2008) |
| **Trinidad and Tobago** | 17.36 billion cu m (2008) |
| **Tunisia** | 0 cu m (2008) |
