CIA - The World Factbook --     

| Rank | country | | Date of Information |
| 79 | Korea, South | 11.00 | 2000 |
| 80 | Nigeria | 11.00 | 2000 |
| 81 | Mozambique | 11.00 | 2002 |
| 82 | Albania | 10.00 | 2001 |
| 83 | Kazakhstan | 10.00 | 2001 |
| 84 | Peru | 10.00 | 2000 |
| 85 | Bangladesh | 10.00 | 2000 |
| 86 | Armenia | 9.00 | 2001 |
| 87 | Singapore | 9.00 | 2000 |
| 88 | Croatia | 9.00 | 2000 |
| 89 | Bolivia | 9.00 | 2000 |
| 90 | Honduras | 8.00 | 2000 |
| 91 | West Bank | 8.00 | 1999 |
| 92 | Taiwan | 8.00 | 2000 |
| 93 | Morocco | 8.00 | 2000 |
| 94 | Luxembourg | 8.00 | 2000 |
| 95 | Chile | 7.00 | 2000 |
| 96 | Malaysia | 7.00 | 2000 |
| 97 | Cyprus | 6.00 | 2000 |
| 98 | Zimbabwe | 6.00 | 2000 |
| 99 | Tanzania | 6.00 | 2000 |
| 100 | Slovakia | 6.00 | 2000 |
| 101 | Georgia | 6.00 | 2000 |
| 102 | Macedonia | 6.00 | 2000 |
| 103 | Malta | 6.00 | 2002 |
| 104 | Panama | 6.00 | 2000 |
| 105 | Nepal | 6.00 | 2000 |
| 106 | Cote d'Ivoire | 5.00 | 2001 |
| 107 | Cuba | 5.00 | 2001 |
| 108 | Guatemala | 5.00 | 2000 |
| 109 | Zambia | 5.00 | 2001 |
| 110 | Vietnam | 5.00 | 2000 |
| 111 | Swaziland | 5.00 | 2002 |
| 112 | Sri Lanka | 5.00 | 2000 |
| 113 | Mongolia | 5.00 | 2001 |
| 114 | Mauritania | 5.00 | 2001 |
| 115 | Jordan | 5.00 | 2000 |
| 116 | Eritrea | 5.00 | 2001 |
| 117 | Benin | 4.00 | 2002 |
| 118 | Tajikistan | 4.00 | 2002 |
| 119 | Paraguay | 4.00 | 2000 |
| 120 | El Salvador | 4.00 | 2000 |
| 121 | Guinea | 4.00 | 2001 |
| 122 | Bosnia and Herzegovina | 3.00 | 2000 |
| 123 | China | 3.00 | 2000 |
| 124 | Costa Rica | 3.00 | 2000 |
| 125 | Cook Islands | 3.00 | 2000 |
| 126 | Togo | 3.00 | 2001 |
| 127 | Somalia | 3.00 | 2000 |
| 128 | Papua New Guinea | 3.00 | 2000 |
| 129 | Nicaragua | 3.00 | 2000 |
| 130 | Malawi | 3.00 | 2002 |
| 131 | Kuwait | 3.00 | 2000 |
| 132 | Haiti | 3.00 | 2000 |
| 133 | Guyana | 3.00 | 2000 |
| 134 | Gaza Strip | 3.00 | 1999 |
| 135 | Finland | 3.00 | 2002 |
| 136 | Algeria | 2.00 | 2000 |
| 137 | Cocos (Keeling) Islands | 2.00 | 2000 |
| 138 | Cambodia | 2.00 | 2000 |
| 139 | Azerbaijan | 2.00 | 2000 |
| 140 | Faroe Islands | 2.00 | 2000 |
| 141 | Gibraltar | 2.00 | 2000 |
| 142 | Suriname | 2.00 | 2000 |
| 143 | Sudan | 2.00 | 2002 |
| 144 | San Marino | 2.00 | 2000 |
| 145 | Samoa | 2.00 | 2000 |
| 146 | Rwanda | 2.00 | 2002 |
| 147 | Norfolk Island | 2.00 | 2000 |
| 148 | Namibia | 2.00 | 2000 |
| 149 | Monaco | 2.00 | 2000 |
| 150 | Moldova | 2.00 | 1999 |
| 151 | Mauritius | 2.00 | 2000 |
| 152 | Madagascar | 2.00 | 2000 |
| 153 | Liberia | 2.00 | 2001 |
| 154 | Guinea-Bissau | 2.00 | 2002 |
| 155 | Uganda | 2.00 | 2000 |
| 156 | Tonga | 2.00 | 2000 |
| 157 | Gambia, The | 2.00 | 2001 |
| 158 | French Polynesia | 2.00 | 2000 |
| 159 | Fiji | 2.00 | 2000 |
| 160 | Falkland Islands (Islas Malvinas) | 2.00 | 2000 |
| 161 | Christmas Island | 2.00 | 2000 |
| 162 | Belize | 2.00 | 2000 |
| 163 | Brunei | 2.00 | 2000 |
| 164 | Afghanistan | 1.00 | 2000 |
| 165 | Tokelau | 1.00 | 2000 |
| 166 | Syria | 1.00 | 2000 |
| 167 | Solomon Islands | 1.00 | 2000 |
| 168 | Sierra Leone | 1.00 | 2001 |
| 169 | Seychelles | 1.00 | 2000 |
| 170 | Senegal | 1.00 | 2002 |
| 171 | Sao Tome and Principe | 1.00 | 2002 |
| 172 | Saint Pierre and Miquelon | 1.00 | 2000 |
| 173 | Saint Helena, Ascension, and Tristan da Cunha | 1.00 | 2000 |
| 174 | Yemen | 1.00 | 2000 |
| 175 | Western Sahara | 1.00 | 2000 |
| 176 | Wallis and Futuna | 1.00 | 2000 |
| 177 | Vanuatu | 1.00 | 2000 |
| 178 | United Arab Emirates | 1.00 | 2000 |
| 179 | Tuvalu | 1.00 | 2000 |
| 180 | Tunisia | 1.00 | 2000 |
| 181 | Qatar | 1.00 | 2000 |
| 182 | Palau | 1.00 | 2002 |
| 183 | Oman | 1.00 | 2000 |
| 184 | Northern Mariana Islands | 1.00 | 2001 |
| 185 | Niue | 1.00 | 2000 |
| 186 | Niger | 1.00 | 2002 |
| 187 | New Caledonia | 1.00 | 2000 |
| 188 | Maldives | 1.00 | 2000 |
| 189 | Macau | 1.00 | 2000 |
| 190 | Libya | 1.00 | 2002 |
| 191 | Lesotho | 1.00 | 2000 |
| 192 | Laos | 1.00 | 2000 |
| 193 | Korea, North | 1.00 | 2000 |
| 194 | Kiribati | 1.00 | 2000 |
| 195 | Iraq | 1.00 | 2000 |
| 196 | Djibouti | 1.00 | 2000 |
| 197 | Nauru | 1.00 | 2000 |
| 198 | Micronesia, Federated States of | 1.00 | 2000 |
| 199 | Marshall Islands | 1.00 | 2002 |
| 200 | Congo, Republic of the | 1.00 | 2000 |
| 201 | Congo, Democratic Republic of the | 1.00 | 2001 |
| 202 | Comoros | 1.00 | 2000 |
| 203 | Chad | 1.00 | 2002 |
| 204 | Central African Republic | 1.00 | 2002 |
| 205 | Cape Verde | 1.00 | 2002 |
| 206 | Cameroon | 1.00 | 2002 |
| 207 | Burundi | 1.00 | 2000 |
| 208 | Greenland | 1.00 | 2000 |
| 209 | Gabon | 1.00 | 2001 |
| 210 | Ethiopia | 1.00 | 2002 |
| 211 | Equatorial Guinea | 1.00 | 2002 |
| 212 | American Samoa | 1.00 | 2000 |
| 213 | Bahrain | 1.00 | 2000 |
| 214 | British Indian Ocean Territory | 1.00 | 2000 |
| 215 | Burma | 1.00 | 2000 |
| 216 | Burkina Faso | 1.00 | 2002 |
| 217 | Andorra | 1.00 | 2000 |
| 218 | Angola | 1.00 | 2000 |
