CIA - The World Factbook --  Crude oil - exports   

Crude oil - exports is the total amount of crude oil exported, in barrels per day (bbl/day).

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | Saudi Arabia | 6,880,000 | 2011 est. |
| 2 | Russia | 4,720,000 | 2013 est. |
| 3 | Iran | 2,445,000 | 2011 est. |
| 4 | Iraq | 2,390,000 | 2013 est. |
| 5 | Nigeria | 2,341,000 | 2010 est. |
| 6 | United Arab Emirates | 2,142,000 | 2010 est. |
| 7 | Angola | 1,928,000 | 2010 est. |
| 8 | Venezuela | 1,645,000 | 2010 est. |
| 9 | Norway | 1,602,000 | 2010 est. |
| 10 | Canada | 1,576,000 | 2011 est. |
| 11 | Mexico | 1,460,000 | 2010 est. |
| 12 | Kazakhstan | 1,406,000 | 2010 est. |
| 13 | Kuwait | 1,395,000 | 2010 est. |
| 14 | Qatar | 1,389,000 | 2012 est. |
| 15 | Libya | 1,378,000 | 2010 est. |
| 16 | Algeria | 1,097,000 | 2010 est. |
| 17 | Azerbaijan | 821,000 | 2011 est. |
| 18 | Colombia | 777,900 | 2009 |
| 19 | Oman | 705,100 | 2010 est. |
| 20 | United Kingdom | 637,800 | 2013 est. |
| 21 | Brazil | 619,100 | 2010 est. |
| 22 | Ecuador | 413,000 | 2013 est. |
| 23 | Indonesia | 338,100 | 2010 est. |
| 24 | Equatorial Guinea | 319,100 | 2010 est. |
| 25 | Australia | 314,100 | 2010 est. |
| 26 | South Sudan | 291,800 | 2010 est. |
| 27 | Congo, Republic of the | 290,000 | 2011 est. |
| 28 | Malaysia | 269,000 | 2012 est. |
| 29 | Gabon | 225,300 | 2010 est. |
| 30 | Vietnam | 188,000 | 2012 est. |
| 31 | Yemen | 175,200 | 2010 est. |
| 32 | Denmark | 155,200 | 2010 est. |
| 33 | Bahrain | 152,600 | 2012 est. |
| 34 | Syria | 152,400 | 2010 est. |
| 35 | Brunei | 147,900 | 2010 est. |
| 36 | Chad | 125,700 | 2010 est. |
| 37 | Sudan | 97,270 | 2010 est. |
| 38 | Argentina | 90,920 | 2010 est. |
| 39 | Timor-Leste | 87,000 | 2010 est. |
| 40 | Egypt | 85,000 | 2010 est. |
| 41 | Cuba | 83,000 | 2012 est. |
| 42 | Tunisia | 77,980 | 2010 est. |
| 43 | Trinidad and Tobago | 75,340 | 2010 est. |
| 44 | Turkmenistan | 67,000 | 2012 est. |
| 45 | Cameroon | 55,680 | 2010 est. |
| 46 | New Zealand | 47,290 | 2010 est. |
| 47 | United States | 41,640 | 2010 est. |
