CIA - The World Factbook --  Maritime claims   

This entry includes the following claims, the definitions of which are excerpted from the United Nations Convention on the Law of the Sea (UNCLOS), which alone contains the full and definitive descriptions:
| territorial sea - the sovereignty of a coastal state extends beyond its land territory and internal waters to an adjacent belt of sea, described as the territorial sea in the UNCLOS (Part II); this sovereignty extends to the air space over the territorial sea as well as its underlying seabed and subsoil; every state has the right to establish the breadth of its territorial sea up to a limit not exceeding 12 nautical miles; the normal baseline for measuring the breadth of the territorial sea is the mean low-water line along the coast as marked on large-scale charts officially recognized by the coastal state; the UNCLOS describes specific rules for archipelagic states. |
| contiguous zone - according to the UNCLOS (Article 33), this is a zone contiguous to a coastal state's territorial sea, over which it may exercise the control necessary to: prevent infringement of its customs, fiscal, immigration, or sanitary laws and regulations within its territory or territorial sea; punish infringement of the above laws and regulations committed within its territory or territorial sea; the contiguous zone may not extend beyond 24 nautical miles from the baselines from which the breadth of the territorial sea is measured (e.g. the US has claimed a 12-nautical mile contiguous zone in addition to its 12-nautical mile territorial sea). |
| exclusive economic zone (EEZ) - the UNCLOS (Part V) defines the EEZ as a zone beyond and adjacent to the territorial sea in which a coastal state has: sovereign rights for the purpose of exploring and exploiting, conserving and managing the natural resources, whether living or non-living, of the waters superjacent to the seabed and of the seabed and its subsoil, and with regard to other activities for the economic exploitation and exploration of the zone, such as the production of energy from the water, currents, and winds; jurisdiction with regard to the establishment and use of artificial islands, installations, and structures; marine scientific research; the protection and preservation of the marine environment; the outer limit of the exclusive economic zone shall not exceed 200 nautical miles from the baselines from which the breadth of the territorial sea is measured. |
| continental shelf - the UNCLOS (Article 76) defines the continental shelf of a coastal state as comprising the seabed and subsoil of the submarine areas that extend beyond its territorial sea throughout the natural prolongation of its land territory to the outer edge of the continental margin, or to a distance of 200 nautical miles from the baselines from which the breadth of the territorial sea is measured where the outer edge of the continental margin does not extend up to that distance; the continental margin comprises the submerged prolongation of the landmass of the coastal state, and consists of the seabed and subsoil of the shelf, the slope and the rise; wherever the continental margin extends beyond 200 nautical miles from the baseline, coastal states may extend their claim to a distance not to exceed 350 nautical miles from the baseline or 100 nautical miles from the 2500 meter isobath; it does not include the deep ocean floor with its oceanic ridges or the subsoil thereof. |
| exclusive fishing zone - while this term is not used in the UNCLOS, some states (e.g., the United Kingdom) have chosen not to claim an EEZ, but rather to claim jurisdiction over the living resources off their coast; in such cases, the term exclusive fishing zone is often used; the breadth of this zone is normally the same as the EEZ or 200 nautical miles. |
| Rank | country | Maritime claims | Date of Information |
| --- | --- | --- | --- |
| 1 | American Samoa | 200.00 | NA |
| 2 | Angola | 200.00 | NA |
| 3 | Anguilla | 200.00 | NA |
| 4 | Antigua and Barbuda | 200.00 | NA |
| 5 | Argentina | 200.00 | NA |
| 6 | Ashmore and Cartier Islands | 200.00 | NA |
| 7 | Australia | 200.00 | NA |
| 8 | Bangladesh | 200.00 | NA |
| 9 | Belize | 200.00 | NA |
| 10 | Burma | 200.00 | NA |
| 11 | Bulgaria | 200.00 | NA |
| 12 | Brunei | 200.00 | NA |
| 13 | British Virgin Islands | 200.00 | NA |
| 14 | British Indian Ocean Territory | 200.00 | NA |
| 15 | Brazil | 200.00 | NA |
| 16 | Brazil | 200.00 | NA |
| 17 | Bermuda | 200.00 | NA |
| 18 | Benin | 200.00 | NA |
| 19 | Colombia | 200.00 | NA |
| 20 | Cocos (Keeling) Islands | 200.00 | NA |
| 21 | Clipperton Island | 200.00 | NA |
| 22 | Christmas Island | 200.00 | NA |
| 23 | China | 200.00 | NA |
| 24 | China | 200.00 | NA |
| 25 | Chile | 200.00 | NA |
| 26 | Cayman Islands | 200.00 | NA |
| 27 | Cape Verde | 200.00 | NA |
| 28 | Canada | 200.00 | NA |
| 29 | Canada | 200.00 | NA |
| 30 | Cambodia | 200.00 | NA |
| 31 | Cambodia | 200.00 | NA |
| 32 | Burma | 200.00 | NA |
| 33 | Ecuador | 200.00 | NA |
| 34 | Dominican Republic | 200.00 | NA |
| 35 | Dominican Republic | 200.00 | NA |
| 36 | Dominica | 200.00 | NA |
| 37 | Djibouti | 200.00 | NA |
| 38 | Denmark | 200.00 | NA |
| 39 | Cuba | 200.00 | NA |
| 40 | Cote d'Ivoire | 200.00 | NA |
| 41 | Cote d'Ivoire | 200.00 | NA |
| 42 | Costa Rica | 200.00 | NA |
| 43 | Costa Rica | 200.00 | NA |
| 44 | Coral Sea Islands | 200.00 | NA |
| 45 | Cook Islands | 200.00 | NA |
| 46 | Cook Islands | 200.00 | NA |
| 47 | Congo, Republic of the | 200.00 | NA |
| 48 | Comoros | 200.00 | NA |
| 49 | Guyana | 200.00 | NA |
| 50 | Guyana | 200.00 | NA |
| 51 | Guinea-Bissau | 200.00 | NA |
| 52 | Guinea | 200.00 | NA |
| 53 | Guatemala | 200.00 | NA |
| 54 | Grenada | 200.00 | NA |
| 55 | Greenland | 200.00 | NA |
| 56 | Greenland | 200.00 | NA |
| 57 | Ghana | 200.00 | NA |
| 58 | Korea, North | 200.00 | NA |
| 59 | Kiribati | 200.00 | NA |
| 60 | Kenya | 200.00 | NA |
| 61 | Kenya | 200.00 | NA |
| 62 | Japan | 200.00 | NA |
| 63 | Jan Mayen | 200.00 | NA |
| 64 | Jamaica | 200.00 | NA |
| 65 | Jamaica | 200.00 | NA |
| 66 | Ireland | 200.00 | NA |
| 67 | Montserrat | 200.00 | NA |
| 68 | Micronesia, Federated States of | 200.00 | NA |
| 69 | Mexico | 200.00 | NA |
| 70 | Mexico | 200.00 | NA |
| 71 | Mayotte | 200.00 | NA |
| 72 | Mauritius | 200.00 | NA |
| 73 | Mauritius | 200.00 | NA |
| 74 | Mauritania | 200.00 | NA |
| 75 | Mauritania | 200.00 | NA |
| 76 | Pakistan | 200.00 | NA |
| 77 | Oman | 200.00 | NA |
| 78 | Norway | 200.00 | NA |
| 79 | Norway | 200.00 | NA |
| 80 | Northern Mariana Islands | 200.00 | NA |
| 81 | Norfolk Island | 200.00 | NA |
| 82 | Niue | 200.00 | NA |
| 83 | Nigeria | 200.00 | NA |
| 84 | New Zealand | 200.00 | NA |
| 85 | Taiwan | 200.00 | NA |
| 86 | Yemen | 200.00 | NA |
| 87 | Yemen | 200.00 | NA |
| 88 | Wallis and Futuna | 200.00 | NA |
| 89 | Wake Island | 200.00 | NA |
| 90 | Virgin Islands | 200.00 | NA |
| 91 | Vietnam | 200.00 | NA |
| 92 | Vietnam | 200.00 | NA |
| 93 | Venezuela | 200.00 | NA |
| 94 | Vanuatu | 200.00 | NA |
| 95 | Vanuatu | 200.00 | NA |
| 96 | Uruguay | 200.00 | NA |
| 97 | United States Pacific Island Wildlife Refuges | 200.00 | NA |
| 98 | United States | 200.00 | NA |
| 99 | United Kingdom | 200.00 | NA |
| 100 | United Arab Emirates | 200.00 | NA |
| 101 | United Arab Emirates | 200.00 | NA |
| 102 | Ukraine | 200.00 | NA |
| 103 | Tuvalu | 200.00 | NA |
| 104 | Turks and Caicos Islands | 200.00 | NA |
| 105 | Trinidad and Tobago | 200.00 | NA |
| 106 | Trinidad and Tobago | 200.00 | NA |
| 107 | Tonga | 200.00 | NA |
| 108 | Tokelau | 200.00 | NA |
| 109 | Togo | 200.00 | NA |
| 110 | Timor-Leste | 200.00 | NA |
| 111 | Thailand | 200.00 | NA |
| 112 | Tanzania | 200.00 | NA |
| 113 | Svalbard | 200.00 | NA |
| 114 | Suriname | 200.00 | NA |
| 115 | Sri Lanka | 200.00 | NA |
| 116 | Sri Lanka | 200.00 | NA |
| 117 | Spain | 200.00 | NA |
| 118 | South Georgia and South Sandwich Islands | 200.00 | NA |
| 119 | South Africa | 200.00 | NA |
| 120 | South Africa | 200.00 | NA |
| 121 | Somalia | 200.00 | NA |
| 122 | Solomon Islands | 200.00 | NA |
| 123 | Solomon Islands | 200.00 | NA |
| 124 | Sierra Leone | 200.00 | NA |
| 125 | Sierra Leone | 200.00 | NA |
| 126 | Seychelles | 200.00 | NA |
| 127 | Seychelles | 200.00 | NA |
| 128 | Senegal | 200.00 | NA |
| 129 | Senegal | 200.00 | NA |
| 130 | Sao Tome and Principe | 200.00 | NA |
| 131 | Samoa | 200.00 | NA |
| 132 | Saint Vincent and the Grenadines | 200.00 | NA |
| 133 | Saint Vincent and the Grenadines | 200.00 | NA |
| 134 | Saint Pierre and Miquelon | 200.00 | NA |
| 135 | Saint Lucia | 200.00 | NA |
